book,ordinal,inactive
Gen,0,0
Exod,1,0
Lev,2,0
Num,3,0
Deut,4,0
Josh,5,0
Judg,6,0
Ruth,7,0
1Sam,8,0
2Sam,9,0
1Kgs,10,0
2Kgs,11,0
1Chr,12,0
2Chr,13,0
Ezra,14,0
Neh,15,0
Esth,16,0
Job,17,0
Ps,18,0
Prov,19,0
Eccl,20,0
Song,21,0
Isa,22,0
Jer,23,0
Lam,24,0
Ezek,25,0
Dan,26,0
Hos,27,0
Joel,28,0
Amos,29,0
Obad,30,0
Jonah,31,0
Mic,32,0
Nah,33,0
Hab,34,0
Zeph,35,0
Hag,36,0
Zech,37,0
Mal,38,0
Matt,39,0
Mark,40,0
Luke,41,0
John,42,0
Acts,43,0
Rom,44,0
1Cor,45,0
2Cor,46,0
Gal,47,0
Eph,48,0
Phil,49,0
Col,50,0
1Thess,51,0
2Thess,52,0
1Tim,53,0
2Tim,54,0
Titus,55,0
Phlm,56,0
Heb,57,0
Jas,58,0
1Pet,59,0
2Pet,60,0
1John,61,0
2John,62,0
3John,63,0
Jude,64,0
Rev,65,0
