kind,value,inactive
accept,G0037,1
accept,G0112,1
accept,G0120,1
accept,G0127,1
accept,G0192,1
accept,G0193,1
accept,G0212,1
accept,G0213,1
accept,G0335,1
accept,G0363,1
accept,G0364,1
accept,G0372,1
accept,G0463,1
accept,G0524,1
accept,G0569,1
accept,G0571,1
accept,G0639,1
accept,G0640,1
accept,G0703,1
accept,G0884,1
accept,G1140,1
accept,G1142,1
accept,G1167,1
accept,G1168,1
accept,G1169,1
accept,G1228,1
accept,G1374,1
accept,G1375,1
accept,G1404,1
accept,G1466,1
accept,G1467,1
accept,G1468,1
accept,G1493,1
accept,G1497,1
accept,G1559,1
accept,G1690,1
accept,G1693,1
accept,G1727,1
accept,G2107,1
accept,G2126,1
accept,G2130,1
accept,G2133,1
accept,G2145,1
accept,G2150,1
accept,G2151,1
accept,G2152,1
accept,G2153,1
accept,G2168,1
accept,G2169,1
accept,G2189,1
accept,G2190,1
accept,G2206,1
accept,G2237,1
accept,G2314,1
accept,G2315,1
accept,G2316,1
accept,G2317,1
accept,G2319,1
accept,G2432,1
accept,G2616,1
accept,G2669,1
accept,G2897,1
accept,G2962,1
accept,G4021,1
accept,G4068,1
accept,G4224,1
accept,G4288,1
accept,G4289,1
accept,G4290,1
accept,G4460,1
accept,G4567,1
accept,G4576,1
accept,G4704,1
accept,G4705,1
accept,G4708,1
accept,G4709,1
accept,G4724,1
accept,G4763,1
accept,G4764,1
accept,G4834,1
accept,G4835,1
accept,G4912,1
accept,G4994,1
accept,G4995,1
accept,G4996,1
accept,G4998,1
accept,G5091,1
accept,G5092,1
accept,G5172,1
accept,G5304,1
accept,G5314,1
accept,G5326,1
accept,G5362,1
accept,G5367,1
accept,G5369,1
accept,G5373,1
accept,G5377,1
accept,G5381,1
accept,G5382,1
accept,G5388,1
accept,G5397,1
accept,G5424,1
accept,G5425,1
accept,G5429,1
accept,G5468,1
accept,G5469,1
accept,G5512,1
accept,G5513,1
accept,G5542,1
accept,G5587,1
accept,G5588,1
accept,G6081,1
accept,H0136,1
accept,H0142,1
accept,H0178,1
accept,H0340,1
accept,H0341,1
accept,H0342,1
accept,H0377,1
accept,H0410,1
accept,H0426,1
accept,H0430,1
accept,H0433,1
accept,H0457,1
accept,H0596,1
accept,H0837,1
accept,H0842,1
accept,H0888,1
accept,H0907,1
accept,H0943,1
accept,H1168,1
accept,H1176,1
accept,H1180,1
accept,H1215,1
accept,H1421,1
accept,H1442,1
accept,H1544,1
accept,H1605,1
accept,H1606,1
accept,H1870,1
accept,H1891,1
accept,H1947,1
accept,H1948,1
accept,H2000,1
accept,H2082,1
accept,H2102,1
accept,H2267,1
accept,H2357,1
accept,H2541,1
accept,H2559,1
accept,H2611,1
accept,H2612,1
accept,H2613,1
accept,H2748,1
accept,H2749,1
accept,H2814,1
accept,H2820,1
accept,H2927,1
accept,H2940,1
accept,H2954,1
accept,H3050,1
accept,H3068,1
accept,H3069,1
accept,H3238,1
accept,H3256,1
accept,H3631,1
accept,H3722,1
accept,H3782,1
accept,H3784,1
accept,H3868,1
accept,H3882,1
accept,H3905,1
accept,H3906,1
accept,H3908,1
accept,H3931,1
accept,H3948,1
accept,H4432,1
accept,H4603,1
accept,H4604,1
accept,H4642,1
accept,H4783,1
accept,H4835,1
accept,H4890,1
accept,H5010,1
accept,H5040,1
accept,H5065,1
accept,H5172,1
accept,H5175,1
accept,H5201,1
accept,H5251,1
accept,H5314,1
accept,H5496,1
accept,H5566,1
accept,H5727,1
accept,H5730,1
accept,H5765,1
accept,H5782,1
accept,H5792,1
accept,H5920,1
accept,H5943,1
accept,H5946,1
accept,H6049,1
accept,H6091,1
accept,H6101,1
accept,H6102,1
accept,H6103,1
accept,H6104,1
accept,H6121,1
accept,H6122,1
accept,H6127,1
accept,H6128,1
accept,H6129,1
accept,H6143,1
accept,H6145,1
accept,H6146,1
accept,H6195,1
accept,H6216,1
accept,H6217,1
accept,H6231,1
accept,H6233,1
accept,H6234,1
accept,H6313,1
accept,H6348,1
accept,H6349,1
accept,H6350,1
accept,H6456,1
accept,H6459,1
accept,H6531,1
accept,H6615,1
accept,H6711,1
accept,H6712,1
accept,H6848,1
accept,H7009,1
accept,H7067,1
accept,H7080,1
accept,H7147,1
accept,H7169,1
accept,H7182,1
accept,H7183,1
accept,H7194,1
accept,H7195,1
accept,H7267,1
accept,H7292,1
accept,H7293,1
accept,H7294,1
accept,H7317,1
accept,H7329,1
accept,H7332,1
accept,H7343,1
accept,H7385,1
accept,H7386,1
accept,H7475,1
accept,H7496,1
accept,H7522,1
accept,H7647,1
accept,H7654,1
accept,H7672,1
accept,H7696,1
accept,H7697,1
accept,H7700,1
accept,H7706,1
accept,H7726,1
accept,H7728,1
accept,H7729,1
accept,H7790,1
accept,H7962,1
accept,H7980,1
accept,H7989,1
accept,H8074,1
accept,H8075,1
accept,H8172,1
accept,H8213,1
accept,H8265,1
accept,H8280,1
accept,H8314,1
accept,H8324,1
accept,H8385,1
accept,H8429,1
accept,H8433,1
accept,H8437,1
accept,H8446,1
accept,H8496,1
accept,H8541,1
accept,H8565,1
accept,H8586,1
accept,H8588,1
accept,H8595,1
accept,H8639,1
accept,H8655,1
