name,value,ordinal,inactive
word_status,proposed,0,0
word_status,approved,1,0
word_status,raw-complete,2,0
word_status,signed-off,3,0
word_status,rejected,4,0
run_state,running,0,0
run_state,paused,1,0
run_state,done,2,0
run_state,failed,3,0
escalation_type,prompted,0,1
escalation_type,interactive,1,1
on_fail,report-continue,0,0
on_fail,pause-continue,1,0
on_fail,report-stop,2,0
on_fail,self-heal,3,0
candidate_decision,candidate,0,1
candidate_decision,rejected,1,1
candidate_decision,undecided,2,1
candidate_source,registry-direct,0,1
candidate_source,curated-synonym,1,1
candidate_source,ib-judgement,2,1
candidate_source,read-emergent,3,1
passage_source,passage-build,0,1
passage_source,single-verse-emergent,1,1
escalation_answer,approve,0,1
escalation_answer,reject,1,1
escalation_answer,revise,2,1
cfg_change_op,insert,0,0
cfg_change_op,update,1,0
cfg_change_op,delete,2,0
config_module,registry,0,0
config_module,raw,1,0
config_module,step,2,0
config_module,report,3,0
config_module,candidate,4,0
config_module,passage,5,0
config_module,configmaint,6,0
config_module,validation,7,0
config_module,governance,8,0
config_module,retention,9,0
candidate_step_status,in_strong,0,1
candidate_step_status,step_no_verses,1,1
candidate_step_status,not_in_step,2,1
candidate_step_status,step_has_verses_pending,3,1
candidate_ib_referent,characteristic,0,1
candidate_ib_referent,other_being,1,1
candidate_ib_referent,body_part,2,1
candidate_decision,exception,3,1
config_module,notification,10,0
config_module,table_export,11,0
config_module,escalation,12,0
escalation_state,raised,0,0
escalation_state,answered,1,1
escalation_state,paused,2,1
escalation_state,retracted,3,1
config_module,lexicon,13,0
config_module,method,14,0
passage_debate_status,scaffold,0,0
passage_debate_status,filled,1,0
config_module,narrative,15,0
narrative_required_channel,Non-human ↔ human,0,0
narrative_required_channel,Human ↔ human,1,0
narrative_required_channel,Physical world ↔ human,2,0
word_status_built,raw-complete,0,0
word_status_built,signed-off,1,0
writer_identity,run,0,0
writer_identity,escalation,1,0
writer_identity,migration,2,0
writer_identity,call1_meanings,3,0
writer_identity,call2_getInfo,4,0
writer_identity,call3_strong,5,0
step_kind,operations,0,0
step_kind,utility,1,0
escalation_type,report-stop,2,1
escalation_type,crash,3,1
passage_debate_status,empty,2,0
passage_debate_status,in-progress,3,0
passage_debate_status,complete,4,0
operation_decision,retain,0,0
operation_decision,set_aside,1,0
operation_decision,retain_referential,2,0
operation_decision,recorded_silence,3,0
writer_identity,report.debate,6,0
