writer,table_name,database,inactive
call1_meanings,word_strong,iba,0
call2_getInfo,strong,iba,0
call2_getInfo,strong_sense,iba,0
call2_getInfo,strong_meaning_tree,iba,0
call2_getInfo,strong_lexicon,iba,0
call3_strong,strong_verse,iba,0
call3_strong,verse,iba,0
call3_strong,span,iba,0
registry.create,word_registry,iba,0
raw.write,word_registry,iba,0
raw.validate,validation_result,iba,0
run,run,iba,0
run,escalation,iba,1
run,word_registry,iba,0
run,validation_result,iba,0
escalation,escalation,iba,0
escalation,word_registry,iba,1
candidate.seed,lemma_inventory,iba,1
candidate.seed,candidate_seed,iba,1
candidate.set,span_candidate,iba,1
passage.build,passage,iba,0
passage.build,verse_passage,iba,0
migration,lemma_inventory,iba,0
migration,candidate_seed,iba,0
migration,word_strong,iba,0
configmaint.propose,cfg_meta,iba,0
configmaint.propose,cfg_table,iba,0
configmaint.propose,cfg_column,iba,0
configmaint.propose,cfg_unique,iba,0
configmaint.propose,cfg_enum,iba,0
configmaint.propose,cfg_connection,iba,0
configmaint.propose,cfg_api,iba,0
configmaint.propose,cfg_write_grant,iba,0
configmaint.propose,cfg_work_package,iba,0
configmaint.propose,cfg_step,iba,0
configmaint.propose,cfg_setting,iba,0
configmaint.propose,cfg_on_fail,iba,0
configmaint.propose,cfg_status_flow,iba,0
configmaint.propose,cfg_book_order,iba,0
configmaint.propose,cfg_candidate_rule,iba,0
configmaint.propose,cfg_change_log,iba,0
configmaint.propose,cfg_change_detail,iba,0
candidate.curate,candidate_seed,iba,1
candidate.load,candidate_seed,iba,1
configmaint.propose,cfg_report,iba,0
configmaint.propose,cfg_report_section,iba,0
configmaint.propose,cfg_report_csv_table,iba,0
lexicon.parse,strong_meaning_parsed,iba,0
lexicon.parse,strong_lsj_parsed,iba,0
lexicon.parse,strong_mounce_parsed,iba,0
lexicon.related,strong_related,iba,0
configmaint.propose,cfg_utility,iba,0
lexical.build,verse_lexical,iba,0
hib.set,hib,iba,0
hib.set,hib_referent_option,iba,0
hib.set,verse_hib,iba,0
phenomenon.set,phenomenon,iba,0
phenomenon.set,passage,iba,0
operation.set,operation,iba,0
operation.set,operation_party,iba,0
report.debate,passage,iba,1
closing.set,passage_linkage,iba,0
closing.set,passage_insufficiency,iba,0
closing.set,passage_emergent_question,iba,0
closing.set,passage_validation_note,iba,0
closing.set,passage,iba,0
hib.set,debate_change_detail,iba,0
passage.build,debate_change_detail,iba,0
phenomenon.set,debate_change_detail,iba,0
operation.set,debate_change_detail,iba,0
closing.set,debate_change_detail,iba,0
migration,word_registry,iba,0
migration,span,iba,0
migration,cluster,iba,0
migration,cluster_strong,iba,0
strong.reconcile,strong,iba,0
cluster.assign,cluster_strong,iba,0
configmaint.propose,cfg_escalation,iba,0
configmaint.propose,cfg_index,iba,0
configmaint.propose,cfg_content_index_exclude,iba,0
configmaint.propose,cfg_content_index_size_override,iba,0
configmaint.propose,cfg_behaviour_class,iba,0
configmaint.propose,cfg_behaviour_rule,iba,0
configmaint.propose,cfg_method_rule,iba,0
configmaint.propose,cfg_quality_check,iba,0
configmaint.propose,cfg_prose_concept,iba,0
escalation,escalation_history,iba,0
configmaint.propose,cfg_escalation_transition,iba,0
configmaint.propose,cfg_escalation_requirement,iba,0
configmaint.propose,cfg_passage,iba,0
apply_session_patch,record_change_log,bible_research,0
apply_session_patch,prose_section,bible_research,0
apply_session_patch,prose_section_type,bible_research,0
prose_flag,wa_data_quality_flags,bible_research,0
configmaint.propose,cfg_prose,iba,0
apply_session_patch,prose_section_verse_link,bible_research,0
configmaint.propose,cfg_table_purpose,iba,0
