span_id,role,chapter,verse_ref,surface,strongs,morph,stem,sense,linked_char_spans,linked_char_refs,verse_text
264842,qualifier,1,Pro 1:6,saying,H4426 H9002,HNcfsa HC,,,264840,Pro 1:6,"Pro 1:6 to understand a proverb and a saying , the words of the wise and their riddles ."
264661,standalone,1,Pro 1:12,whole,H8549I H9002,HAampa HC,,,,,"Pro 1:12 like Sheol let us swallow them alive , and whole , like those who go down to the pit ;"
264763,qualifier,1,Pro 1:25,counsel,H6098,HNcfsc,,,264764,Pro 1:25,"Pro 1:25 because you have ignored all my counsel and would have none of my reproof ,"
264807,qualifier,1,Pro 1:30,counsel,H6098 H9005,HNcfsc HR,,,264805,Pro 1:30,"Pro 1:30 would have none of my counsel and despised all my reproof ,"
264817,qualifier,1,Pro 1:31,devices,H4156 H9006 H9002 H9028,HNcfpc HR HC HSp3mp,,,264816,Pro 1:31,"Pro 1:31 therefore they shall eat the fruit of their way , and have their fill of their own devices ."
264824,qualifier,1,Pro 1:33,disaster,H7451C,HNcfsa,,,264823,Pro 1:33,"Pro 1:33 but whoever listens to me will dwell secure and will be at ease , without dread of disaster .”"
267062,qualifier,2,Pro 2:8,watching over,H8104H H9023,HVqi3ms HSp3ms,Qal,,267064,Pro 2:8,Pro 2:8 guarding the paths of justice and watching over the way of his saints .
266947,qualifier,2,Pro 2:11,watch over,H8104H,HVqi3fs,Qal,,266946,Pro 2:11,"Pro 2:11 discretion will watch over you, understanding will guard you,"
266980,qualifier,2,Pro 2:17,covenant,H1285 H9024 H0853 H9002,HNcfsc HSp3fs HTo HC,,,266979,Pro 2:17,Pro 2:17 who forsakes the companion of her youth and forgets the covenant of her God ;
308277,qualifier,3,Pro 3:11,discipline,H4148G,HNcmsc,,,308275,Pro 3:11,"Pro 3:11 My son, do not despise the Lord’s discipline or be weary of his reproof,"
267517,qualifier,3,Pro 3:12,loves,H0157G,HVqi3ms,Qal,,267521,Pro 3:12,"Pro 3:12 for the Lord reproves him whom he loves , as a father the son in whom he delights ."
267617,qualifier,3,Pro 3:25,terror,H6343 H9006,HNcmsa HR,,,267615,Pro 3:25,"Pro 3:25 Do not be afraid of sudden terror or of the ruin of the wicked , when it comes ,"
267626,qualifier,3,Pro 3:26,keep,H8104H H9021,HVqq3ms HSp2ms,Qal,,267625,Pro 3:26,Pro 3:26 for the Lord will be your confidence and will keep your foot from being caught .
267651,qualifier,3,Pro 3:29,evil,H7451I H9021,HNcfsa HSp2ms,,,267650,Pro 3:29,"Pro 3:29 Do not plan evil against your neighbor , who dwells trustingly beside you ."
267677,qualifier,3,Pro 3:30,harm,H7451C H9031,HNcfsa HSp2ms,,,267671,Pro 3:30,"Pro 3:30 Do not contend with a man for no reason , when he has done you no harm ."
267689,qualifier,3,Pro 3:32,abomination,H8441,HNcfsc,,,267688,Pro 3:32,"Pro 3:32 for the devious person is an abomination to the Lord , but the upright are in his confidence ."
