span_id,role,chapter,verse_ref,surface,strongs,morph,stem,sense,linked_char_spans,linked_char_refs,verse_text
275342,standalone,1,Psa 1:1,man,H0376G H9009,HNcmsa HTd,,man,,,"Psa 1:1 Blessed is the man who walks not in the counsel of the wicked , nor stands in the way of sinners , nor sits in the seat of scoffers ;"
275345,standalone,1,Psa 1:1,counsel,H6098 H9003,HNcfsc HR,,counsel,,,"Psa 1:1 Blessed is the man who walks not in the counsel of the wicked , nor stands in the way of sinners , nor sits in the seat of scoffers ;"
275346,standalone,1,Psa 1:1,wicked,H7563,HNcmpa,,wicked,,,"Psa 1:1 Blessed is the man who walks not in the counsel of the wicked , nor stands in the way of sinners , nor sits in the seat of scoffers ;"
275349,standalone,1,Psa 1:1,way,H1870G H9002 H9003,HNcbsc HC HR,,way,,,"Psa 1:1 Blessed is the man who walks not in the counsel of the wicked , nor stands in the way of sinners , nor sits in the seat of scoffers ;"
275350,standalone,1,Psa 1:1,sinners,H2400,HAampa,,sinners,,,"Psa 1:1 Blessed is the man who walks not in the counsel of the wicked , nor stands in the way of sinners , nor sits in the seat of scoffers ;"
275353,standalone,1,Psa 1:1,seat,H4186 H9002 H9003,HNcmsc HC HR,,seat,,,"Psa 1:1 Blessed is the man who walks not in the counsel of the wicked , nor stands in the way of sinners , nor sits in the seat of scoffers ;"
275354,standalone,1,Psa 1:1,scoffers,H3887,HAampa,,scoffers,,,"Psa 1:1 Blessed is the man who walks not in the counsel of the wicked , nor stands in the way of sinners , nor sits in the seat of scoffers ;"
275356,standalone,1,Psa 1:2,law,H8451 H9003 H3588B H0518B,HNcfsc HR HTc HTc,,law,,,"Psa 1:2 but his delight is in the law of the Lord , and on his law he meditates day and night ."
275358,standalone,1,Psa 1:2,law,H8451 H9003 H9002 H9023,HNcfsc HR HC HSp3ms,,law,,,"Psa 1:2 but his delight is in the law of the Lord , and on his law he meditates day and night ."
275360,standalone,1,Psa 1:2,day,H3119,HD,,day,,,"Psa 1:2 but his delight is in the law of the Lord , and on his law he meditates day and night ."
275361,standalone,1,Psa 1:2,night,H3915 H9002,HNcmsa HC,,night,,,"Psa 1:2 but his delight is in the law of the Lord , and on his law he meditates day and night ."
275368,standalone,1,Psa 1:3,yields,H5414G H9023,HVqi3ms HSp3ms,Qal,yields,,,"Psa 1:3 He is like a tree planted by streams of water that yields its fruit in its season , and its leaf does not wither . In all that he does , he prospers ."
275373,standalone,1,Psa 1:3,wither,H5034B H9023,HVqi3ms HSp3ms,Qal,wither,,,"Psa 1:3 He is like a tree planted by streams of water that yields its fruit in its season , and its leaf does not wither . In all that he does , he prospers ."
275376,standalone,1,Psa 1:3,prospers,H6743B,HVhi3ms,Hiphil,prospers,,,"Psa 1:3 He is like a tree planted by streams of water that yields its fruit in its season , and its leaf does not wither . In all that he does , he prospers ."
275377,standalone,1,Psa 1:4,wicked,H7563 H9009,HNcmpa HTd,,wicked,,,"Psa 1:4 The wicked are not so , but are like chaff that the wind drives away."
