"File","H2","StoryMarkers","Diff"
"psalms__anger-wrath-vexation__narratives.md","14","15","1"
"psalms__being-heard-listening__narratives.md","16","20","4"
"psalms__being-searched-tested-by-god__narratives.md","13","14","1"
"psalms__blessing-benediction__narratives.md","49","65","16"
"psalms__confession-forgiveness__narratives.md","3","3","0"
"psalms__deceit-falsehood__narratives.md","28","41","13"
"psalms__desire-longing-appetite__narratives.md","51","72","21"
"psalms__faint-despair-languishing__narratives.md","37","51","14"
"psalms__faith-faithfulness-truth__narratives.md","24","25","1"
"psalms__fear-of-god-awe__narratives.md","61","78","17"
"psalms__grace-mercy-compassion__narratives.md","13","16","3"
"psalms__grief-lament-sorrow__narratives.md","29","31","2"
"psalms__hope-waiting__narratives.md","34","40","6"
"psalms__humility-lowliness-contrition__narratives.md","27","39","12"
"psalms__inner-seat-heart-soul-spirit__narratives.md","103","167","64"
"psalms__joy-gladness__narratives.md","62","95","33"
"psalms__keeping-guarding-vigilance__narratives.md","21","24","3"
"psalms__knowing-understanding__narratives.md","69","92","23"
"psalms__life-death-vitality__narratives.md","9","10","1"
"psalms__lifting-bearing__narratives.md","17","21","4"
"psalms__love-devotion__narratives.md","23","25","2"
"psalms__malice-enmity-persecution__narratives.md","33","53","20"
"psalms__memory-remembrance__narratives.md","32","40","8"
"psalms__other-uncategorised__narratives.md","42","55","13"
"psalms__praise-extol-sing__narratives.md","93","167","74"
"psalms__prayer-petition-crying-out__narratives.md","70","103","33"
"psalms__pride-arrogance-scoffing__narratives.md","24","37","13"
"psalms__rebellion-stubbornness__narratives.md","27","31","4"
"psalms__rest-stillness-peace__narratives.md","8","10","2"
"psalms__restoration-revival-satisfaction__narratives.md","17","19","2"
"psalms__righteousness-integrity__narratives.md","42","69","27"
"psalms__seeking-inquiring__narratives.md","27","35","8"
"psalms__shame-confusion__narratives.md","18","24","6"
"psalms__sin-guilt-iniquity__narratives.md","32","55","23"
"psalms__speech-mouth-tongue__narratives.md","34","42","8"
"psalms__strength-courage-steadfastness__narratives.md","7","8","1"
"psalms__thanksgiving__narratives.md","37","45","8"
"psalms__torah-obedience-word__narratives.md","4","4","0"
"psalms__trust-refuge-security__narratives.md","57","77","20"
"psalms__turning-repentance__narratives.md","14","14","0"
"psalms__violence-cruelty__narratives.md","16","21","5"
"psalms__walk-way-conduct__narratives.md","38","46","8"
"psalms__wickedness-ungodliness__narratives.md","40","51","11"
"psalms__will-resolve-vow-intent__narratives.md","31","34","3"
"psalms__wisdom-folly-teaching__narratives.md","33","39","6"
"psalms__worship-prostration-service__narratives.md","20","25","5"
