from_span,to_span,edge_type,ve_nr,direction,pair_kind,phrase,book,from_verse_ref
275392,275341,source,103,,pair,God-content qualifier,19,Psa 1:6
276509,276507,source,103,,pair,God-content qualifier,19,Psa 2:12
276514,276507,source,103,,pair,God-content qualifier,19,Psa 2:12
276529,276523,source,103,,pair,God-content qualifier,19,Psa 2:5
276532,276523,source,103,,pair,God-content qualifier,19,Psa 2:5
276551,276498,source,103,,pair,God-content qualifier,19,Psa 2:8
305969,276494,source,103,,pair,God-content qualifier,19,Psa 2:4
278165,278168,source,103,,pair,God-content qualifier,19,Psa 3:3
278172,278168,source,103,,pair,God-content qualifier,19,Psa 3:4
278181,278177,source,103,,pair,God-content qualifier,19,Psa 3:5
278191,278184,source,103,,pair,God-content qualifier,19,Psa 3:7
278193,278184,source,103,,pair,God-content qualifier,19,Psa 3:7
278195,278184,source,103,,pair,God-content qualifier,19,Psa 3:7
279422,279419,source,103,,pair,God-content qualifier,19,Psa 4:1
279425,279419,source,103,,pair,God-content qualifier,19,Psa 4:1
279440,279438,source,103,,pair,God-content qualifier,19,Psa 4:3
279443,279438,source,103,,pair,God-content qualifier,19,Psa 4:3
305978,279462,source,103,,pair,God-content qualifier,19,Psa 4:6
280659,280660,source,103,,pair,God-content qualifier,19,Psa 5:1
280682,280672,source,103,,pair,God-content qualifier,19,Psa 5:12
280685,280672,source,103,,pair,God-content qualifier,19,Psa 5:12
280699,280702,source,103,,pair,God-content qualifier,19,Psa 5:3
280705,280669,source,103,,pair,God-content qualifier,19,Psa 5:4
280716,280669,source,103,,pair,God-content qualifier,19,Psa 5:5
280723,280669,source,103,,pair,God-content qualifier,19,Psa 5:6
280737,280744,source,103,,pair,God-content qualifier,19,Psa 5:8
281931,281933,source,103,,pair,God-content qualifier,19,Psa 6:2
281934,281933,source,103,,pair,God-content qualifier,19,Psa 6:2
281946,281961,source,103,,pair,God-content qualifier,19,Psa 6:4
281953,281961,source,103,,pair,God-content qualifier,19,Psa 6:4
281984,281978,source,103,,pair,God-content qualifier,19,Psa 6:8
281992,281978,source,103,,pair,God-content qualifier,19,Psa 6:9
283581,283588,source,103,,pair,God-content qualifier,19,Psa 7:11
283634,283631,source,103,,pair,God-content qualifier,19,Psa 7:2
283664,283683,source,103,,pair,God-content qualifier,19,Psa 7:6
283680,283683,source,103,,pair,God-content qualifier,19,Psa 7:8
283691,283578,source,103,,pair,God-content qualifier,19,Psa 7:9
285873,285879,source,103,,pair,God-content qualifier,19,Psa 9:10
285889,285892,source,103,,pair,God-content qualifier,19,Psa 9:12
285894,285897,source,103,,pair,God-content qualifier,19,Psa 9:13
285899,285897,source,103,,pair,God-content qualifier,19,Psa 9:13
286003,285875,source,103,,pair,God-content qualifier,19,Psa 9:9
270377,270417,source,103,,pair,God-content qualifier,19,Psa 10:12
270387,270364,source,103,,pair,God-content qualifier,19,Psa 10:14
270388,270364,source,103,,pair,God-content qualifier,19,Psa 10:14
270399,270434,source,103,,pair,God-content qualifier,19,Psa 10:15
270419,270417,source,103,,pair,God-content qualifier,19,Psa 10:17
272261,272228,source,103,,pair,God-content qualifier,19,Psa 11:4
272265,272288,source,103,,pair,God-content qualifier,19,Psa 11:5
272268,272288,source,103,,pair,God-content qualifier,19,Psa 11:5
272271,272288,source,103,,pair,God-content qualifier,19,Psa 11:5
272738,272740,source,103,,pair,God-content qualifier,19,Psa 12:1
272755,272751,source,103,,pair,God-content qualifier,19,Psa 12:3
272783,306021,source,103,,pair,God-content qualifier,19,Psa 12:7
306029,306021,source,103,,pair,God-content qualifier,19,Psa 12:5
273532,273544,source,103,,pair,God-content qualifier,19,Psa 13:1
273536,273544,source,103,,pair,God-content qualifier,19,Psa 13:1
273555,273572,source,103,,pair,God-content qualifier,19,Psa 13:3
273559,273572,source,103,,pair,God-content qualifier,19,Psa 13:3
274517,274526,source,103,,pair,God-content qualifier,19,Psa 14:2
274523,274526,source,103,,pair,God-content qualifier,19,Psa 14:2
274556,274566,source,103,,pair,God-content qualifier,19,Psa 14:6
274664,274668,source,103,,pair,God-content qualifier,19,Psa 16:1
274671,274672,source,103,,pair,God-content qualifier,19,Psa 16:10
274679,274684,source,103,,pair,God-content qualifier,19,Psa 16:11
274728,274724,source,103,,pair,God-content qualifier,19,Psa 16:5
274765,274763,source,103,,pair,God-content qualifier,19,Psa 17:1
274789,274821,source,103,,pair,God-content qualifier,19,Psa 17:13
274838,274843,source,103,,pair,God-content qualifier,19,Psa 17:3
274867,274876,source,103,,pair,God-content qualifier,19,Psa 17:7
274875,274876,source,103,,pair,God-content qualifier,19,Psa 17:8
274903,274972,source,103,,pair,God-content qualifier,19,Psa 18:1
274962,274972,source,103,,pair,God-content qualifier,19,Psa 18:19
274964,274980,source,103,,pair,God-content qualifier,19,Psa 18:19
275082,274980,source,103,,pair,God-content qualifier,19,Psa 18:34
275094,274912,source,103,,pair,God-content qualifier,19,Psa 18:35
275195,275155,source,103,,pair,God-content qualifier,19,Psa 18:50
275210,275203,source,103,,pair,God-content qualifier,19,Psa 18:6
275258,275244,source,103,,pair,God-content qualifier,19,Psa 19:11
275287,275281,source,103,,pair,God-content qualifier,19,Psa 19:14
275408,275423,source,103,,pair,God-content qualifier,19,Psa 20:1
275413,275427,source,103,,pair,God-content qualifier,19,Psa 20:2
