strong,stepGloss,language,cluster_code,short_name,source,created_at
G0014,to do good,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G0015,to do good,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G0016,doing good,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G0017,doing good,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G0018,good,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G0019,goodness,Greek,M39,Blessing,old-system-migration,2026-08-11T15:45:16Z
G0019,goodness,Greek,M46,Abundance,old-system-migration,2026-08-11T15:45:16Z
G0020,joy,Greek,M04,Joy,old-system-migration,2026-08-11T15:45:16Z
G0021,to rejoice,Greek,M04,Joy,old-system-migration,2026-08-11T15:45:16Z
G0023,be indignant,Greek,M02,Anger,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0024,indignation,Greek,M02,Anger,old-system-migration,2026-08-11T15:45:16Z
G0025,to love,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G0026,love,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G0027,beloved,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0036,lowly,Greek,M09,Humility,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0037,to sanctify,Greek,M12,Purity,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0038,holiness,Greek,M22,Praise,old-system-migration,2026-08-11T15:45:16Z
G0039G,Holy Place,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0039H,Most Holy Place,Greek,T2,Supplementary,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0040G,holy,Greek,M22,Praise,old-system-migration,2026-08-11T15:45:16Z
G0040H,holy: saint,Greek,M12,Purity,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0041,holiness,Greek,M22,Praise,old-system-migration,2026-08-11T15:45:16Z
G0042,holiness,Greek,M22,Praise,old-system-migration,2026-08-11T15:45:16Z
G0043,arm,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0047,purity,Greek,M12,Purity,old-system-migration,2026-08-11T15:45:16Z
G0048,to purify,Greek,M12,Purity,old-system-migration,2026-08-11T15:45:16Z
G0049,purification,Greek,M12,Purity,old-system-migration,2026-08-11T15:45:16Z
G0050,be ignorant,Greek,M15,Wisdom,old-system-migration,2026-08-11T15:45:16Z
G0051,error,Greek,M10,Sin,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0052,ignorance,Greek,M15,Wisdom,auto-precedent,2026-08-12T14:50:55Z
G0053,pure,Greek,M12,Purity,old-system-migration,2026-08-11T15:45:16Z
G0054,purity,Greek,M12,Purity,old-system-migration,2026-08-11T15:45:16Z
G0055,purely,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0056,ignorance,Greek,M15,Wisdom,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0059,to buy,Greek,T3,Operations,auto-precedent,2026-08-12T14:50:55Z
G0060,of the marketplace,Greek,T2,Supplementary,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0064,to catch,Greek,T3,Operations,manual-backfill-triage-20260813,2026-08-13T09:10:57Z
G0065,wild olive tree,Greek,T2,Supplementary,manual-backfill-triage-20260813,2026-08-13T09:10:57Z
G0066,wild,Greek,T2,Supplementary,manual-backfill-triage-20260813,2026-08-13T09:10:57Z
G0069,be watchful,Greek,T2,Supplementary,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0071,to bring,Greek,T2,Supplementary,manual-backfill-triage-20260813,2026-08-13T09:10:57Z
G0073,fight,Greek,M35,Testing,old-system-migration,2026-08-11T15:45:16Z
G0074,a struggle,Greek,M34,Perseverance,old-system-migration,2026-08-11T15:45:16Z
G0075,to struggle,Greek,M34,Perseverance,old-system-migration,2026-08-11T15:45:16Z
G0079,sister,Greek,M44,Relational,old-system-migration,2026-08-11T15:45:16Z
G0080,brother,Greek,M14,Deceit,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
