strongNumber,stepGloss,count,matched_clusters,matched_words
H0310A,after,728,M21,after
G3767,therefore/then,707,T2,therefore
G5456G,voice/sound: voice,668,"M13,M15,M42","sound,voice"
G2147,to find/meet,635,"M37,T2","find,meet"
H5927G,to ascend: rise,624,M08,rise
G3816,child,416,M05,child
G2540,time/right time,399,M13,right
G1492H,to perceive: see,396,M15,perceive
H3701G,silver: money,391,M28,money
G3694,after,389,M21,after
G3960,to strike,384,M35,strike
H1129,to build,379,"M05,T2",build
H0251G,brother: male-sibling,363,"FLAG,M14,T2","brother,male"
H1870G,way: conduct,348,M22,conduct
G4413G,first,338,"M08,T2",first
G0565,to go away,318,M07,away
H5930A,burnt offering,288,"M10,T2",offering
G5043,child,275,M05,child
G2641,to leave behind,266,M11,leave
G1821,to send out/away,260,M07,away
G0312,to report,254,"M22,M41",report
G1188,right,230,M13,right
G1806,to lead out,218,M23,lead
G1607,to depart,198,M30,depart
G3646,burnt offering,194,"M10,T2",offering
H3423H,to possess: take,193,FLAG,possess
H4639G,deed: work,186,"M36,T2",work
G0906G,to throw: throw,181,M07,throw
G0833,palace/courtyard,179,M23,palace
G5312,to lift up,178,M19,lift
G4334,to come near/agree,177,M44,agree
H4503G,grain offering,176,"M10,T2","grain,offering"
G1330,to pass through,176,FLAG,pass
H3898A,to fight,171,M35,fight
H7126H,to present: bring,168,"M15,T2","bring,present"
G4170,to fight,166,M35,fight
G1459,to leave behind,161,M11,leave
G2525,to appoint/conduct,160,"FLAG,M22","appoint,conduct"
G5438G,prison/watch: prison,158,M06,watch
G3928,to pass by,154,FLAG,pass
G1980,to visit/care for,153,"M05,T2","care,visit"
G3813,child,153,M05,child
G1727,hostile,141,M06,hostile
G2255,half,141,M24,half
G2902,to grasp/seize,135,M24,seize
H0251H,brother: male-relative,134,"FLAG,M14,T2","brother,male,relative"
H7604,to remain,133,M34,remain
H0251I,brother: compatriot,133,M14,brother
G1578,to turn from,132,M30,turn
H5375G,to lift: raise,131,M19,lift
G4105,to lead astray,131,M23,lead
G0749,high-priest,130,"M08,T2",high
H7223G,first,128,"M08,T2",first
G0321,to lead,128,M23,lead
H3225G,right,127,M13,right
H2677,half,125,M24,half
H7725H,to return: rescue,124,"M11,M45",return
G4008,other side,119,T2,other
G3485,temple,117,M27,temple
G0390,to live/return,116,"M11,M25,M45,T2","live,return"
G4815,to seize/conceive/help,115,M24,seize
H7126G,to present: come,112,M15,present
H3498,to remain,106,M34,remain
G5083G,to keep: observe,101,"FLAG,M30",keep
H5307J,to fall: kill,98,"M02,T2",fall
G3008,to minister,98,"M36,T2",minister
G3699,where(-ever),97,T2,where
G3641,little/few,96,"M31,T2",little
G1914,to look upon/at,96,"M18,M30,T2",look
G0522,to take away,95,M07,away
H3559A,to establish: prepare,93,M12,prepare
G5571,false,91,M14,false
G2784,to preach,88,M21,preach
G4496,to throw/lay down,86,"M07,T2","down,throw"
G1869,to lift up,84,M19,lift
G0314,to read,83,"M37,T2",read
H2145,male,82,"FLAG,T2",male
H1697K,word: deed,78,M15,word
G0373,to give rest,77,M33,rest
H1540K,to reveal: remove,74,"FLAG,M30",remove
G2411,temple,74,M27,temple
G2447,poison/rust,73,M24,poison
G1911,to put on/seize,72,M24,seize
G1685,to throw in,71,M07,throw
G2901,to strengthen,70,"M23,M34,T2",strengthen
H0376H,man: husband,69,"FLAG,M05",husband
G2664,to keep from,67,"FLAG,M30",keep
H3925G,to learn: teach,66,M15,teach
H5262,drink offering,66,"M10,T2",offering
H7925,to rise,65,M08,rise
H0801,food offering,65,"M10,T2",offering
H3947I,to take: marry,64,FLAG,marry
G5421,well/abyss,63,M33,well
G0730,male,61,"FLAG,T2",male
G2573,well,60,M33,well
G4014,to take away,60,M07,away
G0837,to grow,59,"M23,T2",grow
G0393,to rise,58,M08,rise
G2722,to hold back/fast,58,"M23,T2","back,hold"
G2647,to destroy/lodge,57,"FLAG,M10,T2",destroy
H1964G,temple,56,M27,temple
G4876,to meet,55,M37,meet
G0308,to look up/again,54,"M18,M30,T2",look
G0435H,man: husband,53,"FLAG,M05",husband
G3719,to rise at dawn,53,M08,rise
G0906H,to throw: put,52,M07,throw
H5375M,to lift: look,51,"M18,M19,M30,T2","lift,look"
H1234,to break up/open,51,"FLAG,T2","break,open"
G0520,to lead away,51,"M07,M23","away,lead"
G1968,to fall/press upon,51,"FLAG,M02,M03,T2","fall,press"
H7223H,first: previous,50,"M08,T2",first
G5180,to strike,50,M35,strike
H5062,to strike,49,M35,strike
G4327,to wait for/welcome,48,"M18,M41","wait,welcome"
G2137,to get along well,48,M33,well
G3516,child,47,M05,child
G1658,free/freedom,46,M38,free
G2859,bosom,46,M05,bosom
G0641,to throw off,46,M07,throw
G2095,well/well done!,45,M33,well
G1263,to testify solemnly,45,M13,testify
G4486,to throw violently,44,M07,throw
H3256,to discipline,43,M19,discipline
H0962,to plunder,43,M24,plunder
G3449,toil,42,M03,toil
H2945,child,42,M05,child
H7225G,first: beginning,41,"M08,M17,T2","beginning,first"
H5975H,to stand: appoint,40,"FLAG,T2","appoint,stand"
H5375N,to lift: loud,40,M19,lift
G1706,to fall into,40,"M02,T2",fall
G3899,to pass by/through,40,FLAG,pass
H1767,sufficiency,39,M15,sufficiency
H5148,to lead,39,M23,lead
G2338,female,38,M36,female
G3693,after,38,M21,after
G2853,to join,38,M10,join
H0875,well,38,M33,well
H1219,to gather/restrain/fortify,37,M30,restrain
G0447,to loosen/leave,37,M11,leave
H3423G,to possess: possess,36,FLAG,possess
