strongNumber,stepGloss,stepTransliteration,language,count,stem_key
H5868A,iniquities,o.nah,Hebrew,1,iniq
H5543A,`valor`,sal.la,Hebrew,1,valo
H8438A,worm,to.la,Hebrew,4,worm
H0369,nothing,a.yin,Hebrew,795,noth
H3196,wine,ya.yin,Hebrew,141,wine
H4758,appearance,mar.eh,Hebrew,103,appe
H4960,feast,mish.teh,Hebrew,46,feas
H5612H,scroll: book,se.pher,Hebrew,133,scro
H5631,eunuch,sa.ris,Hebrew,42,eunu
H7117,end,qe.tsat,Hebrew,10,end
H7227B,chief,rav,Hebrew,21,chie
H7969,three,sha.losh,Hebrew,436,thre
H8141,year,sha.nah,Hebrew,886,year
H0428,these,el.leh,Hebrew,746,thes
H0702,four,ar.ba,Hebrew,324,four
H0825,enchanter,ash.shaph,Hebrew,2,ench
H0854,with,et,Hebrew,932,with
H2377,vision,cha.zon,Hebrew,35,visi
H2748,magician,char.tom,Hebrew,11,magi
H3978,food,ma.a.khal,Hebrew,30,food
H4453,`steward`,mel.tsar,Hebrew,2,stew
H5973A,with,im,Hebrew,979,with
H6235,ten,e.ser,Hebrew,179,ten
H0230,gone,az.da,Hebrew,2,gone
H0321,another,o.cho.ran,Hebrew,5,anot
H0826,enchanter,a.shaph,Hebrew,6,ench
H2749,magician,char.tom,Hebrew,5,magi
H2877,guardsman,tab.bach,Hebrew,1,guar
H3007,earth,yab.be.shet,Hebrew,1,eart
H3358,honorable,yaq.qir,Hebrew,2,hono
H4430,king,me.lekh,Hebrew,180,king
H5023,reward,ne.viz.bah,Hebrew,2,rewa
H5122,dunghill,ne.va.lu,Hebrew,3,dung
H5922,since,al,Hebrew,133,sinc
H7690,greatly,sag.gi,Hebrew,13,grea
H8142,sleep,she.nah,Hebrew,23,slee
H8147,two,she.na.yim,Hebrew,772,two
H8579,second time,tin.ya.nut,Hebrew,1,seco
H0002,father,av,Hebrew,9,fath
H0320,latter,a.cha.rit,Hebrew,1,latt
H1247I,son: type of,bar,Hebrew,8,sont
H1297,nevertheless,be.ram,Hebrew,5,neve
H1547,captivity,ga.lu,Hebrew,4,capt
H2376,vision,che.zu,Hebrew,12,visi
H3118,day,yom,Hebrew,16,day
H3652,thus,ken,Hebrew,8,thu
H3705,now,ke.an,Hebrew,13,now
H3916,night,le.la,Hebrew,5,nigh
H4903,bed,mish.kav,Hebrew,6,bed
H5094A,light,ne.hir,Hebrew,4,ligh
H5994,deep,a.miq,Hebrew,1,deep
H7328,mystery,raz,Hebrew,9,myst
H7606,remainder,she.ar,Hebrew,12,rema
H8065,heaven,sha.ma.yin,Hebrew,38,heav
H0324,satrap,a.chash.dar.pe.nin,Hebrew,9,satr
H0521,cubit,am.mah,Hebrew,4,cubi
H1411,treasurer,ge.da.ve.ray.ya,Hebrew,2,trea
H1459,midst,gav,Hebrew,13,mids
H1722,gold,de.hav,Hebrew,23,gold
H2597,dedication,cha.nuk.kah,Hebrew,4,dedi
H4083,province,me.di.nah,Hebrew,11,prov
H5135,fire,nur,Hebrew,17,fire
H5443,trigon,sab.be.kha,Hebrew,4,trig
H6460,psaltery,pe.san.te.rin,Hebrew,4,psal
H6613,breadth,pe.ta,Hebrew,2,brea
H7030,lyre,qa.ta.ros,Hebrew,16,lyre
H8160,moment,sha.ah,Hebrew,5,mome
H8353,six,shet,Hebrew,2,six
H8361,sixty,shit.tin,Hebrew,4,sixt
H0069,stone,e.ven,Hebrew,8,ston
H0147,threshing floor,id.dar,Hebrew,1,thre
H0317,another,o.cho.ri,Hebrew,6,anot
H0459,these,il.len,Hebrew,5,thes
H0581A,they,in.nun,Hebrew,3,they
H0677,digit,ets.ba,Hebrew,3,digi
H0772H,earth: inferior,a.ra,Hebrew,1,eart
H0772I,earth: planet,a.ra,Hebrew,16,eart
H1251,field,bar,Hebrew,8,fiel
H1994,they,him.mo,Hebrew,12,they
H2635,clay,cha.saph,Hebrew,9,clay
H2869,fine,tav,Hebrew,2,fine
H3410,thigh,yar.kha,Hebrew,1,thig
H3493,preeminent,yat.tir,Hebrew,8,pree
H3702,silver,ke.saph,Hebrew,13,silv
H5776,bird,oph,Hebrew,2,bird
H5784,chaff,ur,Hebrew,1,chaf
H6523,iron,par.zel,Hebrew,20,iron
H7007,summer,qa.yit,Hebrew,1,summ
H7118,end,qe.tsat,Hebrew,3,end
H7244,fourth,re.vi.i,Hebrew,18,four
H7299,appearance,rev,Hebrew,2,appe
H8523B,third,te.li.tay,Hebrew,4,thir
H0479,these,il.lekh,Hebrew,14,thes
H0703,four,ar.ba,Hebrew,8,four
H3487,whom,yat,Hebrew,1,whom
H3831,garment,le.vush,Hebrew,2,garm
H5622,mantle,sar.bal,Hebrew,2,mant
H6263,ready,a.tid,Hebrew,1,read
H6361,legging,pe.tash,Hebrew,4,legg
