strong,gloss,cluster_code,cluster_label,source,confidence,review_flag,keep (fill in Y/blank)
G0040H,holy: saint,M12,Righteousness & Integrity,llm-allocation-v1_3-20260811,medium,0,
G0040H,holy: saint,M13,Faith & Faithfulness,heuristic-family-grouping-v1-20260905,heuristic,0,
G0114,to reject,M07,Shame & Confusion,llm-allocation-v1_3-20260811,medium,0,
G0114,to reject,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
G0168,uncleanness,M12,Righteousness & Integrity,llm-allocation-v1_3-20260811,high,0,
G0168,uncleanness,M56,Sin & Guilt,heuristic-family-grouping-v1-20260905,heuristic,0,
G0362,to await,M16,Wisdom & Folly,llm-allocation-v1_3-20260811,high,0,
G0362,to await,M68,Hope & Waiting,heuristic-family-grouping-v1-20260905,heuristic,0,
G0593,to reject,M07,Shame & Confusion,llm-allocation-v1_3-20260811,medium,0,
G0593,to reject,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
G0611,to answer,M24,Faintness & Despair,auto-precedent,,0,
G0611,to answer,M41,Being Heard,heuristic-family-grouping-v1-20260905,heuristic,0,
G0612,answer,M41,Being Heard,heuristic-family-grouping-v1-20260905,heuristic,0,
G0612,answer,M42,Prayer & Petition,auto-precedent,,0,
G0654,to turn away,M06,Malice & Enmity,llm-allocation-v1_3-20260811,medium,0,
G0654,to turn away,M11,Turning & Repentance,heuristic-family-grouping-v1-20260905,heuristic,0,
G0683,to reject,M07,Shame & Confusion,llm-allocation-v1_3-20260811,medium,0,
G0683,to reject,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
G0694,money,M28,Envy & Greed,auto-precedent,,0,
G0694,money,M46,Wealth & Riches,heuristic-family-grouping-v1-20260905,heuristic,0,
G1605,be astonished,M01,Fear & Awe,llm-allocation-v1_3-20260811,medium,0,
G1605,be astonished,M48,Astonishment & Wonder,heuristic-family-grouping-v1-20260905,heuristic,0,
G1611,amazement,M01,Fear & Awe,llm-allocation-v1_3-20260811,high,0,
G1611,amazement,M48,Astonishment & Wonder,heuristic-family-grouping-v1-20260905,heuristic,0,
G1834,to tell,M42,Prayer & Petition,auto-precedent,,0,
G1834,to tell,M65,Speech & Tongue,heuristic-family-grouping-v1-20260905,heuristic,0,
G1872,to follow after,M21,Fasting & Piety,llm-allocation-v1_3-20260811,medium,0,
G1872,to follow after,M76,Walk & Conduct,heuristic-family-grouping-v1-20260905,heuristic,0,
G1955,explanation,M15,Knowing & Understanding,auto-precedent,,0,
G1955,explanation,M43,Prophecy & Vision,heuristic-family-grouping-v1-20260905,heuristic,0,
G2019,to shout,M22,Praise & Song,llm-allocation-v1_3-20260811,high,0,
G2019,to shout,M84,Outcry & Shouting,heuristic-family-grouping-v1-20260905,heuristic,0,
G2097,to speak good news,M05,Kindness & Friendship,llm-allocation-v1_3-20260811,medium,0,
G2097,to speak good news,M65,Speech & Tongue,heuristic-family-grouping-v1-20260905,heuristic,0,
G2132,to reconcile,M05,Kindness & Friendship,heuristic-family-grouping-v1-20260905,heuristic,0,
G2132,to reconcile,M11,Turning & Repentance,auto-precedent,,0,
G2190,enemy,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
G2190,enemy,M44,Covenant & Fellowship,auto-precedent,,0,
