family,cluster,strong,stepGloss
inner-seat-heart-soul-spirit,M04,G2293,take heart
inner-seat-heart-soul-spirit,M05,H2436G,bosom: embrace
inner-seat-heart-soul-spirit,M15,G7244,inner thought
inner-seat-heart-soul-spirit,M20,G1573,to lose heart
inner-seat-heart-soul-spirit,M23,G2293,take heart
inner-seat-heart-soul-spirit,M24,G8485,be faint-hearted
inner-seat-heart-soul-spirit,M25,G4151G,spirit/breath: spirit
inner-seat-heart-soul-spirit,M25,G4151H,spirit/breath: breath
inner-seat-heart-soul-spirit,M25,G5590H,soul: life
inner-seat-heart-soul-spirit,M25,H5315H,soul: life
inner-seat-heart-soul-spirit,M26,G2589,heart-knower
inner-seat-heart-soul-spirit,M30,G4641,hardness of heart
inner-seat-heart-soul-spirit,M43,G3050,spiritual
inner-seat-heart-soul-spirit,M43,G4152,spiritual
inner-seat-heart-soul-spirit,M47,G2588,heart
inner-seat-heart-soul-spirit,M47,G4561,flesh
inner-seat-heart-soul-spirit,M47,G5590G,soul
inner-seat-heart-soul-spirit,M47,G5590I,soul: myself
inner-seat-heart-soul-spirit,M47,G5590J,soul: person
inner-seat-heart-soul-spirit,M47,G5590K,soul: animal
inner-seat-heart-soul-spirit,M47,G7143,to tear off flesh
inner-seat-heart-soul-spirit,M47,G7681,decaying flesh
inner-seat-heart-soul-spirit,M47,G7798,to take heart
inner-seat-heart-soul-spirit,M47,G8419,dull of heart
inner-seat-heart-soul-spirit,M47,H1320,flesh
inner-seat-heart-soul-spirit,M47,H1321,flesh
inner-seat-heart-soul-spirit,M47,H3820A,heart
inner-seat-heart-soul-spirit,M47,H3821,heart
inner-seat-heart-soul-spirit,M47,H3824,heart
inner-seat-heart-soul-spirit,M47,H3825,heart
inner-seat-heart-soul-spirit,M47,H3826,heart
inner-seat-heart-soul-spirit,M47,H5315G,soul
inner-seat-heart-soul-spirit,M47,H5315I,soul: myself
inner-seat-heart-soul-spirit,M47,H5315J,soul: person
inner-seat-heart-soul-spirit,M47,H5315K,soul: animal
inner-seat-heart-soul-spirit,M47,H5315L,soul: appetite
inner-seat-heart-soul-spirit,M47,H5315M,soul: dead
inner-seat-heart-soul-spirit,M47,H5315N,soul: neck
inner-seat-heart-soul-spirit,M47,H7307G,spirit
inner-seat-heart-soul-spirit,M47,H7307H,spirit: breath
inner-seat-heart-soul-spirit,M47,H7307I,spirit: side
inner-seat-heart-soul-spirit,M47,H7307J,spirit: temper
inner-seat-heart-soul-spirit,M47,H7308,spirit
inner-seat-heart-soul-spirit,M47,H7607,flesh
inner-seat-heart-soul-spirit,M47,H7907,heart
trust-refuge-security,M04,G2292,be confident
trust-refuge-security,M19,G0803,security
trust-refuge-security,M19,G0804,secure
trust-refuge-security,M19,G2294,courage/confidence
trust-refuge-security,M19,G4006,confidence
trust-refuge-security,M19,G4740,security
trust-refuge-security,M19,G5287,confidence/essence
trust-refuge-security,M19,G6381,worthy of trust
trust-refuge-security,M19,H0540,to trust
trust-refuge-security,M19,H0982,to trust
trust-refuge-security,M19,H0983,security
trust-refuge-security,M19,H0985,trust
trust-refuge-security,M19,H0986,trust
trust-refuge-security,M19,H0987,security
trust-refuge-security,M19,H2620,to seek refuge
trust-refuge-security,M19,H2622,refuge
trust-refuge-security,M19,H3690,confidence
