id,verse_context_group_id,owning_registry_no,cluster_assignment,dimension,anchor_count,related_count,set_aside_count,total_verse_count,delete_flagged,dimension_confidence,manual_override,notes,last_modified,dominant_subject
1665,1782,112,C01,03 — Cognition,1,5,0,6,0,CLAUDE_AI,0,"Description names ""inner act of bringing prior knowledge or experience back into active awareness — voluntary recall or prompted remembrance."" §7.7 03 Cognition.",2026-04-20T10:56:00Z,HUMAN
1666,1783,112,C01,11 — Divine-Human Correspondence,1,2,0,3,0,CLAUDE_AI,0,"Description names ""eucharistic act of remembrance — inner and communal re-presentation of Christ's self-giving before God and one another."" The anamnēsis of 1 Cor 11:24-25 / Luke 22:19 — the Lord's Supper. This is the signature Dimension 11 case in the NT for memorial vocabulary: Christ's giving grounds the community's remembering; the two operate across the divine-human boundary. §7.7 11. Paired with the AZKARAH group as Dimension 11 patterns for memorial vocabulary.",2026-04-20T10:56:00Z,NONE
1667,1784,112,C01,05 — Moral Character,1,0,0,1,0,CLAUDE_AI,0,"Description names ""annual reminder of unresolved sin — old covenant's inability to finally cleanse the conscience."" Hebrews 10:3 context. The characteristic is the conscience's unresolved state — §7.7 05 Moral Character (moral character and conscience are adjacent in the dimension). Distinct from 4426-001 (new covenant memorial as divine-human correspondence) by the old covenant's failure framing. 05 Moral Character captures the conscience-state characteristic; alternatively 03 Cognition (the reminding act) but the semantic weight here is on the inner moral state reminded, not the act of reminding.",2026-04-20T10:56:00Z,HUMAN
1668,1785,112,C01,04 — Volition,1,3,0,4,0,CLAUDE_AI,0,"Description names ""inner act of deliberate decision — mind resolving upon a course of action through weighing and choosing."" Direct §7.7 04 Volition match. BOUL root family flagged for Session D pointer.",2026-04-20T10:56:00Z,HUMAN
1669,1786,112,C01,04 — Volition,1,2,0,3,0,CLAUDE_AI,0,"Description names ""deliberate planning directed toward harm — inner will forming intention against another."" §7.7 04 Volition with negative moral valence. The harm-direction does not change the dimension (planning-directed-toward-harm is still a volitional act); the moral valence is a Phase C note, not a dimension split.",2026-04-20T10:56:00Z,HUMAN
1670,1644,32,C02,04 — Volition,2,3,0,5,0,CLAUDE_AI,1,Anchored — dimension analytically unambiguous. C01 anchor session 2026-04-06.,2026-04-06,
1671,1645,32,C02,11 — Divine-Human Correspondence,2,6,0,8,0,CLAUDE_AI,1,Anchored — dimension analytically unambiguous. C01 anchor session 2026-04-06.,2026-04-06,
1672,1646,43,C04,04 — Volition,1,1,0,2,0,CLAUDE_AI,1,Anchored — dimension analytically unambiguous. C01 anchor session 2026-04-06.,2026-04-06,
1673,1647,43,C04,04 — Volition,2,24,0,26,0,CLAUDE_AI,1,Anchored — dimension analytically unambiguous. C01 anchor session 2026-04-06.,2026-04-06,
1674,1648,43,C04,11 — Divine-Human Correspondence,2,6,0,8,0,CLAUDE_AI,1,Anchored — dimension analytically unambiguous. C01 anchor session 2026-04-06.,2026-04-06,
