dqf_id,file_id,word,registry_id,term_id,flag_code,flag_description,analyst_note,category,researcher_decision,resolution_term_inv_id,resolution_notes
1254,1,abomination,001,H8374,NO_VERSES,Zero confirmed verse records for this term.,,NOT_IN_DB,,,
2723,1,abomination,001,H8374,THIN_DATA,,,NOT_IN_DB,,,
1282,2,agony,002,G0928,THIN_DATA,Low occurrence count: 12. Statistical patterns unreliable with fewer than 20 occurrences.,,NOT_IN_DB,,,
1283,2,agony,002,G0928,SMALL_VERSE_SAMPLE,Only 4 confirmed verse records for G0928. Threshold is 5.,,NOT_IN_DB,,,
1286,2,agony,002,G0928,SPAN_FILTER_APPLIED,Span filter removed 8 verse(s) for G0928: span_strong_match=0 records exist in wa_verse_records.,,NOT_IN_DB,,,
1318,4,anger,004,G2373,SMALL_VERSE_SAMPLE,Only 1 confirmed verse records for G2373. Threshold is 5.,,NOT_IN_DB,,,
1319,4,anger,004,G2373,NO_WORD_ANALYSIS,meaning field is null for G2373. STEP returned no word analysis block for this term.,,NOT_IN_DB,,,
2801,4,anger,004,G2373,THIN_DATA,,,NOT_IN_DB,,,
1315,4,anger,004,G3949,SMALL_VERSE_SAMPLE,Only 2 confirmed verse records for G3949. Threshold is 5.,,NOT_IN_DB,,,
1316,4,anger,004,G3949,NO_WORD_ANALYSIS,meaning field is null for G3949. STEP returned no word analysis block for this term.,,NOT_IN_DB,,,
2799,4,anger,004,G3949,THIN_DATA,,,NOT_IN_DB,,,
1313,4,anger,004,G3949_related,NO_VERSES,Zero confirmed verse records for G3949_related.,,RELATED_SUFFIX,,,
1314,4,anger,004,G3949_related,NO_WORD_ANALYSIS,meaning field is null for G3949_related. STEP returned no word analysis block for this term.,,RELATED_SUFFIX,,,
2798,4,anger,004,G3949_related,THIN_DATA,,,RELATED_SUFFIX,,,
1363,5,anguish,005,G0928,THIN_DATA,Low occurrence count: 12. Statistical patterns unreliable with fewer than 20 occurrences.,,NOT_IN_DB,,,
1364,5,anguish,005,G0928,SMALL_VERSE_SAMPLE,Only 4 confirmed verse records for G0928. Threshold is 5.,,NOT_IN_DB,,,
1385,6,anointing,006,G0220,NO_VERSES,Zero confirmed verse records for G0220.,,NOT_IN_DB,,,
1386,6,anointing,006,G0220,NO_WORD_ANALYSIS,meaning field is null for G0220. STEP returned no word analysis block for this term.,,NOT_IN_DB,,,
2854,6,anointing,006,G0220,THIN_DATA,,,NOT_IN_DB,,,
1398,6,anointing,006,G3040,NO_VERSES,Zero confirmed verse records for G3040.,,NOT_IN_DB,,,
