book,ordinal
Gen,0
Exod,1
Lev,2
Num,3
Deut,4
Josh,5
Judg,6
Ruth,7
1Sam,8
2Sam,9
1Kgs,10
2Kgs,11
1Chr,12
2Chr,13
Ezra,14
Neh,15
Esth,16
Job,17
Ps,18
Prov,19
Eccl,20
Song,21
Isa,22
Jer,23
Lam,24
Ezek,25
Dan,26
Hos,27
Joel,28
Amos,29
Obad,30
Jonah,31
Mic,32
Nah,33
Hab,34
Zeph,35
Hag,36
Zech,37
Mal,38
Matt,39
Mark,40
Luke,41
John,42
Acts,43
Rom,44
1Cor,45
2Cor,46
Gal,47
Eph,48
Phil,49
Col,50
1Thess,51
2Thess,52
1Tim,53
2Tim,54
Titus,55
Phlm,56
Heb,57
Jas,58
1Pet,59
2Pet,60
1John,61
2John,62
3John,63
Jude,64
Rev,65
