kind,value
accept,G0037
accept,G0112
accept,G0120
accept,G0127
accept,G0192
accept,G0193
accept,G0212
accept,G0213
accept,G0335
accept,G0363
accept,G0364
accept,G0372
accept,G0463
accept,G0524
accept,G0569
accept,G0571
accept,G0639
accept,G0640
accept,G0703
accept,G0884
accept,G1140
accept,G1142
accept,G1167
accept,G1168
accept,G1169
accept,G1228
accept,G1374
accept,G1375
accept,G1404
accept,G1466
accept,G1467
accept,G1468
accept,G1493
accept,G1497
accept,G1559
accept,G1690
accept,G1693
accept,G1727
accept,G2107
accept,G2126
accept,G2130
accept,G2133
accept,G2145
accept,G2150
accept,G2151
accept,G2152
accept,G2153
accept,G2168
accept,G2169
accept,G2189
accept,G2190
accept,G2206
accept,G2237
accept,G2314
accept,G2315
accept,G2316
accept,G2317
accept,G2319
accept,G2432
accept,G2616
accept,G2669
accept,G2897
accept,G2962
accept,G4021
accept,G4068
accept,G4224
accept,G4288
accept,G4289
accept,G4290
accept,G4460
accept,G4567
accept,G4576
accept,G4704
accept,G4705
accept,G4708
accept,G4709
accept,G4724
accept,G4763
accept,G4764
accept,G4834
accept,G4835
accept,G4912
accept,G4994
accept,G4995
accept,G4996
accept,G4998
accept,G5091
accept,G5092
accept,G5172
accept,G5304
accept,G5314
accept,G5326
accept,G5362
accept,G5367
accept,G5369
accept,G5373
accept,G5377
accept,G5381
accept,G5382
accept,G5388
accept,G5397
accept,G5424
accept,G5425
accept,G5429
accept,G5468
accept,G5469
accept,G5512
accept,G5513
accept,G5542
accept,G5587
accept,G5588
accept,G6081
accept,H0136
accept,H0142
accept,H0178
accept,H0340
accept,H0341
accept,H0342
accept,H0377
accept,H0410
accept,H0426
accept,H0430
accept,H0433
accept,H0457
accept,H0596
accept,H0837
accept,H0842
accept,H0888
accept,H0907
accept,H0943
accept,H1168
accept,H1176
accept,H1180
accept,H1215
accept,H1421
accept,H1442
accept,H1544
accept,H1605
accept,H1606
accept,H1870
accept,H1891
accept,H1947
accept,H1948
accept,H2000
accept,H2082
accept,H2102
accept,H2267
accept,H2357
accept,H2541
accept,H2559
accept,H2611
accept,H2612
accept,H2613
accept,H2748
accept,H2749
accept,H2814
accept,H2820
accept,H2927
accept,H2940
accept,H2954
accept,H3050
accept,H3068
accept,H3069
accept,H3238
accept,H3256
accept,H3631
accept,H3722
accept,H3782
accept,H3784
accept,H3868
accept,H3882
accept,H3905
accept,H3906
accept,H3908
accept,H3931
accept,H3948
accept,H4432
accept,H4603
accept,H4604
accept,H4642
accept,H4783
accept,H4835
accept,H4890
accept,H5010
accept,H5040
accept,H5065
accept,H5172
accept,H5175
accept,H5201
accept,H5251
accept,H5314
accept,H5496
accept,H5566
accept,H5727
accept,H5730
accept,H5765
accept,H5782
accept,H5792
accept,H5920
accept,H5943
accept,H5946
accept,H6049
accept,H6091
accept,H6101
accept,H6102
accept,H6103
accept,H6104
accept,H6121
accept,H6122
accept,H6127
accept,H6128
accept,H6129
accept,H6143
accept,H6145
accept,H6146
accept,H6195
accept,H6216
accept,H6217
accept,H6231
accept,H6233
accept,H6234
accept,H6313
accept,H6348
accept,H6349
accept,H6350
accept,H6456
accept,H6459
accept,H6531
accept,H6615
accept,H6711
accept,H6712
accept,H6848
accept,H7009
accept,H7067
accept,H7080
accept,H7147
accept,H7169
accept,H7182
accept,H7183
accept,H7194
accept,H7195
accept,H7267
accept,H7292
accept,H7293
accept,H7294
accept,H7317
accept,H7329
accept,H7332
accept,H7343
accept,H7385
accept,H7386
accept,H7475
accept,H7496
accept,H7522
accept,H7647
accept,H7654
accept,H7672
accept,H7696
accept,H7697
accept,H7700
accept,H7706
accept,H7726
accept,H7728
accept,H7729
accept,H7790
accept,H7962
accept,H7980
accept,H7989
accept,H8074
accept,H8075
accept,H8172
accept,H8213
accept,H8265
accept,H8280
accept,H8314
accept,H8324
accept,H8385
accept,H8429
accept,H8433
accept,H8437
accept,H8446
accept,H8496
accept,H8541
accept,H8565
accept,H8586
accept,H8588
accept,H8595
accept,H8639
accept,H8655
