table_name,name,ordinal,type,is_pk,notnull,is_unique,dflt,fk,use,expectation,source,filled_by
word_registry,id,0,INTEGER,1,0,0,,,surrogate key,,,
word_registry,word,1,TEXT,0,1,1,,,the English word,,run.param.Word,
word_registry,source,2,TEXT,0,0,0,,,why it was registered — the growth trigger,,run.param.Source,
word_registry,status,3,TEXT,0,0,0,,,registry processing stage,enum.word_status,,registry+raw+signoff
word_registry,created_at,4,TEXT,0,0,0,,,when registered,,,registry.create
word_registry,deleted,5,INTEGER,0,0,0,0,,soft delete,,,
word_strong,id,0,INTEGER,1,0,0,,,surrogate key,,,
word_strong,word_id,1,INTEGER,0,1,0,,word_registry.id,the word,,run.context.word_id,
word_strong,strong,2,TEXT,0,1,0,,strong.strongNumber,a strong the word returned,,call1.definitions[].strongNumber,
word_strong,deleted,3,INTEGER,0,0,0,0,,soft delete,,,
strong,strongNumber,0,TEXT,1,0,0,,,the resolved Strong's code — the key,,call2.vocabInfos[0].strongNumber,
strong,accentedUnicode,1,TEXT,0,0,0,,,the actual Hebrew/Greek word,,call2.vocabInfos[0].accentedUnicode,
strong,stepGloss,2,TEXT,0,0,0,,,short English sense,,call2.vocabInfos[0].stepGloss,
strong,stepTransliteration,3,TEXT,0,0,0,,,romanised form; never shown without the gloss,,call2.vocabInfos[0].stepTransliteration,
strong,language,4,TEXT,0,0,0,,,Hebrew/Greek from the code prefix,,derived:call2.strongNumber,
strong,count,5,INTEGER,0,0,0,,,"STEP token frequency — NOT a verse count, may be capped",,call2.vocabInfos[0].count,
strong,freqList,6,TEXT,0,0,0,,,raw frequency distribution,,call2.vocabInfos[0].freqList,
strong,created_at,7,TEXT,0,0,0,,,when first fetched,,,raw.detail
strong,deleted,8,INTEGER,0,0,0,0,,soft delete,,,
strong_sense,strong,0,TEXT,1,0,0,,strong.strongNumber,the strong,,,
strong_sense,head,1,TEXT,0,0,0,,,the sense — THE SPAN'S MEANING,,derived:call2.mediumDef.head,
strong_sense,is_own_lemma,2,INTEGER,0,0,0,,,1 = no ': ' head; the code is its own lemma and the gloss is the sense,,derived:call2.mediumDef,
strong_sense,deleted,3,INTEGER,0,0,0,0,,soft delete,,,
strong_meaning_tree,id,0,INTEGER,1,0,0,,,surrogate key,,,
strong_meaning_tree,lemma_key,1,TEXT,0,1,0,,,the base code the tree belongs to,,derived:call2.strongNumber.base,
