name,value,ordinal
word_status,proposed,0
word_status,approved,1
word_status,raw-complete,2
word_status,signed-off,3
word_status,rejected,4
run_state,running,0
run_state,paused,1
run_state,done,2
run_state,failed,3
escalation_type,prompted,0
escalation_type,interactive,1
on_fail,report-continue,0
on_fail,pause-continue,1
on_fail,report-stop,2
on_fail,self-heal,3
candidate_decision,candidate,0
candidate_decision,rejected,1
candidate_decision,undecided,2
candidate_source,registry-direct,0
candidate_source,curated-synonym,1
candidate_source,ib-judgement,2
candidate_source,read-emergent,3
passage_rule,char-continuity,0
passage_rule,maximal,1
passage_source,passage-build,0
passage_source,single-verse-emergent,1
