writer,table_name
call1_meanings,word_strong
call2_getInfo,strong
call2_getInfo,strong_sense
call2_getInfo,strong_meaning_tree
call2_getInfo,strong_lexicon
call3_strong,strong_verse
call3_strong,verse
call3_strong,span
registry.create,word_registry
registry.create,escalation
raw.write,word_registry
raw.validate,validation_result
run,run
run,escalation
run,word_registry
run,validation_result
escalation,escalation
escalation,word_registry
candidate.seed,lemma_inventory
candidate.seed,candidate_seed
candidate.set,span_candidate
passage.build,passage
passage.build,verse_passage
migration,lemma_inventory
migration,candidate_seed
migration,word_strong
