strong,stepGloss,language,cluster_code,cluster_short_name,source,created_at
G0014,to do good,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G0015,to do good,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G0016,doing good,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G0017,doing good,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G0018,good,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G0019,goodness,Greek,M39,Blessing,old-system-migration,2026-08-11T15:45:16Z
G0019,goodness,Greek,M46,Abundance,old-system-migration,2026-08-11T15:45:16Z
G0020,joy,Greek,M04,Joy,old-system-migration,2026-08-11T15:45:16Z
G0021,to rejoice,Greek,M04,Joy,old-system-migration,2026-08-11T15:45:16Z
G0024,indignation,Greek,M02,Anger,old-system-migration,2026-08-11T15:45:16Z
G0025,to love,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G0026,love,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G0027,beloved,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0038,holiness,Greek,M22,Praise,old-system-migration,2026-08-11T15:45:16Z
G0039G,Holy Place,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0040G,holy,Greek,M22,Praise,old-system-migration,2026-08-11T15:45:16Z
G0041,holiness,Greek,M22,Praise,old-system-migration,2026-08-11T15:45:16Z
G0042,holiness,Greek,M22,Praise,old-system-migration,2026-08-11T15:45:16Z
G0043,arm,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0047,purity,Greek,M12,Purity,old-system-migration,2026-08-11T15:45:16Z
G0048,to purify,Greek,M12,Purity,old-system-migration,2026-08-11T15:45:16Z
G0049,purification,Greek,M12,Purity,old-system-migration,2026-08-11T15:45:16Z
G0050,be ignorant,Greek,M15,Wisdom,old-system-migration,2026-08-11T15:45:16Z
G0053,pure,Greek,M12,Purity,old-system-migration,2026-08-11T15:45:16Z
G0054,purity,Greek,M12,Purity,old-system-migration,2026-08-11T15:45:16Z
G0055,purely,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0073,fight,Greek,M35,Testing,old-system-migration,2026-08-11T15:45:16Z
G0074,a struggle,Greek,M34,Perseverance,old-system-migration,2026-08-11T15:45:16Z
G0075,to struggle,Greek,M34,Perseverance,old-system-migration,2026-08-11T15:45:16Z
G0079,sister,Greek,M44,Relational,old-system-migration,2026-08-11T15:45:16Z
G0081,brotherhood,Greek,M44,Relational,old-system-migration,2026-08-11T15:45:16Z
G0085,be distressed,Greek,M01,Fear,old-system-migration,2026-08-11T15:45:16Z
G0086,hell: Hades,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0087,impartial,Greek,M26,Righteousness,old-system-migration,2026-08-11T15:45:16Z
G0091,to harm,Greek,M24,Weakness,old-system-migration,2026-08-11T15:45:16Z
G0092,crime,Greek,M10,Sin,old-system-migration,2026-08-11T15:45:16Z
G0093,unrighteousness,Greek,M10,Sin,old-system-migration,2026-08-11T15:45:16Z
G0094,unjust,Greek,M10,Sin,old-system-migration,2026-08-11T15:45:16Z
G0095,unjustly,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0097,pure,Greek,M12,Purity,old-system-migration,2026-08-11T15:45:16Z
G0120,be discouraged,Greek,M20,Doubt,old-system-migration,2026-08-11T15:45:16Z
G0133,praise,Greek,M22,Praise,old-system-migration,2026-08-11T15:45:16Z
G0134,to praise,Greek,M22,Praise,old-system-migration,2026-08-11T15:45:16Z
G0136,praise,Greek,M22,Praise,old-system-migration,2026-08-11T15:45:16Z
G0138,to choose,Greek,M37,Calling,old-system-migration,2026-08-11T15:45:16Z
G0139,sect,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0140,to choose,Greek,M37,Calling,old-system-migration,2026-08-11T15:45:16Z
G0141,schismatic,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0144,insight,Greek,M43,Prophecy,old-system-migration,2026-08-11T15:45:16Z
