id,book,anchor_verse_id,start_chapter,start_verse,end_chapter,end_verse,ref,verse_count,rule,source,needs_review,created_at,deleted
18158,Rom,28059,1,3,1,3,Rom 1:3,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18159,Rom,1767,1,4,1,4,Rom 1:4,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18160,Rom,9180,1,5,1,5,Rom 1:5,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18161,Rom,1769,1,7,1,7,Rom 1:7,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18162,Rom,1770,1,8,1,8,Rom 1:8,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18163,Rom,22901,1,9,1,9,Rom 1:9,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18164,Rom,18544,1,10,1,10,Rom 1:10,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18165,Rom,18457,1,11,1,11,Rom 1:11,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18166,Rom,22668,1,12,1,12,Rom 1:12,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18167,Rom,18594,1,13,1,13,Rom 1:13,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18168,Rom,23151,1,14,1,14,Rom 1:14,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18169,Rom,23418,1,15,1,15,Rom 1:15,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18170,Rom,22638,1,16,1,16,Rom 1:16,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18171,Rom,22669,1,17,1,17,Rom 1:17,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18172,Rom,565,1,18,1,18,Rom 1:18,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18173,Rom,22902,1,19,1,19,Rom 1:19,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18174,Rom,24051,1,20,1,20,Rom 1:20,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18175,Rom,8024,1,21,1,21,Rom 1:21,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18176,Rom,23167,1,22,1,22,Rom 1:22,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18177,Rom,16159,1,23,1,23,Rom 1:23,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18178,Rom,17156,1,24,1,24,Rom 1:24,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18179,Rom,22903,1,25,1,25,Rom 1:25,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18180,Rom,22904,1,26,1,26,Rom 1:26,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18181,Rom,17241,1,27,1,27,Rom 1:27,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18182,Rom,19416,1,28,1,28,Rom 1:28,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18183,Rom,20,1,29,1,29,Rom 1:29,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18184,Rom,3404,1,30,1,30,Rom 1:30,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18185,Rom,23154,1,31,1,31,Rom 1:31,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18186,Rom,8025,1,32,1,32,Rom 1:32,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18187,Rom,14324,2,2,2,2,Rom 2:2,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18188,Rom,20609,2,4,2,4,Rom 2:4,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18189,Rom,566,2,5,2,5,Rom 2:5,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18190,Rom,18529,2,7,2,7,Rom 2:7,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
