id,passage_id,verse_id,is_anchor,created_at,deleted
29281,18158,28059,1,2026-07-19T06:29:06Z,0
29282,18159,1767,1,2026-07-19T06:29:06Z,0
29283,18160,9180,1,2026-07-19T06:29:06Z,0
29284,18161,1769,1,2026-07-19T06:29:06Z,0
29285,18162,1770,1,2026-07-19T06:29:06Z,0
29286,18163,22901,1,2026-07-19T06:29:06Z,0
29287,18164,18544,1,2026-07-19T06:29:06Z,0
29288,18165,18457,1,2026-07-19T06:29:06Z,0
29289,18166,22668,1,2026-07-19T06:29:06Z,0
29290,18167,18594,1,2026-07-19T06:29:06Z,0
29291,18168,23151,1,2026-07-19T06:29:06Z,0
29292,18169,23418,1,2026-07-19T06:29:06Z,0
29293,18170,22638,1,2026-07-19T06:29:06Z,0
29294,18171,22669,1,2026-07-19T06:29:06Z,0
29295,18172,565,1,2026-07-19T06:29:06Z,0
29296,18173,22902,1,2026-07-19T06:29:06Z,0
29297,18174,24051,1,2026-07-19T06:29:06Z,0
29298,18175,8024,1,2026-07-19T06:29:06Z,0
29299,18176,23167,1,2026-07-19T06:29:06Z,0
29300,18177,16159,1,2026-07-19T06:29:06Z,0
29301,18178,17156,1,2026-07-19T06:29:06Z,0
29302,18179,22903,1,2026-07-19T06:29:06Z,0
29303,18180,22904,1,2026-07-19T06:29:06Z,0
29304,18181,17241,1,2026-07-19T06:29:06Z,0
29305,18182,19416,1,2026-07-19T06:29:06Z,0
29306,18183,20,1,2026-07-19T06:29:06Z,0
29307,18184,3404,1,2026-07-19T06:29:06Z,0
29308,18185,23154,1,2026-07-19T06:29:06Z,0
29309,18186,8025,1,2026-07-19T06:29:06Z,0
29310,18187,14324,1,2026-07-19T06:29:06Z,0
29311,18188,20609,1,2026-07-19T06:29:06Z,0
29312,18189,566,1,2026-07-19T06:29:06Z,0
29313,18190,18529,1,2026-07-19T06:29:06Z,0
29314,18191,536,1,2026-07-19T06:29:06Z,0
29315,18192,1223,1,2026-07-19T06:29:06Z,0
29316,18193,19236,1,2026-07-19T06:29:06Z,0
29317,18194,14356,1,2026-07-19T06:29:06Z,0
29318,18195,8026,1,2026-07-19T06:29:06Z,0
29319,18196,15046,1,2026-07-19T06:29:06Z,0
29320,18197,3409,1,2026-07-19T06:29:06Z,0
29321,18198,18545,1,2026-07-19T06:29:06Z,0
29322,18199,27742,1,2026-07-19T06:29:06Z,0
29323,18200,23156,1,2026-07-19T06:29:06Z,0
29324,18201,288,1,2026-07-19T06:29:06Z,0
29325,18202,3410,1,2026-07-19T06:29:06Z,0
29326,18203,9181,1,2026-07-19T06:29:06Z,0
29327,18204,25879,1,2026-07-19T06:29:06Z,0
29328,18205,26507,1,2026-07-19T06:29:06Z,0
29329,18206,8027,1,2026-07-19T06:29:06Z,0
29330,18207,22639,1,2026-07-19T06:29:06Z,0
29331,18208,22566,1,2026-07-19T06:29:06Z,0
29332,18209,14358,1,2026-07-19T06:29:06Z,0
29333,18210,4361,1,2026-07-19T06:29:06Z,0
29334,18211,14360,1,2026-07-19T06:29:06Z,0
29335,18212,4362,1,2026-07-19T06:29:06Z,0
29336,18213,23623,1,2026-07-19T06:29:06Z,0
29337,18214,22906,1,2026-07-19T06:29:06Z,0
29338,18215,16143,1,2026-07-19T06:29:06Z,0
29339,18216,17232,1,2026-07-19T06:29:06Z,0
29340,18217,3308,1,2026-07-19T06:29:06Z,0
29341,18218,28902,1,2026-07-19T06:29:06Z,0
29342,18219,25904,1,2026-07-19T06:29:06Z,0
29343,18220,2836,1,2026-07-19T06:29:06Z,0
29344,18221,4363,1,2026-07-19T06:29:06Z,0
29345,18222,23624,1,2026-07-19T06:29:06Z,0
29346,18223,6963,1,2026-07-19T06:29:06Z,0
29347,18223,1772,0,2026-07-19T06:29:06Z,0
29348,18224,19237,1,2026-07-19T06:29:06Z,0
29349,18225,1773,1,2026-07-19T06:29:06Z,0
29350,18226,22670,1,2026-07-19T06:29:06Z,0
29351,18226,22671,0,2026-07-19T06:29:06Z,0
29352,18226,3441,0,2026-07-19T06:29:06Z,0
29353,18226,22672,0,2026-07-19T06:29:06Z,0
29354,18227,22673,1,2026-07-19T06:29:06Z,0
29355,18227,8028,0,2026-07-19T06:29:06Z,0
29356,18228,27862,1,2026-07-19T06:29:06Z,0
29357,18229,3434,1,2026-07-19T06:29:06Z,0
29358,18230,4364,1,2026-07-19T06:29:06Z,0
29359,18231,8029,1,2026-07-19T06:29:06Z,0
29360,18232,22640,1,2026-07-19T06:29:06Z,0
29361,18232,4365,0,2026-07-19T06:29:06Z,0
29362,18233,23271,1,2026-07-19T06:29:06Z,0
29363,18233,23625,0,2026-07-19T06:29:06Z,0
29364,18234,4366,1,2026-07-19T06:29:06Z,0
29365,18235,22641,1,2026-07-19T06:29:06Z,0
29366,18235,8031,0,2026-07-19T06:29:06Z,0
29367,18235,8032,0,2026-07-19T06:29:06Z,0
29368,18235,22674,0,2026-07-19T06:29:06Z,0
29369,18236,567,1,2026-07-19T06:29:06Z,0
29370,18237,8033,1,2026-07-19T06:29:06Z,0
29371,18238,9010,1,2026-07-19T06:29:06Z,0
29372,18238,8951,0,2026-07-19T06:29:06Z,0
29373,18239,22675,1,2026-07-19T06:29:06Z,0
29374,18239,8034,0,2026-07-19T06:29:06Z,0
29375,18240,24345,1,2026-07-19T06:29:06Z,0
29376,18241,8035,1,2026-07-19T06:29:06Z,0
29377,18242,26587,1,2026-07-19T06:29:06Z,0
29378,18243,1774,1,2026-07-19T06:29:06Z,0
29379,18243,3411,0,2026-07-19T06:29:06Z,0
29380,18244,1224,1,2026-07-19T06:29:06Z,0
29381,18244,13703,0,2026-07-19T06:29:06Z,0
29382,18244,15133,0,2026-07-19T06:29:06Z,0
29383,18245,1775,1,2026-07-19T06:29:06Z,0
