strongNumber,stepGloss,stepTransliteration,language,count
G0001G,Alpha,a alfa,Greek,6
G0002,Aaron,aarōn,Greek,361
G0003,Abaddon,abaddōn,Greek,4
G0004,not burdensome,abarēs,Greek,1
G0005,Abba,abba,Greek,4
G0006,Abel,abel,Greek,17
G0007H,Abijah,abia,Greek,1
G0008,Abiathar,abiathar,Greek,31
G0009,Abilene,abilēnē,Greek,1
G0011,Abraham,abraam,Greek,255
G0012,abyss,abussos,Greek,41
G0013,Agabus,agabos,Greek,2
G0022,unmarried,agamos,Greek,4
G0023,be indignant,aganakteō,Greek,7
G0028,Hagar,agar,Greek,19
G0029,to force,angareuō,Greek,3
G0030,jar,angeion,Greek,24
G0031,message,angelia,Greek,15
G0032G,angel,angelos,Greek,425
G0032H,angel: messenger,angelos,Greek,14
G0034,herd,agelē,Greek,17
G0035,without genealogy,agenealogētos,Greek,1
G0036,lowly,agenēs,Greek,1
G0037,to sanctify,hagiazō,Greek,213
G0039H,Most Holy Place,hagion,Greek,4
G0040H,holy: saint,hagios,Greek,65
G0044,fishhook,ankistron,Greek,6
G0045,anchor,ankura,Greek,5
G0046,unshrunk,agnafos,Greek,2
G0051,error,agnoēma,Greek,2
G0052,ignorance,agnoia,Greek,15
G0056,ignorance,agnōsia,Greek,3
G0057,unknown,agnōstos,Greek,1
G0058,marketplace,agora,Greek,20
G0059,to buy,agorazō,Greek,49
G0060,of the marketplace,agoraios,Greek,2
G0061,catch,agra,Greek,2
G0062,unschooled,agrammatos,Greek,1
G0063,to live outside,agrauleō,Greek,1
G0064,to catch,agreuō,Greek,6
G0065,wild olive tree,agrielaios,Greek,2
G0066,wild,agrios,Greek,25
G0067,Agrippa,agrippas,Greek,12
G0068G,field,agros,Greek,272
G0068H,Field (of blood),agros,Greek,272
G0069,be watchful,agrupneō,Greek,10
G0070,sleeplessness,agrupnia,Greek,2
G0071,to bring,agō,Greek,250
G0072,self-conduct,agōgē,Greek,5
G0076,Adam,adam,Greek,37
G0077,free,adapanos,Greek,1
G0080,brother,adelfos,Greek,1014
G0082,unclear,adēlos,Greek,3
G0083,uncertainty,adēlotēs,Greek,1
G0088,continuous,adialeiptos,Greek,2
G0089,unceasingly,adialeiptōs,Greek,4
G0090,unspoilable,adiafthoria,Greek,1
G0096,failing,adokimos,Greek,11
G0098,Adramyttium,adramuttēnos,Greek,1
G0099,Adriatic Sea,adrias,Greek,1
G0100,abundance,hadrotēs,Greek,1
G0101,be impossible,adunateō,Greek,13
G0102,unable,adunatos,Greek,27
G0103,to sing,adō,Greek,75
G0104,always,aei,Greek,12
G0105,eagle,aetos,Greek,33
G0106,unleavened,azumos,Greek,60
G0108,Azotus,azōtos,Greek,22
G0109,air,aēr,Greek,10
G0110,immortality,athanasia,Greek,3
G0111,unlawful,athemitos,Greek,2
G0112,without God,atheos,Greek,1
G0113,lawless,athesmos,Greek,2
G0114,to reject,atheteō,Greek,72
G0115,nullification,athetēsis,Greek,3
G0116,Athens,athēnai,Greek,6
G0117,Athenian,athēnaios,Greek,2
G0119,struggle,athlēsis,Greek,1
G0121,innocent,athōos,Greek,47
G0122,goat's,aigeios,Greek,5
G0123,shore,aigialos,Greek,7
G0124,Egyptian,aiguptios,Greek,132
G0125,Egypt,aiguptos,Greek,617
G0126,eternal,aidios,Greek,2
G0127,modesty,aidōs,Greek,3
G0128,Ethiopian,aithiops,Greek,43
G0129G,blood,haima,Greek,454
G0129H,(Field of) Blood,haima,Greek,4
G0130,bloodshed,haimatekchusia,Greek,1
G0132,Aeneas,aineas,Greek,2
G0135,obscure thing,ainigma,Greek,7
G0137,Aenon,ainōn,Greek,1
G0142,to take up,airō,Greek,370
G0143,to perceive,aisthanomai,Greek,7
G0146,greedy,aischrokerdēs,Greek,3
G0147,greedily,aischrokerdōs,Greek,1
G0148,obscenity,aischrologia,Greek,1
G0149,shameful,aischron,Greek,0
G0151,obscenity,aischrotēs,Greek,1
G0154,to ask,aiteō,Greek,145
G0155,request,aitēma,Greek,15
G0157,charge,aitiama,Greek,1
G0158,reason for charge,aition,Greek,0
G0160,sudden,aifnidios,Greek,2
