word_id,word,word_status,strong,cluster_codes,cluster_names
178,Cursing,raw-complete,G0331,,
178,Cursing,raw-complete,G0332,,
178,Cursing,raw-complete,G0685,,
178,Cursing,raw-complete,G0987,M10,M10(Sin)
178,Cursing,raw-complete,G1944,,
178,Cursing,raw-complete,G2551,M07,M07(Shame)
178,Cursing,raw-complete,G2616,M24,M24(Weakness)
178,Cursing,raw-complete,G2617,M07,M07(Shame)
178,Cursing,raw-complete,G2652,,
178,Cursing,raw-complete,G2653,,
178,Cursing,raw-complete,G2671,,
178,Cursing,raw-complete,G2672,,
178,Cursing,raw-complete,G6522,,
178,Cursing,raw-complete,G7906,,
178,Cursing,raw-complete,H0422,,
178,Cursing,raw-complete,H0423,T2,T2(Supplementary)
178,Cursing,raw-complete,H0779,M06,M06(Hate)
178,Cursing,raw-complete,H1288,M39,M39(Blessing)
178,Cursing,raw-complete,H1697G,,
178,Cursing,raw-complete,H3994,,
178,Cursing,raw-complete,H5173,,
178,Cursing,raw-complete,H5344A,,
178,Cursing,raw-complete,H5344B,,
178,Cursing,raw-complete,H6895,,
178,Cursing,raw-complete,H7043,T2,T2(Supplementary)
178,Cursing,raw-complete,H7045,,
178,Cursing,raw-complete,H7621,T2,T2(Supplementary)
178,Cursing,raw-complete,H7650,T2,T2(Supplementary)
178,Cursing,raw-complete,H8381,,
175,Ruthlessness,raw-complete,G0415,M05,M05(Love)
175,Ruthlessness,raw-complete,G0786,,
175,Ruthlessness,raw-complete,H0393,M06,M06(Hate)
175,Ruthlessness,raw-complete,H0394,M06,M06(Hate)
175,Ruthlessness,raw-complete,H0395,M06,M06(Hate)
175,Ruthlessness,raw-complete,H2556C,,
175,Ruthlessness,raw-complete,H4751,"M03,T2","M03(Grief),T2(Supplementary)"
175,Ruthlessness,raw-complete,H5794,M23,M23(Strength)
175,Ruthlessness,raw-complete,H6184,M06,M06(Hate)
147,Soul,raw-complete,G5590G,M47,M47(Constitution)
147,Soul,raw-complete,G5590H,M25,M25(Life)
147,Soul,raw-complete,G5590I,M47,M47(Constitution)
147,Soul,raw-complete,G5590J,M47,M47(Constitution)
147,Soul,raw-complete,G5590K,,
147,Soul,raw-complete,H4578,T2,T2(Supplementary)
147,Soul,raw-complete,H5315G,M47,M47(Constitution)
147,Soul,raw-complete,H5315H,M25,M25(Life)
147,Soul,raw-complete,H5315I,M47,M47(Constitution)
147,Soul,raw-complete,H5315J,M47,M47(Constitution)
147,Soul,raw-complete,H5315K,M47,M47(Constitution)
147,Soul,raw-complete,H5315L,M47,M47(Constitution)
147,Soul,raw-complete,H5315M,M47,M47(Constitution)
147,Soul,raw-complete,H5315N,M47,M47(Constitution)
147,Soul,raw-complete,H5397,M25,M25(Life)
177,Suffering,raw-complete,G2983,,
177,Suffering,raw-complete,G6103,,
177,Suffering,raw-complete,G6345,,
