registry_word,strongNumber,language,stepTransliteration,stepGloss,cluster_code,cluster_name
Cursing,G0331,Greek,anathema,cursed,,
Cursing,G0332,Greek,anathematizō,to take an oath,,
Cursing,G0685,Greek,ara,curse,,
Cursing,G0987,Greek,blasfēmeō,to blaspheme,M10,Sin
Cursing,G1944,Greek,epikataratos,cursed,,
Cursing,G2551,Greek,kakologeō,to curse/revile,M07,Shame
Cursing,G2616,Greek,katadunasteuō,to oppress,M24,Weakness
Cursing,G2617,Greek,kataischunō,to dishonor,M07,Shame
Cursing,G2652,Greek,katanathema,curse,,
Cursing,G2653,Greek,katanathematizō,to curse,,
Cursing,G2671,Greek,katara,curse,,
Cursing,G2672,Greek,kataraomai,to curse,,
Cursing,G6522,Greek,araomai,to curse,,
Cursing,G7906,Greek,katarasis,a curse,,
Cursing,H0422,Hebrew,a.lah,to swear,,
Cursing,H0423,Hebrew,a.lah,oath,T2,Supplementary
Cursing,H0779,Hebrew,a.rar,to curse,M06,Hate
Cursing,H1288,Hebrew,ba.rakh,to bless,M39,Blessing
Cursing,H1697G,Hebrew,da.var,word,,
Cursing,H3994,Hebrew,me.e.rah,curse,,
Cursing,H5173,Hebrew,na.chash,divination,,
Cursing,H5344A,Hebrew,na.qav,to pierce,,
Cursing,H5344B,Hebrew,na.qav,to curse,,
Cursing,H6895,Hebrew,qa.vav,to curse,,
Cursing,H7043,Hebrew,qa.lal,to lighten,T2,Supplementary
Cursing,H7045,Hebrew,qe.la.lah,curse,,
Cursing,H7621,Hebrew,she.vu.ah,oath,T2,Supplementary
Cursing,H7650,Hebrew,sha.va,to swear,T2,Supplementary
Cursing,H8381,Hebrew,ta.a.lah,curse,,
Ruthlessness,G0415,Greek,aneleēmōn,merciless,M05,Love
Ruthlessness,G0786,Greek,aspondos,irreconcilable,,
Ruthlessness,H0393,Hebrew,akh.zar,cruel,M06,Hate
Ruthlessness,H0394,Hebrew,akh.za.ri,cruel,M06,Hate
Ruthlessness,H0395,Hebrew,akh.ze.riy.yut,cruel,M06,Hate
Ruthlessness,H2556C,Hebrew,cha.mats,to oppress,,
Ruthlessness,H4751,Hebrew,mar,bitter,M03,Grief
Ruthlessness,H4751,Hebrew,mar,bitter,T2,Supplementary
Ruthlessness,H5794,Hebrew,az,strong,M23,Strength
Ruthlessness,H6184,Hebrew,a.rits,ruthless,M06,Hate
Soul,G5590G,Greek,psuchē,soul,M47,Constitution
Soul,G5590H,Greek,psuchē,soul: life,M25,Life
Soul,G5590I,Greek,psuchē,soul: myself,M47,Constitution
Soul,G5590J,Greek,psuchē,soul: person,M47,Constitution
Soul,G5590K,Greek,psuchē,soul: animal,,
Soul,H4578,Hebrew,me.eh,belly,T2,Supplementary
Soul,H5315G,Hebrew,ne.phesh,soul,M47,Constitution
Soul,H5315H,Hebrew,ne.phesh,soul: life,M25,Life
Soul,H5315I,Hebrew,ne.phesh,soul: myself,M47,Constitution
Soul,H5315J,Hebrew,ne.phesh,soul: person,M47,Constitution
Soul,H5315K,Hebrew,ne.phesh,soul: animal,M47,Constitution
Soul,H5315L,Hebrew,ne.phesh,soul: appetite,M47,Constitution
Soul,H5315M,Hebrew,ne.phesh,soul: dead,M47,Constitution
Soul,H5315N,Hebrew,ne.phesh,soul: neck,M47,Constitution
Soul,H5397,Hebrew,ne.sha.mah,breath,M25,Life
Suffering,G2983,Greek,lambanō,to take,,
Suffering,G6103,Greek,aboēthētos,incurable,,
Suffering,G6345,Greek,aniatos,incurable,,
Suffering,G7474,Greek,epichartos,incurring ridicule,,
Suffering,H0605,Hebrew,a.nash,be incurable,M24,Weakness
Suffering,H2470I,Hebrew,cha.lah,be weak: grieved,M03,Grief
Suffering,H3511,Hebrew,ke.ev,pain,M03,Grief
Suffering,H4251,Hebrew,ma.cha.luy,suffering,M24,Weakness
Suffering,H4341,Hebrew,makh.ov,pain,M03,Grief
Suffering,H5375J,Hebrew,na.sa,to lift: guilt,,
Suffering,H6039,Hebrew,e.nut,affliction,FLAG,Flag
Suffering,H6039,Hebrew,e.nut,affliction,M24,Weakness
Suffering,H6040,Hebrew,o.ni,affliction,M24,Weakness
Suffering,H6094,Hebrew,ats.tse.vet,injury,M03,Grief
