cluster_code,short_name,description,deleted,status,status_changed_at
FLAG,Flag,Flagged for Review,0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M01,Fear & Awe,"Fear, dread, terror, awe, reverence, panic, shuddering",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M02,Anger & Wrath,"Anger, wrath, rage, indignation, quarreling, vexation",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M03,Grief & Lament,"Grief, mourning, weeping, lament, sorrow, wailing, torment",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M04,Joy & Gladness,"Joy, gladness, rejoicing, exultation, laughter, delight",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M05,Kindness & Friendship,"Kindness, gentleness, friendship, hospitality, tenderness, doing good",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M06,Malice & Enmity,"Hatred, enmity, persecution, contempt, hostility, scorn",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M07,Shame & Confusion,"Shame, confusion, disgrace, reproach, dishonor",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M08,Pride & Arrogance,"Pride, arrogance, haughtiness, boasting, scoffing, self-exaltation",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M09,Humility & Lowliness,"Humility, lowliness, meekness, contrition, being needy/poor",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M10,Violence & Cruelty,"Violence, cruelty, destruction, killing, wounding",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M10b,Wickedness,"Wickedness, Evil and Abomination",1,,
M10c,Defilement,Defilement and Impurity,0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M11,Turning & Repentance,"Turning, returning, repenting",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M12,Righteousness & Integrity,"Righteousness, uprightness, blamelessness, integrity, justice",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M13,Faith & Faithfulness,"Faith, belief, faithfulness, being true, godliness",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M14,Deceit & Falsehood,"Deceit, lying, falsehood, cunning, treachery, hypocrisy",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M15,Knowing & Understanding,"Knowing, understanding, discerning, considering, meditating",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M16,Wisdom & Folly,"Wisdom, folly, teaching, instruction, counsel, discipline (absorbed M17: Counsel, Planning and Purpose)",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M17,Counsel,"Counsel, Planning and Purpose",1,,
M18,Desire & Longing,"Desire, craving, longing, thirst, hunger, appetite, zeal (absorbed M29: Desire, Longing and Will)",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M19,Trust & Refuge,"Trust, reliance, refuge, security, taking shelter",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M20,Doubt & Discouragement,"Anxiety, discouragement, perplexity, doubt, worry",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M21,Fasting & Piety,"Fasting, piety, intercession, asking, begging",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M22,Praise & Song,"Praise, extolling, exalting, singing, making music",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M23,Strength & Courage,"Strength, courage, might, power, steadfastness",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M24,Faintness & Despair,"Fainting, languishing, despair, distress, weariness, toil",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M25,Life & Death,"Life, death, dying, vitality, perishing",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M26,Judgment & Condemnation,"Judging, condemning, justifying, avenging, vengeance",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M27,Evil,"Evil, Wickedness and Abomination",1,,
M28,Envy & Greed,"Envy, greed, lust, fornication, self-indulgence",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M29,Desire,"Desire, Longing and Will",1,,
