strong,stepGloss,language,cluster_code,short_name,source,created_at
G0001G,Alpha,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0002,Aaron,Greek,T8,Party-Human,claude-scan-20260908,2026-09-08 12:52:33
G0003,Abaddon,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0004,not burdensome,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0005,Abba,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0006,Abel,Greek,T8,Party-Human,claude-scan-20260908,2026-09-08 12:52:33
G0007G,Abijah,Greek,T8,Party-Human,claude-scan-20260908,2026-09-08 12:52:34
G0007H,Abijah,Greek,T8,Party-Human,claude-scan-20260908,2026-09-08 12:52:33
G0008,Abiathar,Greek,T8,Party-Human,claude-scan-20260908,2026-09-08 12:52:33
G0009,Abilene,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0010,Abiud,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0011,Abraham,Greek,T8,Party-Human,claude-scan-20260908,2026-09-08 12:52:33
G0012,abyss,Greek,T10,Places,claude-scan-20260908,2026-09-08 08:37:58
G0013,Agabus,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0014,to do good,Greek,M05,Kindness & Friendship,old-system-migration,2026-08-11T15:45:16Z
G0015,to do good,Greek,M05,Kindness & Friendship,old-system-migration,2026-08-11T15:45:16Z
G0016,doing good,Greek,M05,Kindness & Friendship,old-system-migration,2026-08-11T15:45:16Z
G0017,doing good,Greek,M05,Kindness & Friendship,old-system-migration,2026-08-11T15:45:16Z
G0018,good,Greek,M05,Kindness & Friendship,old-system-migration,2026-08-11T15:45:16Z
G0019,goodness,Greek,M46,Wealth & Riches,old-system-migration,2026-08-11T15:45:16Z
G0020,joy,Greek,M04,Joy & Gladness,old-system-migration,2026-08-11T15:45:16Z
G0021,to rejoice,Greek,M04,Joy & Gladness,old-system-migration,2026-08-11T15:45:16Z
G0022,unmarried,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0023,be indignant,Greek,M02,Anger & Wrath,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0024,indignation,Greek,M02,Anger & Wrath,old-system-migration,2026-08-11T15:45:16Z
G0025,to love,Greek,M51,Love & Devotion,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0026,love,Greek,M51,Love & Devotion,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0027,beloved,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0028,Hagar,Greek,T8,Party-Human,claude-scan-20260908,2026-09-08 12:52:33
G0029,to force,Greek,T3,Operations,claude-scan-20260908,2026-09-08 09:15:29
G0030,jar,Greek,T12,Objects-Artifacts,claude-scan-20260908,2026-09-08 13:14:44
G0031,message,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0032G,angel,Greek,T9,Party-Angelic,migration-20260905-decfgification,2026-09-05 05:37:21
G0032H,angel: messenger,Greek,T9,Party-Angelic,migration-20260905-decfgification,2026-09-05 05:37:21
G0034,herd,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0035,without genealogy,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0036,lowly,Greek,M09,Humility & Lowliness,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0037,to sanctify,Greek,M61,Purity & Holiness,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0038,holiness,Greek,M61,Purity & Holiness,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0039G,Holy Place,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0039H,Most Holy Place,Greek,T2,Supplementary,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0040G,holy,Greek,M61,Purity & Holiness,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0040H,holy: saint,Greek,M13,Faith & Faithfulness,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0041,holiness,Greek,M61,Purity & Holiness,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0042,holiness,Greek,M61,Purity & Holiness,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0043,arm,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0044,fishhook,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0045,anchor,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0046,unshrunk,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0047,purity,Greek,M61,Purity & Holiness,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0048,to purify,Greek,M61,Purity & Holiness,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0049,purification,Greek,M61,Purity & Holiness,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0050,be ignorant,Greek,M63,Reasoning & Interpretation,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0051,error,Greek,M55,Destruction & Ruin,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0052,ignorance,Greek,M63,Reasoning & Interpretation,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0053,pure,Greek,M12,Righteousness & Integrity,old-system-migration,2026-08-11T15:45:16Z
