strong,language,pos,gloss,cluster_code,cluster_name,occurrences
H2896A,Hebrew,adj,pleasant,M18,Desire & Longing,408
H2416A,Hebrew,adj,alive,M25,Life & Death,240
H6662,Hebrew,adj,righteous,M12,Righteousness & Integrity,206
H7451H,Hebrew,adj,bad: evil,M58,Wickedness,180
G0040G,Greek,adj,holy,M61,Purity & Holiness,170
H2450,Hebrew,adj,wise,M16,Wisdom & Folly,138
H7451B,Hebrew,adj,bad: evil,M58,Wickedness,113
H3477G,Hebrew,adj,upright:right,M12,Righteousness & Integrity,113
H6918G,Hebrew,adj,holy,M61,Purity & Holiness,109
G0018,Greek,adj,good,M05,Kindness & Friendship,101
G2570G,Greek,adj,good,M05,Kindness & Friendship,100
H2889,Hebrew,adj,pure,M12,Righteousness & Integrity,94
H2896B,Hebrew,adj,good,M05,Kindness & Friendship,90
H2931,Hebrew,adj,unclean,M10c,Defilement,88
G1342,Greek,adj,just,M12,Righteousness & Integrity,79
G4190,Greek,adj,evil/bad,M58,Wickedness,77
H6041,Hebrew,adj,afflicted,M24,Faintness & Despair,74
H3684,Hebrew,adj,fool,M16,Wisdom & Folly,70
H7451A,Hebrew,adj,bad: harmful,M58,Wickedness,68
G4103,Greek,adj,faithful,M13,Faith & Faithfulness,66
H3373,Hebrew,adj,afraid,M01,Fear & Awe,65
H0034,Hebrew,adj,needy,M09,Humility & Lowliness,61
H2389,Hebrew,adj,strong,M23,Strength & Courage,56
G0040H,Greek,adj,holy: saint,M13,Faith & Faithfulness,52
H2319H,Hebrew,adj,new,M45,Renewal & Transformation,51
G3107,Greek,adj,blessed,M80,Blessing,50
G5185,Greek,adj,blind,M73,Sickness & Weakness,49
G0268,Greek,adj,sinful,M10,Violence & Cruelty,47
H1800,Hebrew,adj,poor,M09,Humility & Lowliness,47
H8549G,Hebrew,adj,unblemished,M61,Purity & Holiness,46
G2556G,Greek,adj,evil/harm: evil,M58,Wickedness,45
G2537,Greek,adj,new,M45,Renewal & Transformation,43
H1364,Hebrew,adj,high,M08,Pride & Arrogance,41
H5355A,Hebrew,adj,innocent,M12,Righteousness & Integrity,41
G0514,Greek,adj,worthy,M71,Glory & Splendor,41
H4751,Hebrew,adj,bitter,M03,Grief & Lament,39
H7186,Hebrew,adj,severe,M24,Faintness & Despair,36
H3368,Hebrew,adj,precious,M18,Desire & Longing,35
G1415,Greek,adj,able,M23,Strength & Courage,34
H2623,Hebrew,adj,pious,M05,Kindness & Friendship,33
G0169,Greek,adj,unclean,M10c,Defilement,32
H6099,Hebrew,adj,mighty,M23,Strength & Courage,31
H6862B,Hebrew,adj,distress,M24,Faintness & Despair,31
G2478,Greek,adj,strong,M23,Strength & Courage,29
G5384,Greek,adj,friendly/friend,M05,Kindness & Friendship,29
G0228,Greek,adj,true,M13,Faith & Faithfulness,28
H3887,Hebrew,adj,to mock,M08,Pride & Arrogance,28
H8003,Hebrew,adj,complete,M34,Patience & Perseverance,28
H8549H,Hebrew,adj,unblemished: blameless,M12,Righteousness & Integrity,27
