obs_id,question_code,section,source_word,source_registry_no,question_text,pattern_type,scope,status,deleted,date_added,catalogue_version,review_note,tier,component_code,component_title,prompt_seq,source,last_modified
224,T0.1.1,T0 — Divine Image and Created Design,Programme,,"In this verse, is the characteristic predicated of God or otherwise related to God; if so, in what relation (God as the one who bears it, acts, gives it, or is its object)? Record the relation, or record that it is not related to God here.",,Word/term (lexical),active,0,2026-04-30T06:26:11Z,v2-2026-09-04,"Stage 1 — derived: follow the characteristic-term's entity_link note to its target verse_lexical row, read party_kind (divine->yes, human->no, unresolved->unresolved, never guessed). Mechanical, divine-name lexicon (cfg_lexical_code_class class=party_divine) seeded and live (escalation #1383, 2026-09-04).",T0,T0.1,Divine Nature Reflected,1,Partial -- verse.text + verse_lexical.resolved_sense (grounded single-verse reading); see Workflow/Catalogue/tier-catalogue-iba-raw-data-mapping-v2-20260831.md T0.1.1,2026-09-04T16:30:06Z
227,T0.2.1,T0 — Divine Image and Created Design,Programme,,"Does this verse state any purpose, role, or effect the characteristic serves in the person — what it leads the person to be, do, or become? Record it if stated; otherwise record none.",,Verse-context,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T0,T0.2,Created Purpose,1,,2026-08-31T17:55:47Z
228,T0.2.2,T0 — Divine Image and Created Design,Programme,,"Across the evidence, does the characteristic's role read as belonging to created design, to the fallen condition, to both, or as not determinable?",,Other non-human beings,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T0,T0.2,Created Purpose,2,,2026-08-31T17:55:47Z
229,T0.2.3,T0 — Divine Image and Created Design,Programme,,"Across the evidence, is there any orientation toward a future fullness — something the person moves toward, not only what they currently are? Record it, or record none.",,Other non-human beings,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T0,T0.2,Created Purpose,3,,2026-08-31T17:55:47Z
230,T0.3.1,T0 — Divine Image and Created Design,Programme,,"From the characteristic's God-relation (T0.1) and its role (T0.2), what aspect of the divine likeness, if any, does it instantiate in the person? Record the aspect, or record none.",,Other non-human beings,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T0,T0.3,Image-Bearer Expression,1,,2026-08-31T17:55:47Z
231,T0.3.2,T0 — Divine Image and Created Design,Programme,,"Across the evidence, is the characteristic shared between God and the person, or an exclusively creaturely analogue to something in God?",,Other non-human beings,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T0,T0.3,Image-Bearer Expression,2,,2026-08-31T17:55:47Z
232,T0.3.3,T0 — Divine Image and Created Design,Programme,,"Where the characteristic is present or absent in a person, what does that indicate about the condition of the divine image in them — or is no such indication evidenced?",,Other non-human beings,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T0,T0.3,Image-Bearer Expression,3,,2026-08-31T17:55:47Z
233,T0.4.1,T0 — Divine Image and Created Design,Programme,,"Does this verse use the characteristic typologically — pointing beyond the immediate to a covenantal, eschatological, or christological reality; if so, which, and in which direction (the divine instance establishing the pattern, or the human pointing toward the divine)? Record the use and direction, or record none.",,Verse-context,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T0,T0.4,Typological Significance,1,,2026-08-31T17:55:47Z
236,T1.1.1,T1 — Definition,Programme,,"What is the characteristic called in the programme, and what does the name signal about its essential nature?",,Word/term (lexical),active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T1,T1.1,Name and Naming,1,,2026-08-31T17:56:11Z
237,T1.1.2,T1 — Definition,Programme,,What do the primary Hebrew and Greek terms show at the definitional level?,,Word/term (lexical),active,0,2026-04-30T06:26:11Z,v2-2026-09-04,Same rollup mechanism as T7.1.1.,T1,T1.1,Name and Naming,2,,2026-09-04T16:30:07Z
