cluster_code,subgroup_code,label,status,strong_count,verse_count,span_count,obs_char_reading,obs_char_answers,total_obs,obs_per_verse,obs_per_strong
M49,A_thanksgiving_act,The verbal act of giving thanks,answer_complete,1,38,39,9,55,64,1.68,64.0
M49,B_thankfulness_state,The noun-named state and expression of gratitude,answer_complete,1,15,15,5,57,62,4.13,62.0
M49,C_thankful_disposition,The settled character-trait of being thankful,answer_complete,1,1,1,4,52,56,56.0,56.0
M49,D_yadah_praise_confess,Outward-cast acknowledgment: praise and confession before God,answer_complete,1,111,114,14,57,71,0.64,71.0
M49,E_todah_offering_noun,"The instituted noun-form of thanksgiving: hymn, choir, and offering",answer_complete,1,30,32,5,52,57,1.9,57.0
M67,M67_A_dispositional_idleness,Idleness as inert state or condition,answer_complete,3,9,10,7,98,105,11.67,35.0
M67,M67_B_dereliction_of_duty,Failure to fulfill an entrusted obligation,answer_complete,2,4,4,6,55,61,15.25,30.5
M67,M67_C_earnest_diligence,"Zealous, energetic application to a task or relationship",answer_complete,2,15,15,8,54,62,4.13,31.0
M67,M67_D_administrative_thoroughness,"Exact, complete execution of an official command",answer_complete,2,8,8,5,52,57,7.12,28.5
M83,A_general_seeking,Generic active seeking/searching,ready_for_reading,2,328,341,0,0,0,0.0,0.0
M83,B_intensified_seeking,Intensive/exhaustive seeking and demanding,answer_complete,3,32,33,9,108,117,3.66,39.0
M83,C_hostile_pursuit,Seeking with lethal or hostile intent,answer_complete,1,1,1,3,52,55,55.0,55.0
M83,D_consultative_inquiry,Formal consultation and diligent inquiry,answer_complete,1,152,164,43,56,99,0.65,99.0
