cluster_code,strong,stepTransliteration,stepGloss,verse_id,osisId,span_id,morph_code,role,resolved_sense,gloss_consistent_in_verse,surface
M10c,G0169,akathartos,unclean,15085,1Cor.7.14,740103,A-NPN,content,"impure, unclean; lewd; foul; evil | lsj: uncleansed, foul, quae menstrua non habet; unpurified; morally unclean, impure, thou beast!; notpurgedaway, unpurged; unpruned; ceremonially unclean; not sifted, containing impurities; not fit for cleansing | mounce: unclean, evil",1,unclean
M10c,G3435,molunō,to defile,8090,1Cor.8.7,645712,V-PPI-3S,content,"to defile, soil, stain, make impure; to stain, sully; to defile, contaminate, make impure; to soil | lsj: stain, sully, defile, sprinkle, make a beast of, defile, debauch, become vile, disgrace oneself, wallow; stain, dye | mounce: to defile, soil, stain, make impure",1,defiled
M10c,G0167,akatharsia,impurity,17235,1Thess.2.3,766370,N-GSF,content,"impurity, a state of moral filthiness, especially in relation to sexual sin; uncleanness; lewdness | lsj: uncleanness, foulness; dirt, filth; depravity; ceremonial impurity | mounce: impurity, a state of moral filthiness, especially in relation to sexual sin",1,impurity
M10c,G0167,akatharsia,impurity,8180,1Thess.4.7,646996,N-DSF,content,"impurity, a state of moral filthiness, especially in relation to sexual sin; uncleanness; lewdness | lsj: uncleanness, foulness; dirt, filth; depravity; ceremonial impurity | mounce: impurity, a state of moral filthiness, especially in relation to sexual sin",1,impurity
M10c,H2931,ta.me,unclean,16571,2Chr.23.19,758141,HAamsa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H5079,nid.dah,impurity,11232,2Chr.29.5,691776,HNcfsa,content,"impurity, filthiness, menstruous, set apart; impurity; of ceremonial impurity; of menstruation; impure thing (fig.); of idolatry, immorality",1,filth
M10c,H2930A,ta.me,to defile,393,2Chr.36.14,538891,HVpw3mp,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,polluted
M10c,G0167,akatharsia,impurity,17224,2Cor.12.21,905407,N-DSF,content,"impurity, a state of moral filthiness, especially in relation to sexual sin; uncleanness; lewdness | lsj: uncleanness, foulness; dirt, filth; depravity; ceremonial impurity | mounce: impurity, a state of moral filthiness, especially in relation to sexual sin",1,impurity
M10c,G0169,akathartos,unclean,4408,2Cor.6.17,905650,A-GSN,content,"impure, unclean; lewd; foul; evil | lsj: uncleansed, foul, quae menstrua non habet; unpurified; morally unclean, impure, thou beast!; notpurgedaway, unpurged; unpruned; ceremonially unclean; not sifted, containing impurities; not fit for cleansing | mounce: unclean, evil",1,unclean thing
M10c,G3436,molusmos,defilement,2842,2Cor.7.1,573070,N-GSM,content,"contamination, defilement; pollution, defilement, contamination | lsj: defilement, pollution | mounce: contamination, defilement",1,defilement
M10c,H2930A,ta.me,to defile,17417,2Kgs.23.10,768286,HVpq3ms,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defiled
M10c,H2930A,ta.me,to defile,325,2Kgs.23.13,537919,HVpp3ms,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defiled
M10c,H2930A,ta.me,to defile,12843,2Kgs.23.16,712923,HVpw3ms,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defiled
M10c,H2930A,ta.me,to defile,17416,2Kgs.23.8,768266,HVpw3ms,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defiled
M10c,G3394,miasmos,defilement,5970,2Pet.2.10,616657,N-GSM,content,"corruption, pollution, defilement; pollution, corruption, defiling | lsj: scandal, crime | mounce: corruption, pollution, defilement",1,defiling passion
M10c,G3393,miasma,defilement,2156,2Pet.2.20,563474,N-APN,content,"corruption, defilement; pollution; defilement, corruption, * | lsj: stain, defilement, taint of guilt; that which defiles, pollution | mounce: corruption, defilement",1,defilements
M10c,G0169,akathartos,unclean,8843,Acts.10.14,656941,A-ASN,content,"impure, unclean; lewd; foul; evil | lsj: uncleansed, foul, quae menstrua non habet; unpurified; morally unclean, impure, thou beast!; notpurgedaway, unpurged; unpruned; ceremonially unclean; not sifted, containing impurities; not fit for cleansing | mounce: unclean, evil",1,unclean
M10c,G0169,akathartos,unclean,279,Acts.10.28,537259,A-ASM,content,"impure, unclean; lewd; foul; evil | lsj: uncleansed, foul, quae menstrua non habet; unpurified; morally unclean, impure, thou beast!; notpurgedaway, unpurged; unpruned; ceremonially unclean; not sifted, containing impurities; not fit for cleansing | mounce: unclean, evil",1,unclean
M10c,G0169,akathartos,unclean,8847,Acts.11.8,656987,A-NSN,content,"impure, unclean; lewd; foul; evil | lsj: uncleansed, foul, quae menstrua non habet; unpurified; morally unclean, impure, thou beast!; notpurgedaway, unpurged; unpruned; ceremonially unclean; not sifted, containing impurities; not fit for cleansing | mounce: unclean, evil",1,unclean
M10c,G0234,alisgēma,defilement,8011,Acts.15.20,644516,N-GPN,content,"pollution, ritually defiled; defilement | lsj: pollution | mounce: pollution, ritually defiled",1,things polluted
M10c,G0169,akathartos,unclean,6936,Acts.5.16,630281,A-GPN,content,"impure, unclean; lewd; foul; evil | lsj: uncleansed, foul, quae menstrua non habet; unpurified; morally unclean, impure, thou beast!; notpurgedaway, unpurged; unpruned; ceremonially unclean; not sifted, containing impurities; not fit for cleansing | mounce: unclean, evil",1,unclean
M10c,G0169,akathartos,unclean,8271,Acts.8.7,648363,A-APN,content,"impure, unclean; lewd; foul; evil | lsj: uncleansed, foul, quae menstrua non habet; unpurified; morally unclean, impure, thou beast!; notpurgedaway, unpurged; unpruned; ceremonially unclean; not sifted, containing impurities; not fit for cleansing | mounce: unclean, evil",1,unclean
M10c,H2931,ta.me,unclean,12183,Amos.7.17,704413,HAafsa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,G0167,akatharsia,impurity,17159,Col.3.5,765395,N-ASF,content,"impurity, a state of moral filthiness, especially in relation to sexual sin; uncleanness; lewdness | lsj: uncleanness, foulness; dirt, filth; depravity; ceremonial impurity | mounce: impurity, a state of moral filthiness, especially in relation to sexual sin",1,impurity
M10c,H1351,ga.al,to defile,13044,Dan.1.8,715479,HVti3ms,content,"to defile, pollute, desecrate; to defile oneself",0,defile
M10c,H1351,ga.al,to defile,13044,Dan.1.8,715489,HVti3ms,content,"to defile, pollute, desecrate; to defile oneself",0,defile himself
M10c,H2610,cha.neph,to pollute,14796,Dan.11.32,737102,HVhi3ms,content,"to be profaned, be defiled, be polluted, be corrupt; to pollute; to make profane, make godless, cause to be defiled",1,seduce
M10c,H2931,ta.me,unclean,17458,Deut.12.15,768815,HAamsa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H2931,ta.me,unclean,17459,Deut.12.22,768825,HAamsa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H2931,ta.me,unclean,17462,Deut.14.10,768869,HAamsa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H2931,ta.me,unclean,17463,Deut.14.19,768874,HAamsa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H2931,ta.me,unclean,17460,Deut.14.7,768847,HAampa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
