usage_date_utc,model_version,api_key,workspace,usage_type,context_window,usage_input_tokens_no_cache,usage_input_tokens_cache_write_5m,usage_input_tokens_cache_write_1h,usage_input_tokens_cache_read,usage_output_tokens,web_search_count,inference_geo,speed
2026-05-03,claude-opus-4-7,bible-research-local,Default,standard,≤ 200k,30529,0,0,0,3145,0,global,
2026-05-03,claude-sonnet-4-6,bible-research-local,Default,standard,≤ 200k,43096,0,0,0,19201,0,global,
2026-05-04,claude-sonnet-4-6,bible-research-local,Default,standard,≤ 200k,581527,0,0,0,20942,0,global,
2026-05-08,claude-sonnet-4-6,bible-research-local,Default,standard,≤ 200k,172413,0,0,0,11277,0,global,
2026-05-09,claude-sonnet-4-6,bible-research-local,Default,standard,≤ 200k,1559228,14986,0,2191,153800,0,global,
2026-05-14,claude-sonnet-4-6,bible-research-local,Default,standard,≤ 200k,31408,1088,0,0,20521,0,global,
2026-05-15,claude-sonnet-4-6,bible-research-local,Default,standard,≤ 200k,135898,2614,0,57136,94815,0,global,
2026-05-16,claude-sonnet-4-6,bible-research-local,Default,standard,≤ 200k,407352,210036,0,358928,322066,0,global,
2026-05-17,claude-sonnet-4-6,bible-research-local,Default,standard,≤ 200k,143306,2833,0,52800,101318,0,global,
2026-05-18,claude-sonnet-4-6,bible-research-local,Default,standard,≤ 200k,9276,1145,0,1145,6016,0,global,
2026-05-19,claude-sonnet-4-6,bible-research-local,Default,standard,≤ 200k,83961,1630,0,11410,52409,0,global,
2026-05-20,claude-sonnet-4-6,bible-research-local,Default,standard,≤ 200k,84911,1933,0,28995,62375,0,global,
2026-05-21,claude-sonnet-4-6,bible-research-local,Default,standard,≤ 200k,17080,2065,0,2065,11169,0,global,
2026-05-22,claude-sonnet-4-6,bible-research-local,Default,standard,≤ 200k,166074,6894,0,71428,118425,0,global,
2026-05-23,claude-sonnet-4-6,bible-research-local,Default,standard,≤ 200k,308791,3483,0,75465,125830,0,global,
2026-05-25,claude-sonnet-4-6,bible-research-local,Default,standard,≤ 200k,74261,4892,0,29854,68784,0,global,
2026-05-26,claude-sonnet-4-6,bible-research-local,Default,standard,≤ 200k,74661,4965,0,18565,67742,0,global,
2026-05-28,claude-sonnet-4-6,bible-research-local,Default,standard,≤ 200k,1004961,88454,0,186979,706226,0,global,
