date,input,output,cache_read,cache_write_5m,cache_write_1h,total_tokens,est_cost_usd
2026-06-14,36360,733163,132719145,0,4009153,137497821,374.8859
2026-06-15,36442,876541,250668326,0,4267473,255848782,570.3139
2026-06-16,8308,526710,169499429,0,3491172,173525619,398.6122
2026-06-17,12118,332018,85530839,123,2672898,88547996,233.5686
2026-06-18,10333,374796,116894991,0,1943880,119224000,261.9236
2026-06-19,12420,388636,82557164,0,2263458,85221678,221.0735
2026-06-20,33461,394938,121061892,0,3727965,125218256,323.5541
2026-06-21,25933,418694,94733349,0,3588937,98766913,281.5592
2026-06-22,13281,326457,75370554,0,776595,76486887,161.0372
2026-06-23,37520,597019,154066849,0,8690084,163391472,537.1420
2026-06-24,12891,481485,80868266,0,2502327,83864969,232.6769
2026-06-25,10634,269037,86575592,0,4720389,91575652,291.8123
2026-06-26,9973,403215,47651022,0,2040617,50104827,163.0858
2026-06-27,21682,499656,126213580,0,4381210,131116128,358.5561
2026-06-28,17926,401489,82505794,0,2039092,84964301,215.3120
2026-06-29,26773,555841,211351896,0,4331814,216266324,489.0719
2026-06-30,7799,107942,6605828,0,1514928,8236497,63.5692
2026-07-01,33989,403262,63477449,0,1168914,65083614,161.0381
2026-07-02,75586,1341106,452936329,0,6345570,460698591,971.4883
2026-07-03,31780,834429,209593639,0,3094063,213553911,470.2712
2026-07-04,77080,1657437,527467810,0,6822552,536024879,1121.3423
2026-07-05,127497,1377942,367738998,0,6064800,375309237,838.8106
2026-07-06,23706,899348,166925125,0,2497698,170345877,393.1253
2026-07-07,10177,647095,135011885,0,3298764,138967921,350.1655
2026-07-08,17180,388087,69457222,0,2085110,71947599,196.1034
2026-07-09,28266,1327513,279604271,0,4614734,285574784,657.8359
2026-07-10,28891,1561752,217807080,0,3967864,223365587,563.3113
2026-07-11,59486,1150142,312574696,0,4561241,318345565,692.8522
2026-07-12,24982,431021,121456863,9392,2173903,124096161,280.2798
2026-07-13,1715,1574153,428003848,0,6682821,436262537,960.5776
2026-07-14,823,757771,212977160,0,5380310,219116064,537.7202
2026-07-15,486,623375,112343032,0,3507426,116474319,320.4977
2026-07-16,1651,350402,75801941,0,1558113,77712107,186.7512
2026-07-17,421,338067,174125749,0,3915965,178380202,404.0289
2026-07-18,583,517866,149584942,0,3521990,153625381,368.8858
2026-07-19,28,28384,3946743,0,703774,4678929,29.1626
