session,first_ts,last_ts,model,requests,input,output,cache_read,cache_write_5m,cache_write_1h,total_tokens,est_cost_usd
8a5e10ea-2d9d-4bb9-8ca3-fb979500309e,2026-06-14T03:48:04.404Z,2026-06-16T13:16:47.060Z,claude-opus-4-8,1066,77864,2107568,551398405,0,11669958,565253795,1336.4319
c3e31a8e-e07d-474c-8814-0a121e557d1d,2026-06-16T17:30:59.737Z,2026-06-18T10:12:52.020Z,claude-opus-4-8,369,18102,578135,180862562,123,4430421,185889343,447.8404
8b429e6d-a1f1-40a5-b800-4ce157039657,2026-06-18T14:59:57.125Z,2026-06-19T03:11:24.630Z,claude-opus-4-8,160,8049,183132,29652819,0,593682,30437682,76.1453
d51a2ae4-3564-40b3-84fd-2dc7fed902d8,2026-06-19T03:17:50.865Z,2026-06-22T08:37:47.050Z,claude-opus-4-8,904,77387,1438033,363137349,0,9875529,374528298,949.9852
c0477a92-7d79-40d5-89c9-c0bc761a3d86,2026-06-22T18:40:16.101Z,2026-06-25T15:21:55.009Z,claude-opus-4-8,658,68299,1412626,325495261,0,16084741,343060927,1077.7566
ca04f89d-76da-469c-942b-b845900ea34d,2026-06-26T05:12:47.652Z,2026-06-26T08:48:44.490Z,claude-opus-4-8,49,3739,60479,5234022,0,374809,5673049,23.6873
ace57f3e-b52e-4cc7-adda-ef61148f91e0,2026-06-26T10:00:50.811Z,2026-06-30T05:06:04.646Z,claude-opus-4-8,993,72665,1803455,464473547,0,13381224,479730891,1234.4961
aa2d7019-4fd6-4e4f-9f7e-14af47735575,2026-06-30T08:47:42.424Z,2026-06-30T16:15:01.809Z,claude-opus-4-8,39,7749,104209,4620551,0,551628,5284137,31.4116
bf6ef2d7-5b5c-4775-88f2-f2ca15223daa,2026-07-01T06:01:04.102Z,2026-07-02T15:12:32.732Z,claude-opus-4-8,534,82394,945890,214309503,0,4186183,219523970,519.2274
92aed34e-8a28-44a4-8d9d-4bdf6df70a12,2026-07-02T15:45:10.829Z,2026-07-04T18:43:22.958Z,claude-opus-4-8,2016,126054,3095950,1014398519,0,12774286,1030394809,2138.9134
e329ee73-1887-4b36-811c-8be854369e50,2026-07-04T18:51:05.175Z,2026-07-06T10:36:32.026Z,claude-opus-4-8,1057,152251,2081279,481661723,0,7729227,491624480,1112.7491
b1ea211a-260f-4ff4-9dfb-3ef8f0755022,2026-07-06T14:03:07.090Z,2026-07-07T11:50:07.172Z,claude-opus-4-8,398,12195,716421,178606450,0,3688704,183023770,432.4853
368dc455-0d44-4d34-aa79-547c848c49cb,2026-07-07T12:57:29.968Z,2026-07-08T08:19:25.778Z,claude-opus-4-8,226,18069,542617,86004145,0,2352705,88917536,240.5547
e78eb6e5-dae6-487a-a98b-121f066465fc,2026-07-08T14:46:54.668Z,2026-07-12T11:01:08.546Z,claude-opus-4-8,1789,147410,4499493,930215437,9392,15423684,950295416,2197.8829
6b56630f-0f9e-4733-abf8-f856527e68ee,2026-07-12T16:20:26.384Z,2026-07-15T08:33:39.938Z,claude-opus-4-8,1459,2877,2631210,693483744,0,15056624,711174455,1689.3082
8a163dc8-875f-44c0-9539-9305796c1ed8,2026-07-15T08:34:43.604Z,2026-07-15T16:40:15.729Z,claude-opus-4-8,212,394,461573,78695886,0,1054357,80212210,184.2984
7a3d6e48-d97f-407e-83ba-ecef211af3af,2026-07-16T08:53:31.187Z,2026-07-19T04:36:43.987Z,claude-opus-4-8,760,2683,1234719,403459375,0,9699842,414396619,988.8285
