"strong","sense_label","gloss","note","row_type"
"G0505","headword","ἀνυπό-κρῐτος",", ον,","headword"
"G0505","I","without dissimulation",". adverb","lookup"
"G0505","I","-τως",". adverb","lookup"
"G0505","II","undramatic","","lookup"
"G0505","III","","in punctuation, of a stop in a simple sentence, opposed to ἐνυπόκριτος (which see),","lookup"
"G4942","headword","συνυπο-κρίνομαι","[ῑ],","headword"
"G4942","I","accommodate oneself by pretending",", M. , ; συνυπεκρίνετο τοῖς προθύμως.. διακειμένοις the eager spirits,","lookup"
"G4942","I","helping",", M. , ; συνυπεκρίνετο τοῖς προθύμως.. διακειμένοις the eager spirits,","lookup"
"G4942","I","to maintain his pretence",", M. , ; συνυπεκρίνετο τοῖς προθύμως.. διακειμένοις the eager spirits,","lookup"
"G4942","I","pretended to agree with",", M. , ; συνυπεκρίνετο τοῖς προθύμως.. διακειμένοις the eager spirits,","lookup"
"G5272","headword","ὑπό-κρῐσις",", εως, ἡ,","headword"
"G5272","I","reply","Ionic dialect (and perhaps in ,","lookup"
"G5272","I","answer","Ionic dialect (and perhaps in ,","lookup"
"G5272","II","playing a part","Attic dialect , on the stage,","lookup"
"G5272","II.2","delivery","an orator's ; οἱ κατὰ τὴν ὑ. ῥήτορες orators who depend on their opposed to to the authors of written speeches,","lookup"
"G5272","II.2.b","tone","or of an animal's cry, ὁ κυνηγέτης ἀπὸ τῆς ὑ. ᾔσθετο τοῦ κυνὸς ὑλακτοῦντος νῦν μὲν ὅτι ζητεῖ τὸν λαγών, νῦν δὲ ὅτι εὗρεν..","lookup"
"G5272","II.2.b","manner","or of an animal's cry, ὁ κυνηγέτης ἀπὸ τῆς ὑ. ᾔσθετο τοῦ κυνὸς ὑλακτοῦντος νῦν μὲν ὅτι ζητεῖ τὸν λαγών, νῦν δὲ ὅτι εὗρεν..","lookup"
"G5272","II.3","playing a part","metaphorically ,","lookup"
"G5272","II.3","hypocrisy","metaphorically ,","lookup"
"G5272","II.3","outward show","metaphorically ,","lookup"
"G5272","II.4","after the manner of","ὑπόκρισιν, as adverb , δελφῖνος ὑ.","lookup"
"G2549","headword","κᾰκία",", ἡ,","headword"
"G2549","I","badness","(κακός) in quality, opposed to ἀρετή (excellence), ; κακίᾳ ἡνιόχων by their , ,","lookup"
