"strong","strong_variant","sense_label","gloss","note","row_type"
"G0505","","headword","ἀνυπό-κρῐτος",", ον,","headword"
"G0505","","I","without dissimulation, -τως",". adverb","lookup"
"G0505","","II","undramatic","","lookup"
"G0505","","III","","in punctuation, of a stop in a simple sentence, opposed to ἐνυπόκριτος (which see),","lookup"
"G4942","","headword","συνυπο-κρίνομαι","[ῑ],","headword"
"G4942","","I","accommodate oneself by pretending, helping, to maintain his pretence, pretended to agree with",", M. , ; συνυπεκρίνετο τοῖς προθύμως.. διακειμένοις the eager spirits,","lookup"
"G5272","","headword","ὑπό-κρῐσις",", εως, ἡ,","headword"
"G5272","","I","reply, answer","Ionic dialect (and perhaps in ,","lookup"
"G5272","","II","playing a part","Attic dialect , on the stage,","lookup"
"G5272","","II.2","delivery","an orator's ; οἱ κατὰ τὴν ὑ. ῥήτορες orators who depend on their opposed to to the authors of written speeches,","lookup"
"G5272","","II.2.b","tone, manner","or of an animal's cry, ὁ κυνηγέτης ἀπὸ τῆς ὑ. ᾔσθετο τοῦ κυνὸς ὑλακτοῦντος νῦν μὲν ὅτι ζητεῖ τὸν λαγών, νῦν δὲ ὅτι εὗρεν..","lookup"
"G5272","","II.3","playing a part, hypocrisy, outward show","metaphorically ,","lookup"
"G5272","","II.4","after the manner of","ὑπόκρισιν, as adverb , δελφῖνος ὑ.","lookup"
"G2549","","headword","κᾰκία",", ἡ,","headword"
"G2549","","I","badness, incapacity, defects","(κακός) in quality, opposed to ἀρετή (excellence), ; κακίᾳ ἡνιόχων by their , ,","lookup"
"G2549","","I.2","cowardice, faint-heartedness",",","lookup"
"G2549","","I.3","moral badness, vice",", μετ᾽ ἀρετῆς ἀλλ᾽ οὐ μετὰ κακίας ; ἡ ἀρετή, ὡσαύτως δὲ.. καὶ ἡ κ. ; personified in the Fable of Prodicus,","lookup"
"G2549","","I.4","","Philos.,","lookup"
"G2549","","II","ill-repute, dishonour",", κ. ἀντιλαβεῖν","lookup"
"G2549","","II.2","hurt, damage","done or suffered,","lookup"
"G2550","","headword","κᾰκοήθ-εια",",","headword"
"G2550","","I","bad disposition, malignity","Ionic dialect -ιη, ἡ, , (-ηθία),","lookup"
"G2550","","II","bad manners, habits","or ,","lookup"
"G2550","","III","malignant character, malignant diseases, growths","in Medicine texts, , τῆς νόσου : in plural , or ,","lookup"
"G4189","","headword","πονηρ-ία",", ἡ,","headword"
"G4189","","I","bad state, condition","or ὀφθαλμῶν","lookup"
"G4189","","II","wickedness, vice, knavery, vice, knavish tricks, rogueries","in moral sense, ἡ μωρία.. ἀδελφὴ τῆς π. ἔφυ ; εἰς τὴν π. πάλιν τρέπεται turns again to : in plural ,","lookup"
"G4189","","II.2","baseness, cowardice","","lookup"
"G4189","","II.3","mob-rule","with a political connotation,","lookup"
"G0111","","headword","ἀθέμ-ιστος","","headword"
"G0111","","I","-ίτως","or ἀθέμιτος , ον, (the former in Poetry, the latter more correct in Prose) = {ἀθεμίστιος}, ; of the Cyclopes, ; ἀθεμιστότεροι adverb -ίστως Phaennis cited in","lookup"
"G0111","","II","unlawful","of things, , frequently in neuter , ἀθέμιτα ἔρδειν","lookup"
"G0946","","headword","βδέλυγ-μα",", ατος, τό,","headword"
"G0946","","I","abomination",", τοῖς Αἰγ. πᾶς ποιμήν β. ; β. τῶν ἐρημώσεων, ἐρημώσεως, of an idol,","lookup"
"G0947","","headword","βδελυκ-τός",", ή, όν,","headword"
"G0947","","I","disgusting, abominable",",","lookup"
"G0948","","headword","βδελύσσομαι",",","headword"
"G0948","","I","βδελύττομαι, -ύξομαι, feel a loathing for food, to be sick","Attic dialect , future : aorist ἐβδελύχθην :— , Hp ; ,","lookup"
"G0948","","I.2","feel a loathing at","with accusative , , ; β. [τραγῳδίας] ; ὠμοφαγίαν","lookup"
"G0948","","II","cause to stink, make loathsome, abominable, -ύξω, to be loathsome, the abominable, an idol)","later causal, in active , or , future aorist ἐβδέλυξα:— middle and passive , , future -υχθήσομαι aorist -ύχθην perfect ἐβδέλυγμαι; οἱ ἐβδελυγμένοι (in reference to the use of βδέλυγμα as :—this perfect in causal sense,","lookup"
"G6662","","headword","βδελυγ-μός",", ὁ,","headword"
"G6662","","I","abomination",",","lookup"
"G8238","","headword","μάκρ-υμμα",", ατος, τό,","headword"
"G8238","","I","a thing put far away",", as abominable, (with see l. μάκρυνσις).","lookup"
"G0074","","headword","ἀγων-ία",", ἡ,","headword"
"G0074","","I","contest, struggle for victory",", ἀγὼν διὰ πάσης ἀγωνίης ἔχων; ἅπασαν ἀ. ἐκτεἶναι [","lookup"
"G0074","","I.2","gymnastic exercise, exercise",", : generally, ,","lookup"
"G0074","","I.3","agony, anguish","of the mind, , ἐν φόβῳ καὶ πολλῇ ἀ.","lookup"
"G0928","H","headword","βᾰσᾰν-ίζω",",","headword"
"G0928","H","I","-ῐῶ, rub upon the touch-stone, put to the test, prove, investigate scientifically","Attic dialect future aorist ἐβασάνισα, subjunctive βασανίσω variant in — passive , aorist ἐβασανίσθην: perfect βεβασάνισμαι:— (βάσανος), χρυσόν : hence, ; of the instances used in inductive inference, ἀπὸ τῶν πανταχόθεν βεβασανισμένων [μεταβαίνομεν]","lookup"
"G0928","H","II","examine closely, cross-question, having, put to the test, to be convicted","of persons, ; βεβασανισμένος εἰς δικαιοσύνην his love of justice ; ὑπὸ δακρύων βασανίζεσθαι, i.e. of being painted by tears (washing off the cosmetic),","lookup"
"G0928","H","II.2","question by applying torture, torture, rack, to be put to the torture, to be tortured","(see. βάσανοςIII), :— passive , ; by disease (censured by ; of animals, : metaphorically of the earth,","lookup"
"G0928","H","II.3","strain, forced, unnatural","metaphorically of style,","lookup"
"G3600","","headword","ὀδῠν-άω",",","headword"
"G3600","","I","cause, pain, suffering, feel pain, suffer pain, the pains I suffered, ὀδυνέομαι","aorist ὀδυνῆσαι :— passive , O.; 2nd pers. singular ὀδυνᾶσαι : future ὀδυνηθήσομαι .: aorist ὠδυνήθην :— one or τὸ γὰρ ὀρθοῦσθαι γνώμαν ὀδυνᾷ :— passive , ; Ionic dialect present","lookup"
"G5604","","headword","ὠδίς","Included with:","headword"
