"strong","step_verse_count","status"
"G0090","0","ok"
"G0149","0","ok"
"G0158","0","ok"
"G0168","0","ok"
"G0445","0","ok"
"G0566","0","ok"
"G0567","0","ok"
"G1418","0","ok"
"G20125","0","ok"
"G20258","0","ok"
"G2071","0","ok"
"G20833","0","ok"
"G21401","0","ok"
"G21410","0","ok"
"G21415","0","ok"
"G21419","0","ok"
"G21422","0","ok"
"G21497","0","ok"
"G2468","0","ok"
"G2566","0","ok"
"G3166","0","ok"
"G3801","0","ok"
"G5224","0","ok"
"G6023","0","ok"
"G6028","0","ok"
"G6041","0","ok"
"G6050","0","ok"
"G6073","0","ok"
"G6103","0","ok"
"G6107","0","ok"
"G6108","0","ok"
"G6110","0","ok"
"G6124","0","ok"
"G6131","0","ok"
"G6139","0","ok"
"G6140","0","ok"
"G6141","0","ok"
"G6149","0","ok"
"G6156","0","ok"
"G6165","0","ok"
"G6177","0","ok"
"G6185","0","ok"
"G6215","0","ok"
"G6221","0","ok"
"G6285","0","ok"
"G6297","0","ok"
"G6300","0","ok"
"G6306","0","ok"
"G6326","0","ok"
"G6345","0","ok"
"G6347","0","ok"
"G6354","0","ok"
"G6381","0","ok"
"G6396","0","ok"
"G6410","0","ok"
"G6441","0","ok"
"G6443","0","ok"
"G6452","0","ok"
"G6461","0","ok"
"G6485","0","ok"
"G6493","0","ok"
"G6522","0","ok"
"G6530","0","ok"
"G6542","0","ok"
"G6589","0","ok"
"G6596","0","ok"
"G6629","0","ok"
"G6656","0","ok"
"G6657","0","ok"
"G6662","0","ok"
"G6697","0","ok"
"G6772","0","ok"
"G6786","0","ok"
"G6791","0","ok"
"G6802","0","ok"
"G6804","0","ok"
"G6882","0","ok"
"G6893","0","ok"
"G6928","0","ok"
"G6948","0","ok"
"G6957","0","ok"
"G6975","0","ok"
"G6980","0","ok"
"G7013","0","ok"
"G7025","0","ok"
"G7027","0","ok"
"G7050","0","ok"
"G7099","0","ok"
"G7114","0","ok"
"G7115","0","ok"
"G7121","0","ok"
"G7124","0","ok"
"G7140","0","ok"
"G7143","0","ok"
"G7170","0","ok"
"G7214","0","ok"
"G7223","0","ok"
"G7235","0","ok"
"G7243","0","ok"
"G7244","0","ok"
"G7255","0","ok"
"G7292","0","ok"
"G7301","0","ok"
"G7303","0","ok"
"G7351","0","ok"
"G7352","0","ok"
"G7353","0","ok"
"G7361","0","ok"
"G7376","0","ok"
"G7379","0","ok"
"G7383","0","ok"
"G7396","0","ok"
"G7405","0","ok"
"G7410","0","ok"
"G7411","0","ok"
"G7428","0","ok"
"G7435","0","ok"
"G7451","0","ok"
"G7454","0","ok"
"G7471","0","ok"
"G7474","0","ok"
"G7493","0","ok"
"G7513","0","ok"
"G7518","0","ok"
"G7527","0","ok"
"G7533","0","ok"
"G7534","0","ok"
"G7548","0","ok"
"G7559","0","ok"
"G7565","0","ok"
"G7567","0","ok"
"G7576","0","ok"
"G7589","0","ok"
"G7590","0","ok"
"G7600","0","ok"
"G7601","0","ok"
"G7618","0","ok"
"G7619","0","ok"
"G7635","0","ok"
"G7643","0","ok"
"G7680","0","ok"
"G7681","0","ok"
"G7683","0","ok"
"G7684","0","ok"
"G7686","0","ok"
"G7735","0","ok"
"G7751","0","ok"
"G7752","0","ok"
"G7765","0","ok"
"G7767","0","ok"
"G7771","0","ok"
"G7772","0","ok"
"G7773","0","ok"
"G7774","0","ok"
"G7798","0","ok"
"G7805","0","ok"
"G7806","0","ok"
"G7807","0","ok"
"G7808","0","ok"
"G7813","0","ok"
"G7891","0","ok"
"G7895","0","ok"
"G7898","0","ok"
"G7899","0","ok"
"G7904","0","ok"
"G7906","0","ok"
"G7929","0","ok"
"G7936","0","ok"
"G7946","0","ok"
"G7949","0","ok"
"G7953","0","ok"
"G7973","0","ok"
"G7983","0","ok"
"G7994","0","ok"
"G8013","0","ok"
"G8016","0","ok"
"G8083","0","ok"
"G8117","0","ok"
"G8128","0","ok"
"G8146","0","ok"
"G8147","0","ok"
"G8156","0","ok"
"G8159","0","ok"
"G8186","0","ok"
"G8199","0","ok"
"G8202","0","ok"
"G8214","0","ok"
"G8229","0","ok"
"G8231","0","ok"
"G8232","0","ok"
"G8237","0","ok"
"G8238","0","ok"
"G8240","0","ok"
"G8242","0","ok"
"G8272","0","ok"
"G8281","0","ok"
"G8298","0","ok"
"G8313","0","ok"
"G8318","0","ok"
"G8320","0","ok"
"G8327","0","ok"
"G8332","0","ok"
"G8363","0","ok"
"G8376","0","ok"
"G8419","0","ok"
"G8422","0","ok"
"G8463","0","ok"
"G8466","0","ok"
"G8468","0","ok"
"G8474","0","ok"
"G8485","0","ok"
"G8513","0","ok"
"G8546","0","ok"
"G8598","0","ok"
"G8618","0","ok"
"G8619","0","ok"
"G8634","0","ok"
"G8642","0","ok"
"G8658","0","ok"
"G8687","0","ok"
"G8692","0","ok"
"G8694","0","ok"
"G8721","0","ok"
"G8793","0","ok"
"G8794","0","ok"
"G8825","0","ok"
"G8849","0","ok"
"G8854","0","ok"
"G8859","0","ok"
"G8860","0","ok"
"G8878","0","ok"
"G8898","0","ok"
"G8922","0","ok"
"G8926","0","ok"
"G8946","0","ok"
"G8963","0","ok"
"G8997","0","ok"
"H2409","0","ok"
"H4059","0","ok"
"H7444","0","ok"
