"strong","mounce_parsed","row_type"
"G0505","sincere","lookup"
"G0505","genuine","lookup"
"G0505","without hypocrisy","lookup"
"G0505","of good character","lookup"
"G0505","lacking pretense and prideful show","description"
"G4942","to join in one’s hypocrisy be hypocritical","description"
"G5272","hypocrisy (an extension of an actor in a play, not found in the NT)","description"
"G5272","implying arrogance and hardness of heart","description"
"G5272","utterly devoid of sincerity and genuineness","description"
"G2549","evil","lookup"
"G2549","wickedness","lookup"
"G2549","depravity","lookup"
"G2549","malice","lookup"
"G2549","in some contexts an evil situation means a difficult and hard circumstance rather than a morally corrupt circumstance (Mt 6 34)","description"
"G2550","malice","lookup"
"G4189","evil","lookup"
"G4189","wickedness","lookup"
"G4189","malice","lookup"
"G4189","in the NT always a negative moral quality opposed to God and his goodness","description"
"G0111","unlawful","lookup"
"G0111","detestable","lookup"
"G0946","abomination","lookup"
"G0946","something detestable","lookup"
"G0947","detestable","lookup"
"G0947","abominable","lookup"
"G0948","(middle) to abhor","lookup"
"G0948","detest","lookup"
"G0948","(passive) to be vile","description"
"G0948","abhorrent","lookup"
"G6662","abomination","lookup"
"G8238","abomination","lookup"
"G0074","anguish","lookup"
"G0074","anxiety","lookup"
"G0928H","anguish","lookup"
"G0928H","to torture","lookup"
"G0928H","torment","lookup"
"G0928H","(passive) to be tortured","description"
"G0928H","tormented","lookup"
"G0928H","in pain","lookup"
"G3600","to grieve","lookup"
"G3600","be anxious","lookup"
"G3600","in agony anguished","lookup"
"G5604","labor","lookup"
"G5604","birth pain","lookup"
"G5604","agony (of death)","lookup"
"G2052","selfish ambition","lookup"
"G2052","faction","lookup"
"G2052","strife","lookup"
"G5389","to have an ambition","description"
"G5389","aspire to a goal","description"
"G2372","wrath","lookup"
"G2372","fury","lookup"
"G2372","anger","lookup"
"G2372","rage","lookup"
"G2372","a state of intense displeasure based in some real or perceived wrong. The anger of God is due to moral offense and has a focus on righteous punishment","description"
"G2373","(passive) to become angry anger","description"
"G3709","wrath","lookup"
"G3709","anger","lookup"
"G3709","the feeling and expression of strong displeasure and hostility","description"
"G3709","this can range from petty human anger to the righteous anger of God toward sinful disobedience","description"
"G3710","(middle/passive) to be angry","description"
"G3710","enraged","lookup"
"G3710","to feel and express strong displeasure and hostility","description"
"G3710","this can range from petty human anger to the righteous anger of God toward sinful disobedience","description"
"G3947","(intr.) to be greatly distressed","description"
"G3947","to be angered","lookup"
"G3947","irritated provoke","lookup"
"G3949","to anger","lookup"
"G3949","exasperate","lookup"
"G3950","anger","lookup"
"G7026","an object of anger","description"
"G8318","vehement anger","lookup"
"G2347","trouble","lookup"
"G2347","distress","lookup"
"G2347","oppression","lookup"
"G2347","tribulation pressure","lookup"
"G3601","anguish","lookup"
"G3601","grief","lookup"
"G3601","pain","lookup"
"G4192","pain","lookup"
"G4192","agony","lookup"
"G4192","hard work","lookup"
"G4192","toil travail","lookup"
"G4730","distress","lookup"
"G4730","hardship","lookup"
"G4730","difficulty","lookup"
"G4928","anguish","lookup"
"G4928","distress","lookup"
"G0218","to pour on","lookup"
"G0218","anoint (usually with olive oil)","description"
"G1472","to put on","lookup"
"G1472","rub on","lookup"
"G1472","anoint","lookup"
"G2025","to put on","lookup"
"G2025","anoint on","lookup"
"G2025","spread on","lookup"
"G3462","to pour perfume","lookup"
"G3462","anoint","lookup"
"G5545","anointing","lookup"
"G5547","Christ","lookup"
"G5547","Anointed One","lookup"
"G5547","Messiah","lookup"
"G5547","the Greek translation of the H5431 (cf. Greek G3549). The Messiah is the Son of David","description"
