"reference","position","surface","strong_variant","morph_code"
"1Sa 15:23","12","word","H0853","HTo"
"Psa 94:23","4","iniquity","H0853","HTo"
"Isa 31:2","10","words","H0853","HTo"
"Judg 11:36","7","mouth","H0853","HTo"
"2Sa 4:8","2","head","H0853","HTo"
"2Sa 4:8","21","life","H0853","HTo"
"Jer 11:20","20","cause","H0853","HTo"
"Jer 20:12","20","cause","H0853","HTo"
"Jer 50:28","12","vengeance","H0853","HTo"
"Jer 51:11","9","spirit","H0853","HTo"
"Jer 51:36","9","cause","H0853","HTo"
"Jer 51:36","13","vengeance","H0853","HTo"
"Jer 51:36","17","sea","H0853","HTo"
"Jer 51:36","20","fountain","H0853","HTo"
"Eze 25:14","2","vengeance","H0853","HTo"
"Eze 25:14","23","vengeance","H0853","HTo"
"Eze 25:17","17","vengeance","H0853","HTo"
"Eze 36:5","25","land","H0853","HTo"
"Gen 24:60","2","Rebekah","H0853","HTo"
"Gen 24:60","17","gate","H0853","HTo"
"Gen 26:27","12","sent me away","H0853","HTo"
"Gen 29:31","7","womb","H0853","HTo"
"Gen 29:33","13","this","H0853","HTo"
"Gen 37:4","6","loved","H0853","HTo"
"Gen 37:4","17","not","H0853","HTo"
"Gen 37:5","8","him","H0853","HTo"
"Gen 37:8","19","dreams","H0853","HTo"
"Lev 19:17","3","brother","H0853","HTo"
"Lev 19:17","10","neighbor","H0853","HTo"
"Lev 26:17","19","you","H0853","HTo"
"Deu 4:42","8","neighbor","H0853","HTo"
"Deu 12:31","22","sons","H0853","HTo"
"Deu 12:31","25","daughters","H0853","HTo"
"Deu 19:4","13","neighbor","H0853","HTo"
"Deu 21:16","6","sons","H0853","HTo"
"Deu 21:16","10","not","H0853","HTo"
"Deu 21:16","16","son","H0853","HTo"
"Deu 21:17","4","firstborn","H0853","HTo"
"Deu 22:16","10","daughter","H0853","HTo"
"Deu 30:7","5","all","H0853","HTo"
"Jos 20:5","13","manslayer","H0853","HTo"
"Jos 20:5","18","neighbor","H0853","HTo"
"Judg 11:7","10","drive","H0853","HTo"
"2Sa 5:8","14","lame","H0853","HTo"
"2Sa 5:8","18","blind","H0853","HTo"
"2Sa 13:22","16","Amnon","H0853","HTo"
"2Sa 13:22","24","Tamar","H0853","HTo"
"2Sa 19:6","3","hate","H0853","HTo"
"2Sa 19:6","9","love","H0853","HTo"
"1Ki 22:8","11","Lord","H0853","HTo"
"1Ki 22:8","17","hate","H0853","HTo"
"2Ch 1:11","19","life","H0853","HTo"
"2Ch 1:11","37","people","H0853","HTo"
"2Ch 18:7","11","Lord","H0853","HTo"
"2Ch 18:7","18","hate","H0853","HTo"
"Est 9:16","31","hands","H0853","HTo"
"Ecc 2:17","3","life","H0853","HTo"
"Ecc 2:18","3","all","H0853","HTo"
"Jer 44:4","6","all","H0853","HTo"
"Jer 44:4","20","abomination","H0853","HTo"
"Eze 16:37","6","all","H0853","HTo"
"Eze 16:37","14","all","H0853","HTo"
"Eze 16:37","24","against","H0853","HTo"
"Eze 16:37","36","all","H0853","HTo"
"Amo 6:8","13","pride","H0853","HTo"
"Zec 8:17","4","evil","H0853","HTo"
"Zec 8:17","18","all","H0853","HTo"
"Mal 1:3","1","Esau","H0853","HTo"
"Mal 1:3","8","hill","H0853","HTo"
"Mal 1:3","10","heritage","H0853","HTo"
"Gen 34:30","10","stink","H0853","HTo"
"Exo 5:21","11","stink","H0853","HTo"
"Exo 8:14","2","heaps","H0853","HTo"
"Exo 16:24","2","till","H0853","HTo"
"1Sa 13:4","9","garrison","H0853","HTo"
"2Sa 10:6","12","Syrians","H0853","HTo"
"2Sa 10:6","15","Syrians","H0853","HTo"
"2Sa 10:6","22","king","H0853","HTo"
"Isa 66:14","19","enemies","H0853","HTo"
"Zec 1:12","12","Jerusalem","H0853","HTo"
"Zec 1:12","14","cities","H0853","HTo"
"1Ki 15:13","5","Maacah","H0853","HTo"
"1Ki 15:13","18","image","H0853","HTo"
"2Ch 15:16","19","image","H0853","HTo"
"Lev 7:18","19","credited","H0853","HTo"
"Deu 29:17","2","detestable things","H0853","HTo"
"Deu 29:17","5","idols","H0853","HTo"
"2Ki 23:13","4","high places","H0853","HTo"
"2Ki 23:24","6","mediums","H0853","HTo"
"2Ki 23:24","10","necromancers","H0853","HTo"
"2Ki 23:24","13","household gods","H0853","HTo"
"2Ki 23:24","17","idols","H0853","HTo"
"2Ki 23:24","22","abominations","H0853","HTo"
"2Ki 23:24","35","words","H0853","HTo"
"2Ch 15:8","37","altar","H0853","HTo"
"Jer 16:18","12","land","H0853","HTo"
"Jer 16:18","21","inheritance","H0853","HTo"
"Eze 5:11","13","sanctuary","H0853","HTo"
"Eze 11:18","8","all","H0853","HTo"
"Eze 11:18","12","all","H0853","HTo"
"Eze 20:8","15","detestable things","H0853","HTo"
"Eze 20:8","20","idols","H0853","HTo"
"Eze 37:23","17","from","H0853","HTo"
"Eze 37:23","31","people","H0853","HTo"
"Lev 11:11","13","carcasses","H0853","HTo"
"Lev 11:13","1","detest","H0853","HTo"
"Lev 11:13","13","eagle","H0853","HTo"
"Lev 11:13","16","bearded vulture","H0853","HTo"
"Lev 11:13","20","black vulture","H0853","HTo"
"Lev 11:43","1","yourselves","H0853","HTo"
"Lev 20:25","17","yourselves","H0853","HTo"
"Exo 8:26","18","abominable","H0853","HTo"
"Lev 18:22","3","male","H0853","HTo"
"Lev 18:26","3","statutes","H0853","HTo"
"Lev 18:26","6","rules","H0853","HTo"
