id,span_id,lemma_key,candidate_tag,seed_source,set_at,deleted
206648,5097,H7200,see (raah),read-emergent,2026-07-19T13:42:46Z,0
206649,5106,H7971,stretch out the hands (shalach),read-emergent,2026-07-19T13:42:46Z,0
206650,8685,H6485,into your hand I commit my spirit,read-emergent,2026-07-19T13:42:46Z,0
206651,8691,H8581,to abhor,registry-direct,2026-07-19T13:42:46Z,0
206652,9438,H3513,to honor: honour,ib-judgement,2026-07-19T13:42:46Z,0
206653,9445,H4672,suffer (matsa),read-emergent,2026-07-19T13:42:46Z,0
206654,9446,H2342,to twist: tremble,ib-judgement,2026-07-19T13:42:46Z,0
206655,12459,H0639,face: anger,registry-direct,2026-07-19T13:42:46Z,0
206656,12460,H3068,,ib-judgement,2026-07-19T13:42:46Z,0
206657,12461,H2734,to be incensed,registry-direct,2026-07-19T13:42:46Z,0
206658,12468,H7971,stretch out the hands (shalach),read-emergent,2026-07-19T13:42:46Z,0
206659,12478,H0430,,ib-judgement,2026-07-19T13:42:46Z,0
206660,16373,H0935,come before (bo),read-emergent,2026-07-19T13:42:46Z,0
206661,16377,H5027,see (nabat),read-emergent,2026-07-19T13:42:46Z,0
206662,16378,H7200,see (raah),read-emergent,2026-07-19T13:42:46Z,0
206663,16385,H7812,to bow,registry-direct,2026-07-19T13:42:46Z,0
206664,16388,H0639,face: anger,registry-direct,2026-07-19T13:42:46Z,0
206665,19743,H2734,to be incensed,registry-direct,2026-07-19T13:42:46Z,0
206666,19745,H3068,,ib-judgement,2026-07-19T13:42:46Z,0
206667,19752,H7121,to call: call to,registry-direct,2026-07-19T13:42:46Z,0
206668,23244,H2490,profane / violate (chalal - he violated his covenant),read-emergent,2026-07-19T13:42:46Z,0
206669,23245,H4487,number (manah),read-emergent,2026-07-19T13:42:46Z,0
206670,23249,H3615,pass away (kalah),read-emergent,2026-07-19T13:42:46Z,0
206671,23250,H7110,wrath,registry-direct,2026-07-19T13:42:46Z,0
206672,24690,H2342,to twist: tremble,ib-judgement,2026-07-19T13:42:46Z,0
206673,24702,H4131,shall never be moved,read-emergent,2026-07-19T13:42:46Z,0
206674,27715,H0559,"'God has forgotten, he won't see'",read-emergent,2026-07-19T13:42:46Z,0
206675,27726,H3068,,ib-judgement,2026-07-19T13:42:46Z,0
206676,27728,H7356,womb,registry-direct,2026-07-19T13:42:46Z,0
206677,28245,H0559,"'God has forgotten, he won't see'",read-emergent,2026-07-19T13:42:46Z,0
206678,28249,H0935,come before (bo),read-emergent,2026-07-19T13:42:46Z,0
206679,28250,H7965,peace,registry-direct,2026-07-19T13:42:46Z,0
206680,28253,H5826,none to help,read-emergent,2026-07-19T13:42:46Z,0
206681,28256,H3824,heart,registry-direct,2026-07-19T13:42:46Z,0
206682,28275,H2555,violence,ib-judgement,2026-07-19T13:42:46Z,0
206683,28278,H0430,,ib-judgement,2026-07-19T13:42:46Z,0
206684,28280,H7200,see (raah),read-emergent,2026-07-19T13:42:46Z,0
206685,28299,H0341,,ib-judgement,2026-07-19T13:42:46Z,0
206686,28308,H3068,,ib-judgement,2026-07-19T13:42:46Z,0
206687,28315,H3068,,ib-judgement,2026-07-19T13:42:46Z,0
206688,28316,H7843,to ruin,registry-direct,2026-07-19T13:42:46Z,0
206689,28323,H7200,see (raah),read-emergent,2026-07-19T13:42:46Z,0
206690,28327,H7725,return (shuv),read-emergent,2026-07-19T13:42:46Z,0
206691,28328,H7971,stretch out the hands (shalach),read-emergent,2026-07-19T13:42:46Z,0
206692,31082,H7121,to call: call to,registry-direct,2026-07-19T13:42:46Z,0
206693,31083,H0430,,ib-judgement,2026-07-19T13:42:46Z,0
206694,31086,H0559,"'God has forgotten, he won't see'",read-emergent,2026-07-19T13:42:46Z,0
206695,31089,H1288,to bless,ib-judgement,2026-07-19T13:42:46Z,0
206696,31090,H1288,to bless,ib-judgement,2026-07-19T13:42:46Z,0
206697,31098,H6213,practice (asah),read-emergent,2026-07-19T13:42:46Z,0
206698,31102,H7451,bad: harmful,registry-direct,2026-07-19T13:42:46Z,0
206699,31105,H6087,to hurt,ib-judgement,2026-07-19T13:42:46Z,0
