"lemma_key","sort","sense_code","gloss","verse_refs","note","row_type"
"G0014","0","","to do good","Act.14.17; 1Ti.6.18","*","lookup"
"G0014","0","","confer benefits","Act.14.17; 1Ti.6.18","*","lookup"
"G0015","0","","to do good","","","lookup"
"G0015","0","","to do right","","","lookup"
"G0015","1","","do well","1Pe.2.15, 20","( )","lookup"
"G0015","1","","to do what is morally correct","1Pe.2.15, 20","( )","description"
"G0016","0","","doing good","","","lookup"
"G0016","1","","well-doing","1Pe.4.19","*","lookup"
"G0017","0","","one who does good","","","description"
"G0017","0","","right","","","lookup"
"G0017","1","","doing good","1Pe.2.14","or substantive , *","lookup"
"G0017","1","","right","1Pe.2.14","or substantive , *","lookup"
"G0017","1","","a well-doer","1Pe.2.14","or substantive , *","lookup"
"G0018","0","","goodness","","","lookup"
"G0018","0","","good thing","","","lookup"
"G0018","0","","one who does good","","","description"
"G0019","0","","goodness","Rom.15.14; Eph.5.9; 2Th.1.11; Gal.5.22","*","lookup"
"G0019","0","","virtue","Rom.15.14; Eph.5.9; 2Th.1.11; Gal.5.22","*","lookup"
"G0019","0","","beneficence","Rom.15.14; Eph.5.9; 2Th.1.11; Gal.5.22","*","lookup"
"G0019","0","","generosity","Rom.15.14; Eph.5.9; 2Th.1.11; Gal.5.22","*","lookup"
"G0020","0","","delight","","","lookup"
"G0020","0","","great joy","","","lookup"
"G0020","1","","exultation","","","lookup"
"G0020","1","","extreme joy","","","lookup"
"G0021","0","","to be filled with delight","","","description"
"G0021","0","","with great joy","","","lookup"
"G0021","1","","to celebrate","Jhn.8.56","usually in the middle in the NT ( ἀγαλλιάομαι )","lookup"
"G0021","1","","praise","Jhn.8.56","usually in the middle in the NT ( ἀγαλλιάομαι )","lookup"
"G0021","1","","to exult","Jhn.8.56","usually in the middle in the NT ( ἀγαλλιάομαι )","lookup"
"G0021","1","","rejoice exceedingly","Jhn.8.56","usually in the middle in the NT ( ἀγαλλιάομαι )","lookup"
"G0021","1","","to fill with delight","Jhn.8.56","usually in the middle in the NT ( ἀγαλλιάομαι )","description"
"G0021","1","","to desire ardently","Jhn.8.56","usually in the middle in the NT ( ἀγαλλιάομαι )","lookup"
"G0023","0","","to be indignant","","","lookup"
"G0023","1","","to be pained","Mrk.14.4; Luk.13.14",";","lookup"
"G0023","1","","to be angry","Mrk.14.4; Luk.13.14",";","lookup"
"G0023","1","","vexed","Mrk.14.4; Luk.13.14",";","lookup"
"G0023","1","","to manifest indignation","Mrk.14.4; Luk.13.14",";","lookup"
"G0024","0","","indignation","2Co.7.11","*","lookup"
"G0025","0","","to love","","","lookup"
"G0025","0","","in the NT usually the active love of God for his Son and his people","","","description"
"G0025","0","","and the active love his people are to have for God","","","description"
"G0025","0","","each other","","","lookup"
"G0025","0","","and even enemies","","","lookup"
"G0025","1","","to love","Rev.12.11","","lookup"
"G0025","1","","value","Rev.12.11","","lookup"
"G0025","1","","esteem","Rev.12.11","","lookup"
"G0025","1","","feel or manifest generous concern for","Rev.12.11","","description"
"G0025","1","","be faithful towards","Rev.12.11","","lookup"
"G0025","1","","to delight in","Rev.12.11","","lookup"
"G0025","1","","to set store upon","Rev.12.11","","description"
"G0026","0","","love","","","lookup"
"G0026","0","","in the NT usually the active love of God for his Son and his people","","","description"
"G0026","0","","and the active love his people are to have for God","","","description"
"G0026","0","","each other","","","lookup"
"G0026","0","","and even enemies","","","lookup"
"G0026","0","","love feast","","","lookup"
"G0026","0","","the common meal shared by Christians in connection with church meetings","","","description"
