"strong","related_strong","related_form","related_transliteration","related_gloss","status"
"G0014","G0015","ἀγαθοποιέω","agathopoieō","to do good","ok"
"G0014","G0016","ἀγαθοποιΐα","agathopoiia","doing good","ok"
"G0014","G0017","ἀγαθοποιός","agathopoios","doing good","ok"
"G0014","G0018","ἀγαθός","agathos","good","ok"
"G0014","G0019","ἀγαθωσύνη","agathōsunē","goodness","ok"
"G0014","G0865","ἀφιλάγαθος","afilagathos","hating good","ok"
"G0014","G2041","ἔργον","ergon","work","ok"
"G0014","G5358","φιλάγαθος","filagathos","lover of good","ok"
"G0015","G0014","ἀγαθοεργέω","agathoergeō","to do good","ok"
"G0015","G0016","ἀγαθοποιΐα","agathopoiia","doing good","ok"
"G0015","G0017","ἀγαθοποιός","agathopoios","doing good","ok"
"G0015","G0018","ἀγαθός","agathos","good","ok"
"G0015","G0019","ἀγαθωσύνη","agathōsunē","goodness","ok"
"G0015","G0865","ἀφιλάγαθος","afilagathos","hating good","ok"
"G0015","G4160G","ποιέω","poieō","to do/make: do","ok"
"G0015","G4160H","ποιέω","poieō","to do/make: make","ok"
"G0015","G4160I","ποιέω","poieō","to do/make: appoint","ok"
"G0015","G4160J","ποιέω","poieō","to do/make: spend[time]","ok"
"G0015","G5358","φιλάγαθος","filagathos","lover of good","ok"
"G0016","G0014","ἀγαθοεργέω","agathoergeō","to do good","ok"
"G0016","G0015","ἀγαθοποιέω","agathopoieō","to do good","ok"
"G0016","G0017","ἀγαθοποιός","agathopoios","doing good","ok"
"G0016","G0018","ἀγαθός","agathos","good","ok"
"G0016","G0019","ἀγαθωσύνη","agathōsunē","goodness","ok"
"G0016","G0865","ἀφιλάγαθος","afilagathos","hating good","ok"
"G0016","G4160G","ποιέω","poieō","to do/make: do","ok"
"G0016","G4160H","ποιέω","poieō","to do/make: make","ok"
"G0016","G4160I","ποιέω","poieō","to do/make: appoint","ok"
"G0016","G4160J","ποιέω","poieō","to do/make: spend[time]","ok"
"G0016","G5358","φιλάγαθος","filagathos","lover of good","ok"
"G0017","G0014","ἀγαθοεργέω","agathoergeō","to do good","ok"
"G0017","G0015","ἀγαθοποιέω","agathopoieō","to do good","ok"
"G0017","G0016","ἀγαθοποιΐα","agathopoiia","doing good","ok"
"G0017","G0018","ἀγαθός","agathos","good","ok"
"G0017","G0019","ἀγαθωσύνη","agathōsunē","goodness","ok"
"G0017","G0865","ἀφιλάγαθος","afilagathos","hating good","ok"
"G0017","G4160G","ποιέω","poieō","to do/make: do","ok"
"G0017","G4160H","ποιέω","poieō","to do/make: make","ok"
"G0017","G4160I","ποιέω","poieō","to do/make: appoint","ok"
"G0017","G4160J","ποιέω","poieō","to do/make: spend[time]","ok"
"G0017","G5358","φιλάγαθος","filagathos","lover of good","ok"
"G0018","G0014","ἀγαθοεργέω","agathoergeō","to do good","ok"
"G0018","G0015","ἀγαθοποιέω","agathopoieō","to do good","ok"
"G0018","G0016","ἀγαθοποιΐα","agathopoiia","doing good","ok"
"G0018","G0017","ἀγαθοποιός","agathopoios","doing good","ok"
"G0018","G0019","ἀγαθωσύνη","agathōsunē","goodness","ok"
"G0018","G0865","ἀφιλάγαθος","afilagathos","hating good","ok"
"G0018","G5358","φιλάγαθος","filagathos","lover of good","ok"
"G0019","G0014","ἀγαθοεργέω","agathoergeō","to do good","ok"
"G0019","G0015","ἀγαθοποιέω","agathopoieō","to do good","ok"
"G0019","G0016","ἀγαθοποιΐα","agathopoiia","doing good","ok"
"G0019","G0017","ἀγαθοποιός","agathopoios","doing good","ok"
"G0019","G0018","ἀγαθός","agathos","good","ok"
"G0019","G0865","ἀφιλάγαθος","afilagathos","hating good","ok"
"G0019","G5358","φιλάγαθος","filagathos","lover of good","ok"
"G0020","G0021","ἀγαλλιάω","agalliaō","to rejoice","ok"
"G0021","G0020","ἀγαλλίασις","agalliasis","joy","ok"
"G0021","G0242","ἅλλομαι","hallomai","to spring","ok"
"G0023","G0024","ἀγανάκτησις","aganaktēsis","indignation","ok"
"G0023","G0043","ἀγκάλη","ankalē","arm","ok"
"G0024","G0023","ἀγανακτέω","aganakteō","be indignant","ok"
"G0025","G0026","ἀγάπη","agapē","love","ok"
"G0025","G0027","ἀγαπητός","agapētos","beloved","ok"
"G0026","G0025","ἀγαπάω","agapaō","to love","ok"
"G0026","G0026","ἀγάπη","agapē","love","ok"
"G0026","G0027","ἀγαπητός","agapētos","beloved","ok"
"G0027","G0025","ἀγαπάω","agapaō","to love","ok"
"G0027","G0026","ἀγάπη","agapē","love","ok"
"G0027","G0027","ἀγαπητός","agapētos","beloved","ok"
"G0036","G1085G","γένος","genos","family: descendant","ok"
"G0036","G1085H","γένος","genos","family: kind","ok"
"G0037","G0038","ἁγιασμός","hagiasmos","holiness","ok"
"G0037","G0040G","ἅγιος","hagios","holy","ok"
"G0037","G0040H","ἅγιος","hagios","holy: saint","ok"
"G0038","G0037","ἁγιάζω","hagiazō","to sanctify","ok"
"G0038","G0040G","ἅγιος","hagios","holy","ok"
"G0038","G0040H","ἅγιος","hagios","holy: saint","ok"
"G0039G","G0039G","ἅγιον","hagion","Holy Place","ok"
"G0039G","G0039H","ἅγιον","hagion","Most Holy Place","ok"
"G0039G","H6944G","קֹ֫דֶשׁ","qo.desh","holiness","ok"
"G0039G","H6944H","קֹ֫דֶשׁ","qo.desh","Most Holy Place","ok"
"G0039G","H6944I","קֹ֫דֶשׁ","qo.desh","[Way of] Holiness","ok"
"G0039G","H6944J","קֹ֫דֶשׁ","qo.desh","Holy Place","ok"
"G0039H","G0039G","ἅγιον","hagion","Holy Place","ok"
"G0039H","G0039H","ἅγιον","hagion","Most Holy Place","ok"
"G0039H","H6944G","קֹ֫דֶשׁ","qo.desh","holiness","ok"
"G0039H","H6944H","קֹ֫דֶשׁ","qo.desh","Most Holy Place","ok"
"G0039H","H6944I","קֹ֫דֶשׁ","qo.desh","[Way of] Holiness","ok"
"G0039H","H6944J","קֹ֫דֶשׁ","qo.desh","Holy Place","ok"
"G0040G","G0037","ἁγιάζω","hagiazō","to sanctify","ok"
"G0040G","G0039G","ἅγιον","hagion","Holy Place","ok"
"G0040G","G0039H","ἅγιον","hagion","Most Holy Place","ok"
"G0040G","G0040G","ἅγιος","hagios","holy","ok"
"G0040G","G0040H","ἅγιος","hagios","holy: saint","ok"
"G0040G","G0041","ἁγιότης","hagiotēs","holiness","ok"
"G0040G","G0042","ἁγιωσύνη","hagiōsunē","holiness","ok"
"G0040H","G0037","ἁγιάζω","hagiazō","to sanctify","ok"
"G0040H","G0039G","ἅγιον","hagion","Holy Place","ok"
"G0040H","G0039H","ἅγιον","hagion","Most Holy Place","ok"
"G0040H","G0040G","ἅγιος","hagios","holy","ok"
"G0040H","G0040H","ἅγιος","hagios","holy: saint","ok"
"G0040H","G0041","ἁγιότης","hagiotēs","holiness","ok"
"G0040H","G0042","ἁγιωσύνη","hagiōsunē","holiness","ok"
"G0041","G0039G","ἅγιον","hagion","Holy Place","ok"
"G0041","G0039H","ἅγιον","hagion","Most Holy Place","ok"
"G0041","G0040G","ἅγιος","hagios","holy","ok"
"G0041","G0040H","ἅγιος","hagios","holy: saint","ok"
"G0042","G0040G","ἅγιος","hagios","holy","ok"
"G0042","G0040H","ἅγιος","hagios","holy: saint","ok"
"G0047","G0048","ἁγνίζω","hagnizō","to purify","ok"
"G0047","G0049","ἁγνισμός","hagnismos","purification","ok"
"G0047","G0053","ἁγνός","hagnos","pure","ok"
"G0047","G0054","ἁγνότης","hagnotēs","purity","ok"
"G0047","G0055","ἁγνῶς","hagnōs","purely","ok"
"G0048","G0047","ἁγνεία","hagneia","purity","ok"
"G0048","G0049","ἁγνισμός","hagnismos","purification","ok"
"G0048","G0053","ἁγνός","hagnos","pure","ok"
"G0048","G0054","ἁγνότης","hagnotēs","purity","ok"
"G0048","G0055","ἁγνῶς","hagnōs","purely","ok"
"G0050","G0051","ἀγνόημα","agnoēma","error","ok"
"G0050","G0052","ἄγνοια","agnoia","ignorance","ok"
"G0050","G0056","ἀγνωσία","agnōsia","ignorance","ok"
"G0050","G0057","ἄγνωστος","agnōstos","unknown","ok"
"G0050","G0314","ἀναγινώσκω","anaginōskō","to read","ok"
"G0050","G0319","ἀναγνωρίζω","anagnōrizō","to recognize","ok"
"G0050","G1097","γινώσκω","ginōskō","to know","ok"
"G0050","G1106","γνώμη","gnōmē","resolution","ok"
"G0050","G1107","γνωρίζω","gnōrizō","to make known","ok"
"G0050","G1108","γνῶσις","gnōsis","knowledge","ok"
"G0050","G1109","γνώστης","gnōstēs","expert in","ok"
"G0050","G1110","γνωστός, γνώριμος","gnōstos gnōrimos","acquainted with","ok"
"G0050","G1231","διαγινώσκω","diaginōskō","to decide","ok"
"G0050","G1232","διαγνωρίζω","diagnōrizō","to report","ok"
"G0050","G1492H","εἴδω","eidō","to perceive: see","ok"
"G0050","G1492I","εἴδω","eidō","to perceive: know","ok"
"G0050","G1921","ἐπιγινώσκω","epiginōskō","to come to know","ok"
"G0050","G1922","ἐπίγνωσις","epignōsis","knowledge","ok"
"G0050","G2589","καρδιογνώστης","kardiognōstēs","heart-knower","ok"
"G0050","G3539","νοέω","noeō","to understand","ok"
"G0050","G4267","προγινώσκω","proginōskō","to know/choose","ok"
"G0050","G4268","πρόγνωσις","prognōsis","foreknowledge","ok"
"G0050","G4275","προεῖδον","proeidon","to foresee","ok"
"G0050","G4774","συγγνώμη","sungnōmē","concession","ok"
"G0050","G4894","συνείδω","suneidō","be aware","ok"
"G0051","G0050","ἀγνοέω","agnoeō","be ignorant","ok"
"G0053","G0040G","ἅγιος","hagios","holy","ok"
