strongNumber,stepGloss,stepTransliteration,language,count,type
H0828,Ashpenaz,ash.pe.naz,Hebrew,1,proper_noun
H0894,Babylon,ba.vel ba.vel,Hebrew,262,proper_noun
H1095,Belteshazzar,be.le.te.shats.tsar,Hebrew,2,proper_noun
H1840G,Daniel,da.niy.yel da.ni.el,Hebrew,32,proper_noun
H2608T,Hananiah,cha.nan.ya.hu,Hebrew,4,proper_noun
H3063G,Judah,ye.hu.dah,Hebrew,810,proper_noun
H3079,Jehoiakim,ye.ho.ya.qim,Hebrew,37,proper_noun
H3389,Jerusalem,ye.ru.sha.laim ye.rush.lem,Hebrew,644,proper_noun
H3478,Israel,yis.ra.el,Hebrew,2514,proper_noun
H3778,Chaldea,kas.dim,Hebrew,86,proper_noun
H4332I,Mishael,mi.sha.el,Hebrew,4,proper_noun
H4335,Meshach,me.shakh,Hebrew,1,proper_noun
H5019,Nebuchadnezzar,ne.vu.khad.rets.tsar ne.vu.khad.nets.tsar,Hebrew,60,proper_noun
H5664,Abednego,a.ved ne.go,Hebrew,2,proper_noun
H5838Z,Azariah,a.zar.yah,Hebrew,4,proper_noun
H7714,Shadrach,shad.rakh,Hebrew,1,proper_noun
H8152,Shinar,shin.ar,Hebrew,8,proper_noun
H3566,Cyrus,ko.resh,Hebrew,15,proper_noun
H0746B,Arioch,a.r.yokh,Hebrew,5,proper_noun
H0762,Aramaic,a.ra.mit,Hebrew,5,proper_noun
H0895,Babylon,ba.vel ba.vel,Hebrew,25,proper_noun
H1841H,Daniel,da.niy.yel da.ni.el,Hebrew,55,proper_noun
H3779,Chaldean,kas.day,Hebrew,23,proper_noun
H1096,Belteshazzar,be.le.te.shats.tsar,Hebrew,8,proper_noun
H2608B,Hananiah,cha.nan.yah,Hebrew,1,proper_noun
H3061,Judah,ye.hud,Hebrew,7,proper_noun
H4333,Mishael,mi.sha.el,Hebrew,1,proper_noun
H5020,Nebuchadnezzar,ne.vu.khad.rets.tsar ne.vu.khad.nets.tsar,Hebrew,37,proper_noun
H5839,Azariah,a.zar.yah,Hebrew,1,proper_noun
H1757,Dura,du.ra,Hebrew,1,proper_noun
H4336,Meshach,me.shakh,Hebrew,14,proper_noun
H5665,Abednego,a.ved ne.go,Hebrew,28,proper_noun
H7715,Shadrach,shad.rakh,Hebrew,14,proper_noun
H1113,Belshazzar,be.le.shats.tsar be.le.shats.tsar,Hebrew,7,proper_noun
H3390,Jerusalem,ye.ru.sha.laim ye.rush.lem,Hebrew,26,proper_noun
H4076G,Mede,ma.day,Hebrew,7,proper_noun
H6540,Persia,pa.ras,Hebrew,6,proper_noun
H1868H,Darius,da.re.ya.vesh,Hebrew,6,proper_noun
H0195,Ulai,u.lay,Hebrew,2,proper_noun
H1112,Belshazzar,be.le.shats.tsar be.le.shats.tsar,Hebrew,1,proper_noun
H1403,Gabriel,gav.ri.el,Hebrew,2,proper_noun
H3120H,Greece,ya.van,Hebrew,7,proper_noun
H4074H,Media,ma.day,Hebrew,7,proper_noun
H5867A,Elam,e.lam,Hebrew,18,proper_noun
H6539,Persia,pa.ras,Hebrew,28,proper_noun
H7800,Susa,shu.shan,Hebrew,21,proper_noun
H0325,Ahasuerus,a.chash.ve.rosh,Hebrew,34,proper_noun
H1867I,Darius,da.re.ya.vesh,Hebrew,2,proper_noun
H3414L,Jeremiah,yir.me.ya.hu,Hebrew,135,proper_noun
H4074I,Mede,ma.day,Hebrew,7,proper_noun
H4714G,Egypt,mits.ra.yim,Hebrew,633,proper_noun
H4872,Moses,mo.sheh,Hebrew,766,proper_noun
H0210,Uphaz,u.phaz,Hebrew,2,proper_noun
H2313,Tigris,chid.de.qel,Hebrew,2,proper_noun
H4317Q,Michael,mi.kha.el,Hebrew,3,proper_noun
H0123G,Edom,e.dom,Hebrew,93,proper_noun
H3569G,Cushite,ku.shi,Hebrew,25,proper_noun
H3794H,Cyprus,kit.ti,Hebrew,12,proper_noun
H3864,Libya,luv,Hebrew,4,proper_noun
H4075,Mede,ma.da.ah,Hebrew,1,proper_noun
H4124G,Moab,mo.av,Hebrew,167,proper_noun
H5983,Ammon,am.mon,Hebrew,106,proper_noun
H0573,Amittai,a.mit.tay,Hebrew,2,proper_noun
