"strong","step_total_verses","local_verse_count","gap","status"
"H3068G","5521","5457","64","ok"
"H0935G","1753","1691","62","ok"
"G3778","1114","1068","46","ok"
"G1909","746","714","32","ok"
"G1537","719","694","25","ok"
"H1980G","832","809","23","ok"
"G0575","566","544","22","ok"
"H3627","276","255","21","ok"
"H0376G","916","895","21","ok"
"G3756","1383","1366","17","ok"
"H1486","67","54","13","ok"
"H0227A","114","108","6","ok"
"H0727","174","168","6","ok"
"H2416A","220","214","6","ok"
"G0906H","35","30","5","ok"
"G3844","171","166","5","ok"
"H0389","157","152","5","ok"
"H2822","77","72","5","ok"
"H5048","143","138","5","ok"
"H6258","422","417","5","ok"
"H2005","310","306","4","ok"
"H7925","64","60","4","ok"
"G0968","12","9","3","ok"
"H4904","44","41","3","ok"
"H2007","28","25","3","ok"
"H4186","43","40","3","ok"
"H7257","30","27","3","ok"
"G4624","27","25","2","ok"
"G0991","116","114","2","ok"
"G5093","13","11","2","ok"
"H0561","47","45","2","ok"
"H8597","50","48","2","ok"
"H0120G","508","506","2","ok"
"H3245","42","40","2","ok"
"H7225H","10","8","2","ok"
"H7789","15","13","2","ok"
"H1353","13","12","1","ok"
"H0653","10","9","1","ok"
"H8478H","170","169","1","ok"
"H0629","7","6","1","ok"
"H4103","12","11","1","ok"
"G4411","5","4","1","ok"
"H0652","8","7","1","ok"
"H1121I","46","45","1","ok"
"H2648","9","8","1","ok"
"G0091","23","22","1","ok"
"G0302","135","134","1","ok"
"G1378","5","4","1","ok"
"G2722","17","16","1","ok"
"G4152","21","20","1","ok"
"G5177","12","11","1","ok"
"H0587","115","114","1","ok"
"H1504","13","12","1","ok"
"H2000","14","13","1","ok"
"H2624","6","5","1","ok"
"H4022","7","6","1","ok"
"H4254","2","1","1","ok"
"H4399","149","148","1","ok"
"H6901","12","11","1","ok"
"H7136A","22","21","1","ok"
"H7535","107","106","1","ok"
"G5092","40","40","0","ok"
"G5091","16","16","0","ok"
"G0629","10","10","0","ok"
"H2598","7","7","0","ok"
"G1586","20","20","0","ok"
"G2657","14","14","0","ok"
"H2597","4","4","0","ok"
"H4723B","5","5","0","ok"
"H5512B","4","4","0","ok"
"G1777","8","8","0","ok"
"G2217","5","5","0","ok"
"G2573","36","36","0","ok"
"G5124","60","60","0","ok"
"G0820","4","4","0","ok"
"G2471","3","3","0","ok"
"G2621","12","12","0","ok"
"G2661","4","4","0","ok"
"G3085","3","3","0","ok"
