"strong","strong_variant","mounce_parsed","row_type"
"G0505","","sincere, genuine, without hypocrisy; of good character, lacking pretense and prideful show","description"
"G4942","","to join in one’s hypocrisy be hypocritical","description"
"G5272","","hypocrisy (an extension of an actor in a play, not found in the NT), implying arrogance and hardness of heart, utterly devoid of sincerity and genuineness","description"
"G2549","","evil, wickedness, depravity, malice; in some contexts an ""evil"" situation means a difficult and hard circumstance rather than a morally corrupt circumstance (Mt 6:34)","description"
"G2550","","malice","lookup"
"G4189","","evil, wickedness, malice, in the NT always a negative moral quality opposed to God and his goodness","description"
"G0111","","unlawful, detestable","lookup"
"G0946","","abomination, something detestable","lookup"
"G0947","","detestable, abominable","lookup"
"G0948","","(middle) to abhor, detest; (passive) to be vile, abhorrent","description"
"G6662","","abomination","lookup"
"G8238","","abomination","lookup"
"G0074","","anguish, anxiety","lookup"
"G0928","H",": anguish","lookup"
"G0928","H","to torture, torment; (passive) to be tortured, tormented, in pain","description"
"G3600","","to grieve, be anxious, in agony anguished","description"
"G5604","","labor, birth pain; agony (of death)","description"
"G2052","","selfish ambition, faction, strife","description"
"G5389","","to have an ambition, aspire to a goal","description"
"G2372","","wrath, fury, anger, rage, a state of intense displeasure based in some real or perceived wrong. ""The anger of God"" is due to moral offense and has a focus on righteous punishment","description"
"G2373","","(passive) to become angry anger","description"
"G3709","","wrath, anger, the feeling and expression of strong displeasure and hostility; this can range from petty human anger to the righteous anger of God toward sinful disobedience","description"
"G3710","","(middle/passive) to be angry, enraged, to feel and express strong displeasure and hostility; this can range from petty human anger to the righteous anger of God toward sinful disobedience","description"
"G3947","","(intr.) to be greatly distressed; to be angered, irritated provoke","description"
"G3949","","to anger, exasperate","lookup"
"G3950","","anger","lookup"
"G7026","","an object of anger","description"
"G8318","","vehement anger","lookup"
"G2347","","trouble, distress, oppression, tribulation pressure","description"
"G3601","","anguish, grief, pain","lookup"
"G4192","","pain, agony; hard work, toil travail","description"
"G4730","","distress, hardship, difficulty","lookup"
"G4928","","anguish, distress","lookup"
"G0218","","to pour on, anoint (usually with olive oil)","description"
"G1472","","to put on, rub on, anoint","description"
"G2025","","to put on, anoint on, spread on","description"
"G3462","","to pour perfume, anoint","description"
"G5545","","anointing","lookup"
"G5547","","Christ, Anointed One, Messiah, the Greek translation of the H5431 (cf. Greek G3549). The Messiah is the Son of David, an anointed leader expected to bring in an age of peace and liberty from all oppression. In the NT, the Messiah is Jesus, who came first to bring liberty from sin and peace with God and who will come again to bring all things under his control","description"
"G5548","","to anoint (physically, with oil; spiritually, with the Holy Spirit), to assign a person to a special task, implying a giving of power by God to accomplish the task","description"
"G6221","","an anointing","lookup"
"G8202","","to anoint; fatten","lookup"
"G0253","","free from anxiety; in the comparative, less anxiety","description"
"G0275","","free from concern, free from care","description"
"G3308","","worry, concern, anxiety","lookup"
"G4329","","anticipation, expectation; apprehension","lookup"
"G0776","","going without food","lookup"
