id,book,anchor_verse_id,start_chapter,start_verse,end_chapter,end_verse,ref,verse_count,rule,source,needs_review,created_at,deleted,book_label,verse_span_meaning_path,verse_span_meaning_written_at,debate_path,debate_written_at,debate_status,phenomena_complete_at,open_decisions_note,story_summary,feasibility_note
37467,Dan,20206,1,1,1,21,Dan 1:1-21,21,input-scope,passage-build,0,2026-08-07T16:40:50Z,0,,,,iba\app\verse-analysis\Daniel\dan-1-debate-report-v1-20260808.md,2026-08-08T07:12:18Z,complete,2026-08-07T16:47:54Z,"Dan 1 debate complete under the rebuilt (2026-08-07) lexical: 8 HIBs retained (Daniel, Nebuchadnezzar, Ashpenaz, the youths, Hananiah, Mishael, Azariah, Melzar), 3 pruned at phenomenon.set/hib-still-warranted (Jehoiakim, King Cyrus, the king's magicians and enchanters -- no inner-being content anywhere in the passage); 80 phenomena (19 stated/inferred, 61 silent), 80 operations, 3 cross-HIB linkages, 1 insufficiency (Babylonian/court name etymologies absent from the base extract), 3 emergent questions (1 interpretive fork on 1:17b's sourcing, 1 literary/structural observation on the resolve->risk->proof->recognition pattern, 1 cross-chapter fork on Nebuchadnezzar's own devotional trajectory), 1 validation correction (Ashpenaz/1:9's outcome-vs-interior sourcing). Next: Dan 1 is now debate-complete and can be included in the next book-level report render; the three emergent questions should be weighed again once further chapters (esp. Dan 2-4's own Nebuchadnezzar material) are debated, per emergent-questions-log's own instruction not to settle interpretive forks in the abstract.","Daniel's own arc is the spine: Nebuchadnezzar of Babylon besieges Jerusalem in Jehoiakim's third year and carries off temple vessels (1:1-2). Daniel, with Hananiah, Mishael and Azariah, is among the youths of Israel's royal/noble line selected for the king's three-year training, placed under Ashpenaz's charge (1:3-5). Daniel resolves not to defile himself with the king's food and wine and asks Ashpenaz's leave; Ashpenaz, though God has given him favor toward Daniel, fears the king's wrath if the four look worse than the rest (1:8-10). Daniel proposes a ten-day vegetables-and-water test to the steward Melzar on behalf of all four; at its end they appear better and fatter than the food-eating youths, and Melzar continues the diet (1:11-16). God grants all four learning and skill, and Daniel additionally understanding in visions and dreams (1:17). At the training's close, Nebuchadnezzar examines them and finds them ten times better than all the magicians and enchanters of his kingdom (1:18-20). Daniel remains in the king's service until Cyrus's first year (1:21).","Single continuous narrative unit, one setting (the Babylonian court) and a stable, substantially-overlapping cast (Daniel's group of four, Ashpenaz, Melzar, Nebuchadnezzar) running end to end -- no natural sub-chapter break, matching the same whole-chapter judgement already made for Dan 8."
37468,Dan,16971,2,1,2,49,Dan 2:1-49,48,input-scope,passage-build,0,2026-08-08T07:18:19Z,0,,,,,,,,,"Nebuchadnezzar, in his second regnal year, has troubling dreams and summons the Chaldean wise men to tell him both the dream and its interpretation, refusing to divulge the dream itself and threatening death for failure, reward for success (2:1-9). The wise men protest the demand is impossible for any man, which angers the king into a decree that all Babylon's wise men -- Daniel and his three companions among them -- be killed (2:10-13). Daniel, learning of the decree from Arioch the king's captain, secures time from the king and gathers Hananiah, Mishael and Azariah to seek mercy from the God of heaven concerning the mystery, so that they not perish with the rest of the wise men (2:14-18). The mystery is revealed to Daniel in a night vision; he blesses God as the giver of wisdom and might and revealer of deep and hidden things before going to Arioch to be brought before the king (2:19-25). Before Nebuchadnezzar, Daniel disclaims any wisdom of his own -- it is the God of heaven who reveals mysteries and has shown the king what will be in the latter days (2:26-30). He then recounts the dream itself: a great image of gold, silver, bronze, and iron-and-clay, struck by a stone cut without human hands that becomes a mountain filling the whole earth (2:31-35), and interprets it as a succession of four kingdoms -- of which Nebuchadnezzar himself is the head of gold -- ending in a divided, part-strong part-brittle fourth kingdom, itself broken in pieces by a kingdom the God of heaven will set up that shall never be destroyed (2:36-45). Nebuchadnezzar falls on his face before Daniel, pays homage, confesses Daniel's God as God of gods and Lord of kings, and gives Daniel high honors, rule over the whole province of Babylon, and chief authority over its wise men; Daniel in turn secures posts over the province's affairs for his three companions while himself remaining at the king's court (2:46-49).","Single continuous narrative unit -- one initiating crisis (the king's demand and the wise men's failure) resolved end to end through one substantially-overlapping cast (Daniel and his three companions, Nebuchadnezzar, Arioch, the wise men of Babylon) without any change of setting; the three scenes (royal court, Daniel's house, royal court again) are stages of one unbroken cause-and-effect sequence, not separable episodes -- no natural sub-chapter break, matching the same whole-chapter judgement already made for Dan 1 and Dan 8."
37414,Dan,22339,3,1,3,7,Dan 3:1-7,7,,,,2026-07-27T05:46:42Z,0,Daniel,iba\app\verse-analysis\Daniel\dan-3-1-7-verse-span-meaning.md,2026-07-27T05:46:42Z,iba\app\verse-analysis\Daniel\WA-dan-3-1-7-debate-v1.1-2026-07-27.md,2026-07-28T02:45:27Z,filled,,,,
37420,Dan,27068,3,8,3,29,Dan 3:8-29,21,,,,2026-07-27T07:15:22Z,0,Daniel,iba\app\verse-analysis\Daniel\dan-3-8-30-verse-span-meaning.md,2026-07-27T07:15:22Z,iba\app\verse-analysis\Daniel\WA-dan-3-8-30-debate-v1.1-2026-07-27.md,2026-07-28T02:45:27Z,filled,,,,
37421,Dan,25974,4,1,4,37,Dan 4:1-37,34,,,,2026-07-27T09:53:37Z,0,Daniel,iba\app\verse-analysis\Daniel\dan-4-1-37-verse-span-meaning.md,2026-07-27T09:53:37Z,iba\app\verse-analysis\Daniel\WA-dan-4-1-37-debate.md,2026-07-27T10:04:41Z,filled,,,,
37422,Dan,12343,5,2,5,29,Dan 5:2-29,25,,,,2026-07-27T10:27:55Z,0,Daniel,iba\app\verse-analysis\Daniel\dan-5-1-30-verse-span-meaning.md,2026-07-27T10:27:55Z,iba\app\verse-analysis\Daniel\WA-dan-5-1-30-debate.md,2026-07-27T10:53:50Z,filled,,,,
37423,Dan,22344,6,1,6,27,Dan 6:1-27,26,,,,2026-07-27T11:44:21Z,0,Daniel,iba\app\verse-analysis\Daniel\dan-6-1-28-verse-span-meaning.md,2026-07-27T11:44:21Z,iba\app\verse-analysis\Daniel\WA-dan-6-1-28-debate.md,2026-07-27T11:51:09Z,filled,,,,
37424,Dan,12355,7,1,7,28,Dan 7:1-28,26,,,,2026-07-27T15:18:09Z,0,Daniel,iba\app\verse-analysis\Daniel\dan-7-1-28-verse-span-meaning.md,2026-07-27T15:18:09Z,iba\app\verse-analysis\Daniel\WA-dan-7-1-28-debate.md,2026-07-27T15:24:48Z,filled,,,,
37465,Dan,20075,8,1,8,27,Dan 8:1-27,27,input-scope,passage-build,0,2026-08-06T16:18:19Z,0,,,,iba\app\verse-analysis\Daniel\dan-8-debate-report-20260806-v2.md,2026-08-08T06:33:43Z,complete,2026-08-08T05:09:33Z,,"Daniel, in the third year of Belshazzar, sees a second vision (after Dan 7). Two human kingdoms are depicted symbolically throughout: the kings of Media and Persia as a two-horned ram, overtaken and shattered by the king of Greece depicted as a swift goat whose great horn (the first king) breaks at the height of its power, giving way to four successor kingdoms (four horns) and, from one of these, a bold-faced latter-day king (the little horn) who exalts himself against heaven's own host, halts the regular offering, overthrows the sanctuary for a stated period, destroys mighty men and the people who are the saints, and is finally broken by no human hand. Daniel, seeking to understand what he has seen, is approached, addressed, and physically overcome and revived by a non-human messenger during the interpretation (vv15-19, 26), which resolves the ram, goat, and horns to their human referents by name (vv20-23) and gives the bold-faced king's own interior explicitly: cunning, deceit prospering, and self-exaltation in his own mind (v25). Daniel is told to seal the vision and is left overcome, sick, and admittedly still not understanding it, even after the interpretation.","Read as a single scope, not sub-divided, for the same structural reason as the first attempt: the chapter is one unbroken unit by its own construction (one continuous vision-report, vv1-14, followed by one continuous interpretive dialogue keyed back to the same vision, vv15-27). Each human HIB this corrected register identifies (the kings of Media/Persia, the king of Greece, the first king, the four kingdoms, the bold-faced king) spans BOTH its symbolic vision-appearance and its named interpretation -- splitting the chapter anywhere would sever that same referent's own register entries from the resolution that identifies who it actually is, which is load-bearing content, not decoration. No quality loss identified in holding the whole chapter as one scope."
37426,Dan,27046,9,1,9,27,Dan 9:1-27,27,,,,2026-07-27T16:17:02Z,0,Daniel,iba\app\verse-analysis\Daniel\dan-9-1-27-verse-span-meaning.md,2026-07-27T16:17:02Z,iba\app\verse-analysis\Daniel\WA-dan-9-1-27-debate.md,2026-07-27T16:26:16Z,filled,,,,
