"strong","word","occurrence_count","ib_relevance"
"H3068G","lord","6336","Not relevant"
"H3478","israel","2408","Not relevant"
"H0430G","god","2323","Not relevant"
"H4428G","king","1908","Not relevant"
"H0776G","land","1527","Not relevant"
"H1121A","son","1477","Not relevant"
"G3756","not","1164","Not relevant"
"H1732","david","989","Not relevant"
"G2424G","jesus","885","Not relevant"
"H3063G","judah","769","Not relevant"
"H4872","moses","748","Not relevant"
"H1121G","people","742","Not relevant"
"G3956","all","734","Not relevant"
"H1121A","sons","636","Not relevant"
"H3389","jerusalem","625","Not relevant"
"G3778","this","618","Not relevant"
"H0376G","man","617","Not relevant"
"G2962G","lord","603","Not relevant"
"H1004B","house","602","Not relevant"
"H0776G","earth","577","Not relevant"
"G5213","you","575","Not relevant"
"H4714G","egypt","558","Not relevant"
"G3754G","that","540","Not relevant"
"H0001G","father","533","Not relevant"
"H0935G","came","516","Not relevant"
"H0935G","come","512","Not relevant"
"H1004M","house","495","Not relevant"
"G3450","my","480","Not relevant"
"H3541","thus","457","Not relevant"
"H8141","years","445","Not relevant"
"G4314","to","442","Not relevant"
"H0136","lord","434","Not relevant"
"H0001G","fathers","421","Not relevant"
"H1980G","go","420","Not relevant"
"H0582","men","415","Not relevant"
"H3548","priest","408","Not relevant"
"G0575","from","392","Not relevant"
"G5209","you","391","Not relevant"
"H2719","sword","379","Not relevant"
"G4675","your","370","Not relevant"
"H1004Q","house","365","Not relevant"
"H7586G","saul","357","Not relevant"
"H6258","now","350","Not relevant"
"H0120G","man","342","Not relevant"
"G3962","father","338","Not relevant"
"H4325G","water","338","Not relevant"
"H4196","altar","337","Not relevant"
"H4725","place","337","Not relevant"
"G1537","from","334","Not relevant"
"H0784","fire","333","Not relevant"
"G5216","your","319","Not relevant"
"H3290","jacob","318","Not relevant"
"G3326","with","309","Not relevant"
"H2091","gold","307","Not relevant"
"H0175","aaron","303","Not relevant"
"H3069","god","302","Not relevant"
"G5207","son","296","Not relevant"
"H8141","year","296","Not relevant"
"G1909","on","293","Not relevant"
"H1980G","went","286","Not relevant"
"H3548","priests","284","Not relevant"
"G2257","our","280","Not relevant"
"G1487G","if","277","Not relevant"
"G0444","man","276","Not relevant"
"H3220G","sea","270","Not relevant"
"G1473","i","268","Not relevant"
"G1537","of","266","Not relevant"
"H0802H","wife","265","Not relevant"
"H0168G","tent","263","Not relevant"
"H8010","solomon","263","Not relevant"
"G2228","or","259","Not relevant"
"H4428G","kings","259","Not relevant"
"H2005","behold","252","Not relevant"
"H3701G","silver","249","Not relevant"
"H7651","seven","247","Not relevant"
"H0894","babylon","243","Not relevant"
"H1323G","daughter","241","Not relevant"
"H7969","three","234","Not relevant"
"H6430G","philistines","233","Not relevant"
"H1121A","children","232","Not relevant"
"G3772","heaven","223","Could impact IB"
"H4057B","wilderness","223","Not relevant"
"G3754H","for","221","Not relevant"
"G5613","as","220","Not relevant"
"H8179G","gate","220","Not relevant"
"H1323G","daughters","219","Not relevant"
"H4428G","king’s","219","Not relevant"
"G3101","disciples","213","Could impact IB"
"G5216","you","213","Not relevant"
"H0935P","brought","213","Not relevant"
"H3881","levites","212","Not relevant"
"H8064","heaven","212","Could impact IB"
"H6256","time","211","Not relevant"
"H0113","lord","210","Not relevant"
"G1437","if","206","Not relevant"
"G2064","come","204","Not relevant"
"H0430J","gods","203","Not relevant"
"G5210","you","202","Not relevant"
"H0935P","bring","202","Not relevant"
"H1242","morning","201","Not relevant"
"H3899H","bread","200","Not relevant"
"G2250","day","195","Not relevant"
"G3427","me","195","Not relevant"
"H3091G","joshua","195","Not relevant"
"G4671","you","194","Not relevant"
"H0376G","men","193","Not relevant"
"H0341","enemies","192","Could impact IB"
"H2320G","month","192","Could impact IB"
"H0802G","woman","191","Not relevant"
"H7704G","field","188","Not relevant"
"G3551","law","187","Could impact IB"
"G3756","no","187","Not relevant"
"H0727","ark","187","Could impact IB"
"H4325G","waters","186","Not relevant"
"H0520A","cubits","185","Not relevant"
"H3915","night","183","Not relevant"
"G2889","world","178","Could impact IB"
"H8064","heavens","178","Could impact IB"
"G3165","me","177","Not relevant"
"G4571","you","177","Not relevant"
"G2064","came","176","Not relevant"
"G3778","these","173","Not relevant"
"H3130G","joseph","171","Not relevant"
"H0251G","brother","170","Not relevant"
"H3383","jordan","170","Not relevant"
"H8478G","under","169","Not relevant"
"H5930A","burnt offering","165","Could impact IB"
"G0611","answered","162","Could impact IB"
"G1093G","earth","159","Not relevant"
"G2453","jews","157","Could impact IB"
"H8432","midst","156","Could impact IB"
"H5159","inheritance","154","Could impact IB"
"H4264","camp","151","Could impact IB"
"H0085","abraham","150","Not relevant"
"H6726","zion","150","Not relevant"
"H0251G","brothers","147","Not relevant"
"H1129","built","147","Not relevant"
"H4124G","moab","147","Not relevant"
"G2254","us","145","Not relevant"
"G4074G","peter","145","Not relevant"
"H0669G","ephraim","145","Not relevant"
"G3754H","because","144","Not relevant"
"G3972G","paul","144","Not relevant"
"G3778","things","141","Not relevant"
"H1121L","old","141","Not relevant"
"G3767","so","139","Not relevant"
"H4150I","meeting","138","Could impact IB"
"H0517","mother","137","Not relevant"
"H4430","king","137","Not relevant"
"H7272","feet","136","Could impact IB"
"G2250","days","135","Not relevant"
"G5119","then","134","Not relevant"
"H0376I","one","134","Not relevant"
"H2568","five","134","Not relevant"
"H8050G","samuel","133","Not relevant"
"G2531","as","132","Not relevant"
"H2233H","offspring","132","Could impact IB"
"H3414L","jeremiah","132","Not relevant"
"H0702","four","131","Not relevant"
"H2022G","mountains","131","Not relevant"
"G2248","us","130","Not relevant"
"G2400","behold","130","Not relevant"
"H0376I","man","130","Not relevant"
"G2222","life","129","Could impact IB"
"G3956","every","129","Could impact IB"
"H2022G","mountain","129","Not relevant"
"H8354","drink","129","Not relevant"
"H1121G","sons","128","Not relevant"
"H3097G","joab","128","Not relevant"
"H4421","battle","127","Could impact IB"
"H4503G","grain offering","127","Could impact IB"
"G2992","people","126","Not relevant"
"H4421","war","126","Could impact IB"
"G4413G","first","125","Not relevant"
"G4983","body","125","Could impact IB"
"H0804G","assyria","124","Not relevant"
"H0068G","stones","123","Not relevant"
"H3196","wine","123","Not relevant"
"H5612H","book","123","Could impact IB"
"H5712","congregation","123","Could impact IB"
"H1980I","walk","122","Not relevant"
"H3789","written","122","Could impact IB"
"G1417","two","121","Not relevant"
