"strong","strong_variant","sort","sense_code","gloss","verse_refs","note","row_type"
"G0014","","0","","to do good, confer benefits","Act.14.17; 1Ti.6.18","*","description"
"G0015","","0","","to do good, to do right","","","description"
"G0015","","1","","do well; to do what is morally correct","1Pe.2.15, 20","( )","description"
"G0016","","0","","doing good","","","lookup"
"G0016","","1","","well-doing","1Pe.4.19","*","lookup"
"G0017","","0","","one who does good, right","","","description"
"G0017","","1","","doing good","","or","lookup"
"G0017","","1","","right;","","substantive","lookup"
"G0017","","1","","a well-doer","1Pe.2.14","*","lookup"
"G0018","","0","","goodness, good thing, one who does good","","","description"
"G0019","","0","","goodness, virtue, beneficence","Rom.15.14; Eph.5.9; 2Th.1.11","","lookup"
"G0019","","0","","generosity","Gal.5.22","*","lookup"
"G0020","","0","","delight, great joy","","","lookup"
"G0020","","1","","exultation, extreme joy","","","lookup"
"G0021","","0","","to be filled with delight, with great joy","","","description"
"G0021","","1","","to celebrate, praise;","","usually in the middle in the NT ( ἀγαλλιάομαι )","lookup"
"G0021","","1","","to exult, rejoice exceedingly; to fill with delight; to desire ardently","Jhn.8.56","","description"
"G0023","","0","","to be indignant","","","lookup"
"G0023","","1","","to be pained; to be angry, vexed; to manifest indignation","Mrk.14.4; Luk.13.14",";","description"
"G0024","","0","","indignation","2Co.7.11","*","lookup"
"G0025","","0","","to love; in the NT usually the active love of God for his Son and his people, and the active love his people are to have for God, each other, and even enemies","","","description"
"G0025","","1","","to love, value, esteem, feel or manifest generous concern for, be faithful towards; to delight in, to set store upon","Rev.12.11","","description"
"G0026","","0","","love, in the NT usually the active love of God for his Son and his people, and the active love his people are to have for God, each other, and even enemies; love feast, the common meal shared by Christians in connection with church meetings","","","description"
"G0026","","1","","love, generosity, kindly concern, devotedness;","","plural","description"
"G0026","","1","","love-feasts","","Jude 12","lookup"
"G0027","","0","","dearly loved one; the object of special affection and of special relationship, as with Jesus the beloved of the Father","","","description"
"G0027","","1","","beloved, dear; worthy of love","","","description"
"G0036","","0","","lowly, insignificant, implying low social standing","","","description"
"G0036","","1","","without kin","","literally , ; figuratively","lookup"
"G0036","","1","","base, low, insignificant","1Co.1.28","*","lookup"
"G0037","","0","","to sanctify, set apart, make holy; this can mean active dedication and service to God or the act of regarding or honoring as holy","","","description"
"G0037","","1","","to separate, consecrate; cleanse, purify; regard","","or","description"
"G0037","","1","","reverence as holy","","","lookup"
"G0038","","0","","holiness","","","lookup"
"G0038","","1","","sanctification, moral purity, sanctity","","","description"
"G0039","","0","","A location in Jerusalem first mentioned at Exo.26.33;","","","description"
"G0039","","1","","referred to as Holy_Place or Holy Place (קֹ֫דֶשׁ), or Holy Place (ἅγιον).","","","description"
"G0040","","0","","holy","","","lookup"
"G0040","","1","","holy, sacred, pure persons","","","description"
"G0041","","0","","holiness, a characteristic of God, shared by his people, requiring a lifestyle acceptable to God","","","description"
"G0041","","1","","sanctity","Heb.12.10","*","lookup"
"G0042","","0","","holiness, a characteristic of God, shared by his people, requiring a lifestyle acceptable to God","","","description"
"G0042","","1","","sanctification, sanctity","Rom.1.4; 2Co.7.1; 1Th.3.13","*","lookup"
"G0047","","0","","purity, in the sense of moral purity and proper sexual conduct","","","description"
"G0047","","1","","chastity","1Ti.4.12","5:2*","lookup"
"G0048","","0","","to purify, ceremonially cleanse","","","description"
"G0048","","1","","to purify morally, reform, to live like one under a vow of abstinence","","as the Nazarites","description"
"G0050","","0","","to be ignorant, not know, not understand","","","description"
"G0050","","1","","sin through ignorance","","","lookup"
"G0051","","0","","error, sin of ignorance, sin committed in ignorance","Heb.9.7","*","description"
"G0053","","0","","pure (in some contexts morally pure), innocent","","","description"
"G0053","","1","","chaste, modest, blameless","","","lookup"
"G0054","","0","","purity, life of purity","2Co.6.6","11:3*","description"
"G0055","","0","","- purely, i.e. honestly, with pure motives: .","Php.1.17","","description"
"G0055","","1","","purely, sincerely","","","lookup"
"G0056","","0","","ignorance, with a focus on talk or action that opposes God","1Co.15.34; 1Pe.2.15","*","description"
"G0060","","0","","marketplace, place where the courts meet","","","description"
"G0060","","1","","one who visits the forum; a lounger, one who idles away his time in public places, a low fellow","Act.17.5","","description"
"G0060","","1","","pertaining to the forum, judicial;","","ἀγόραιοι","description"
"G0060","","1","","court days","Act.19.38","*","lookup"
"G0069","","0","","to keep awake, keep alert","","","description"
"G0069","","1","","to be awake, watch; to be watchful, vigilant","","","description"
"G0073","","0","","struggle, fight, often an athletic contest","","","description"
"G0073","","1","","place of contest, race-course, stadium; a contest, strife, contention; peril, toil","","","description"
"G0074","","0","","contest, violent struggle; agony, anguish, anxiety","Luk.22.44","*","description"
"G0080","","0","","brother, fellow countryman, neighbor (often inclusive in gender); by extension a fellow believer in the family of faith; in the plural ""brothers"" regularly refers to men and women","","","description"
"G0080","","1","","a brother, near kinsman","","or","description"
"G0080","","1","","relative; one of the same nation","","or","description"
"G0080","","1","","nature; one of equal rank and dignity; an associate, a member of the Christian community","","","description"
"G0085","","0","","to be troubled, distressed","","","description"
"G0085","","1","","to be depressed","","or","lookup"
"G0085","","1","","dejected, full of anguish","","or","description"
"G0085","","1","","sorrow","Mat.26.37; Mrk.14.33; Php.2.26","; ; *","lookup"
"G0090","","0","","sincerity, integrity, incorruptibility, soundness, unspoilable","","","description"
"G0092","","0","","crime, unrighteous or unjust act","","","description"
"G0092","","1","","an act of injustice","Act.18.14; Rev.18.5","24:20; *","description"
"G0093","","0","","wickedness, evil, wrongdoing","","","lookup"
"G0093","","1","","injustice, wrong; iniquity, falsehood, deceitfulness","","","description"
"G0094","","0","","unjust judge, unrighteous","","","lookup"
"G0096","","0","","failing the test, rejected","","","description"
"G0096","","1","","unable to stand test, refuse, worthless","","","description"
"G0097","","0","","pure, uncontaminated or tainted","","","description"
"G0097","","1","","without deceit, sincere","1Pe.2.2","*","lookup"
"G0101","","0","","not to be able; to be impossible","Mat.17.20; Luk.1.37","; *","description"
"G0102","","0","","impossible, powerless","","","lookup"
"G0102","","1","","impotent, weak","","","lookup"
"G0103","","0","","to sing","Eph.5.19; Col.3.16; Rev.5.9","14:3; 15:3*","lookup"
"G0111","","0","","unlawful, criminal, wicked, detestable","Act.10.28; 1Pe.4.3","*","description"
"G0114","","0","","to reject, set aside","","","description"
"G0114","","1","","to displace; to abrogate, annul, violate, swerve from; reject, condemn","","primarily","description"
"G0120","","0","","to be discouraged, lose heart","Col.3.21","*","description"
"G0121","","0","","unpunished;","","metaphorically","lookup"
"G0121","","0","","innocent","Mat.27.4, 24","*","lookup"
"G0133","","0","","praise, speaking of the excellence of someone or something","","","description"
"G0133","","1","","praise","Heb.13.15","*","lookup"
"G0134","","0","","to praise; in the NT, speaking of the excellence of God","","","description"
"G0134","","1","","celebrate","","","lookup"
"G0136","","0","","praise","Mat.21.16; Luk.18.43","; *","lookup"
"G0139","","0","","a choice","","strictly, or","lookup"
"G0139","","0","","option;","","hence","lookup"
"G0139","","0","","a religious sect, faction;","","by implication","description"
"G0139","","0","","discord, contention, heresy","","","lookup"
"G0141","","0","","one who creates","","or","lookup"
"G0141","","0","","fosters factions, is divisive","Tit.3.10","*","description"
