id,strong,mounce_parsed,row_type,deleted
406011,G0505,"sincere, genuine, without hypocrisy; of good character, lacking pretense and prideful show",description,0
406012,G4942,to join in one’s hypocrisy be hypocritical,description,0
406013,G5272,"hypocrisy (an extension of an actor in a play, not found in the NT), implying arrogance and hardness of heart, utterly devoid of sincerity and genuineness",description,0
406014,G2549,"evil, wickedness, depravity, malice; in some contexts an ""evil"" situation means a difficult and hard circumstance rather than a morally corrupt circumstance (Mt 6:34)",description,0
406015,G2550,malice,lookup,0
406016,G4189,"evil, wickedness, malice, in the NT always a negative moral quality opposed to God and his goodness",description,0
406017,G0111,"unlawful, detestable",lookup,0
406018,G0946,"abomination, something detestable",lookup,0
406019,G0947,"detestable, abominable",lookup,0
406020,G0948,"(middle) to abhor, detest; (passive) to be vile, abhorrent",description,0
406021,G6662,abomination,lookup,0
406022,G8238,abomination,lookup,0
406023,G0074,"anguish, anxiety",lookup,0
406024,G0928H,: anguish,lookup,0
406025,G0928H,"to torture, torment; (passive) to be tortured, tormented, in pain",description,0
406026,G3600,"to grieve, be anxious, in agony anguished",description,0
406027,G5604,"labor, birth pain; agony (of death)",description,0
406028,G2052,"selfish ambition, faction, strife",description,0
406029,G5389,"to have an ambition, aspire to a goal",description,0
406030,G2372,"wrath, fury, anger, rage, a state of intense displeasure based in some real or perceived wrong. ""The anger of God"" is due to moral offense and has a focus on righteous punishment",description,0
406031,G2373,(passive) to become angry anger,description,0
406032,G3709,"wrath, anger, the feeling and expression of strong displeasure and hostility; this can range from petty human anger to the righteous anger of God toward sinful disobedience",description,0
406033,G3710,"(middle/passive) to be angry, enraged, to feel and express strong displeasure and hostility; this can range from petty human anger to the righteous anger of God toward sinful disobedience",description,0
406034,G3947,"(intr.) to be greatly distressed; to be angered, irritated provoke",description,0
406035,G3949,"to anger, exasperate",lookup,0
406036,G3950,anger,lookup,0
406037,G7026,an object of anger,description,0
406038,G8318,vehement anger,lookup,0
406039,G2347,"trouble, distress, oppression, tribulation pressure",description,0
406040,G3601,"anguish, grief, pain",lookup,0
