id,strong,related_strong,related_form,related_transliteration,related_gloss,deleted
48897,G0014,G0015,ἀγαθοποιέω,agathopoieō,to do good,0
48898,G0014,G0016,ἀγαθοποιΐα,agathopoiia,doing good,0
48899,G0014,G0017,ἀγαθοποιός,agathopoios,doing good,0
48900,G0014,G0018,ἀγαθός,agathos,good,0
48901,G0014,G0019,ἀγαθωσύνη,agathōsunē,goodness,0
48902,G0014,G0865,ἀφιλάγαθος,afilagathos,hating good,0
48903,G0014,G2041,ἔργον,ergon,work,0
48904,G0014,G5358,φιλάγαθος,filagathos,lover of good,0
48905,G0015,G0014,ἀγαθοεργέω,agathoergeō,to do good,0
48906,G0015,G0016,ἀγαθοποιΐα,agathopoiia,doing good,0
48907,G0015,G0017,ἀγαθοποιός,agathopoios,doing good,0
48908,G0015,G0018,ἀγαθός,agathos,good,0
48909,G0015,G0019,ἀγαθωσύνη,agathōsunē,goodness,0
48910,G0015,G0865,ἀφιλάγαθος,afilagathos,hating good,0
48911,G0015,G4160G,ποιέω,poieō,to do/make: do,0
48912,G0015,G4160H,ποιέω,poieō,to do/make: make,0
48913,G0015,G4160I,ποιέω,poieō,to do/make: appoint,0
48914,G0015,G4160J,ποιέω,poieō,to do/make: spend[time],0
48915,G0015,G5358,φιλάγαθος,filagathos,lover of good,0
48916,G0016,G0014,ἀγαθοεργέω,agathoergeō,to do good,0
48917,G0016,G0015,ἀγαθοποιέω,agathopoieō,to do good,0
48918,G0016,G0017,ἀγαθοποιός,agathopoios,doing good,0
48919,G0016,G0018,ἀγαθός,agathos,good,0
48920,G0016,G0019,ἀγαθωσύνη,agathōsunē,goodness,0
48921,G0016,G0865,ἀφιλάγαθος,afilagathos,hating good,0
48922,G0016,G4160G,ποιέω,poieō,to do/make: do,0
48923,G0016,G4160H,ποιέω,poieō,to do/make: make,0
48924,G0016,G4160I,ποιέω,poieō,to do/make: appoint,0
48925,G0016,G4160J,ποιέω,poieō,to do/make: spend[time],0
48926,G0016,G5358,φιλάγαθος,filagathos,lover of good,0
48927,G0017,G0014,ἀγαθοεργέω,agathoergeō,to do good,0
48928,G0017,G0015,ἀγαθοποιέω,agathopoieō,to do good,0
48929,G0017,G0016,ἀγαθοποιΐα,agathopoiia,doing good,0
48930,G0017,G0018,ἀγαθός,agathos,good,0
48931,G0017,G0019,ἀγαθωσύνη,agathōsunē,goodness,0
48932,G0017,G0865,ἀφιλάγαθος,afilagathos,hating good,0
48933,G0017,G4160G,ποιέω,poieō,to do/make: do,0
48934,G0017,G4160H,ποιέω,poieō,to do/make: make,0
48935,G0017,G4160I,ποιέω,poieō,to do/make: appoint,0
