"strong","word","source"
"G0090","chaste","lsj"
"G0090","imperishable","lsj"
"G0090","incorruptibility","meaning_tree"
"G0090","incorruptible","lsj"
"G0090","integrity","meaning_tree;mounce"
"G0090","not affected by decay","lsj"
"G0090","sincerity","meaning_tree;mounce"
"G0090","soundness","meaning_tree"
"G0090","uncorrupted","lsj"
"G0090","unspoilable","meaning_tree"
"G0149","awkward","lsj"
"G0149","base","lsj"
"G0149","base actions","lsj"
"G0149","causing shame","lsj"
"G0149","deformed","lsj;meaning_tree"
"G0149","disgrace","lsj"
"G0149","disgraceful","meaning_tree;mounce"
"G0149","dishonorable","meaning_tree"
"G0149","dishonour","lsj"
"G0149","dishonouring","lsj"
"G0149","ill-favoured","lsj"
"G0149","ill-suited","lsj"
"G0149","indecent","meaning_tree"
"G0149","reproachful","lsj"
"G0149","shameful","lsj;meaning_tree;mounce"
"G0149","shamefully","lsj"
"G0149","ugly","lsj"
"G0149","vice","lsj"
"G0149","vile","meaning_tree"
"G0149","with an ugly","lsj"
"G0158","an author","meaning_tree"
"G0158","basis","mounce"
"G0158","causative","meaning_tree"
"G0158","cause","lsj"
"G0158","causer","meaning_tree"
"G0158","culpable","lsj"
"G0158","mainly instrumental in causing","lsj"
"G0158","responsible","lsj"
"G0158","responsible for","lsj"
"G0158","source","mounce"
"G0158","the accused","lsj"
"G0158","the cause of","lsj"
"G0158","the culprit","lsj"
"G0158","the most guilty","lsj"
"G0158","they who have sinned against","lsj"
"G0158","to","lsj"
"G0168","ceremonially unclean","lsj"
"G0168","containing impurities","lsj"
"G0168","foul","lsj"
"G0168","impure","lsj"
"G0168","morally unclean","lsj"
"G0168","not fit for cleansing","lsj"
"G0168","not sifted","lsj"
"G0168","notpurgedaway","lsj"
"G0168","quae menstrua non habet","lsj"
"G0168","thou beast","lsj"
"G0168","uncleanness","meaning_tree;mounce"
"G0168","uncleansed","lsj"
"G0168","unpruned","lsj"
"G0168","unpurged","lsj"
"G0168","unpurified","lsj"
"G0445","to be proconsul","lsj;meaning_tree;mounce"
"G0566","abstain","lsj"
"G0566","abstain from","lsj"
"G0566","abstain from ravaging","lsj"
"G0566","as farfrom","lsj"
"G0566","avoid","meaning_tree;mounce"
"G0566","away","lsj"
"G0566","debars","lsj"
"G0566","desist from","lsj"
"G0566","differ from","lsj"
"G0566","extend","lsj"
"G0566","failing","lsj"
"G0566","far from","lsj"
"G0566","from","lsj"
"G0566","have","lsj"
"G0566","hinders","lsj"
"G0566","hold one's","lsj"
"G0566","hold oneself off","lsj"
"G0566","in full","lsj"
"G0566","is it from the thoughts of","lsj"
"G0566","is wanting","lsj"
"G0566","it is enough","lsj;meaning_tree"
"G0566","it sufficeth","lsj"
"G0566","keep away from","lsj"
"G0566","keep my hands off","lsj"
"G0566","keep off","lsj"
"G0566","keep off or away from","lsj"
"G0566","middle ) to abstain","meaning_tree"
"G0566","middle) to abstain","mounce"
"G0566","off or away from","lsj"
"G0566","pa","lsj"
"G0566","parts","lsj"
"G0566","project","lsj"
"G0566","prominent parts","lsj"
"G0566","receive","lsj"
"G0566","receive in full","lsj"
"G0566","refrain oneself","lsj"
"G0566","to abstain from","meaning_tree"
"G0566","to be as far","lsj"
"G0566","to be away","lsj"
"G0566","to be distant","meaning_tree;mounce"
"G0566","to be estranged","meaning_tree"
"G0566","to be far from","lsj"
"G0566","to be far remoued from","lsj"
"G0566","to have altogether","meaning_tree"
"G0566","were","lsj"
"G0567","abstain","lsj"
"G0567","abstain from","lsj"
"G0567","abstain from ravaging","lsj"
"G0567","as farfrom","lsj"
"G0567","away","lsj"
"G0567","debars","lsj"
"G0567","desist from","lsj"
"G0567","differ from","lsj"
"G0567","extend","lsj"
"G0567","failing","lsj"
"G0567","far from","lsj"
"G0567","from","lsj"
"G0567","have","lsj"
"G0567","hinders","lsj"
"G0567","hold one's","lsj"
"G0567","hold oneself off","lsj"
"G0567","in full","lsj"
"G0567","is it from the thoughts of","lsj"
"G0567","is wanting","lsj"
"G0567","it is enough","lsj"
"G0567","it sufficeth","lsj"
"G0567","keep away from","lsj;meaning_tree"
"G0567","keep my hands off","lsj"
"G0567","keep off","lsj"
"G0567","keep off or away from","lsj"
"G0567","off or away from","lsj"
"G0567","pa","lsj"
"G0567","parts","lsj"
"G0567","project","lsj"
"G0567","prominent parts","lsj"
"G0567","receive","lsj"
"G0567","receive in full","lsj"
"G0567","receive/be far","meaning_tree"
"G0567","refrain","meaning_tree"
"G0567","refrain oneself","lsj"
"G0567","refrain-","mounce"
"G0567","to be as far","lsj"
"G0567","to be away","lsj"
"G0567","to be far from","lsj"
"G0567","to be far remoued from","lsj"
"G0567","were","lsj"
"G1418","bad","lsj"
"G1418","destroying the good sense","lsj"
"G1418","do","lsj"
"G1418","dochruth","lsj"
"G1418","du-","lsj"
"G1418","durmanās","lsj"
"G1418","hard","lsj;meaning_tree;mounce"
"G1418","i.e. with difficulty","meaning_tree;mounce"
"G1418","increasing its bad sense","lsj"
"G1418","mis","lsj"
"G1418","tor","lsj"
"G1418","torsóttligr","lsj"
"G1418","un-","lsj"
"G1418","unlucky","lsj"
"G1510","are","lsj"
"G1510","be","lsj"
"G1510","be in existence","lsj"
"G1510","be the fact","lsj"
"G1510","came","lsj"
"G1510","censeo carthaginem esse delendam","lsj"
"G1510","consists of","lsj"
"G1510","current","lsj"
"G1510","engaged","lsj"
"G1510","ep. rom","lsj"
"G1510","exist","lsj"
"G1510","fact","lsj"
"G1510","future revenue","lsj"
"G1510","have","lsj"
"G1510","hoc est","lsj"
"G1510","import","lsj"
"G1510","in any case","lsj"
"G1510","in being","lsj"
"G1510","in fact","lsj"
"G1510","in its essence","lsj"
"G1510","in office","lsj"
"G1510","in reality","lsj"
"G1510","is","lsj"
"G1510","is and has always been","lsj"
"G1510","is made up of","lsj"
"G1510","is matter of","lsj"
"G1510","it appears is","lsj"
"G1510","it depends","lsj"
"G1510","it fared","lsj"
"G1510","it is","lsj"
"G1510","it is in the class of","lsj"
"G1510","it is possible","lsj"
"G1510","last","lsj"
"G1510","let it be granted","lsj"
"G1510","lived","lsj"
"G1510","living","lsj"
"G1510","local","lsj"
"G1510","might continue in being","lsj"
"G1510","mind","lsj"
"G1510","necessarily","lsj"
"G1510","no one","lsj"
"G1510","of being","lsj"
"G1510","part","lsj"
"G1510","pass","lsj"
"G1510","posterity","lsj"
"G1510","property","lsj"
"G1510","quantum in illis esset","lsj"
"G1510","real","lsj"
"G1510","really is","lsj"
"G1510","requires","lsj"
"G1510","right","lsj"
"G1510","signify","lsj"
"G1510","some","lsj"
"G1510","sum","lsj"
"G1510","that be","lsj"
"G1510","the case","lsj"
"G1510","the essential nature","lsj"
"G1510","there was","lsj"
"G1510","those who are","lsj"
"G1510","tis","lsj"
"G1510","to be","lsj"
"G1510","to be about to","lsj"
"G1510","to be at the mercy of","lsj"
"G1510","to be constructed","lsj"
"G1510","to be de pendent upon","lsj"
"G1510","to be engaged","lsj"
"G1510","to be in hand","lsj"
"G1510","to be occupied about","lsj"
"G1510","to be of the party of","lsj"
"G1510","to be sprung","lsj"
"G1510","to bear","lsj"
"G1510","to do","lsj"
"G1510","to happen","lsj"
"G1510","to pass","lsj"
"G1510","to reach","lsj"
"G1510","to suit","lsj"
"G1510","true","lsj"
"G1510","truth","lsj"
"G1510","twould be","lsj"
"G1510","was","lsj"
"G1510","was there","lsj"
"G1510","were","lsj"
"G1510","will go on","lsj"
"G1510","world of things","lsj"
"G1510","you are one of","lsj"
"G20125","to be deprived of children","lsj"
"G20258","weighing two talents","lsj"
"G20258","worth two talents","lsj;meaning_tree;mounce"
"G2071","- will be","meaning_tree;mounce"
"G2071","are","lsj"
"G2071","be","lsj"
"G2071","be in existence","lsj"
"G2071","be the fact","lsj"
"G2071","came","lsj"
"G2071","censeo carthaginem esse delendam","lsj"
"G2071","consists of","lsj"
"G2071","current","lsj"
"G2071","engaged","lsj"
"G2071","ep. rom","lsj"
"G2071","exist","lsj"
"G2071","fact","lsj"
"G2071","future revenue","lsj"
"G2071","have","lsj"
"G2071","hoc est","lsj"
"G2071","import","lsj"
"G2071","in any case","lsj"
"G2071","in being","lsj"
"G2071","in fact","lsj"
"G2071","in its essence","lsj"
"G2071","in office","lsj"
"G2071","in reality","lsj"
"G2071","is","lsj"
"G2071","is and has always been","lsj"
"G2071","is made up of","lsj"
"G2071","is matter of","lsj"
"G2071","it appears is","lsj"
"G2071","it depends","lsj"
"G2071","it fared","lsj"
"G2071","it is","lsj"
"G2071","it is in the class of","lsj"
"G2071","it is possible","lsj"
"G2071","last","lsj"
"G2071","let it be granted","lsj"
"G2071","lived","lsj"
"G2071","living","lsj"
"G2071","local","lsj"
"G2071","might continue in being","lsj"
"G2071","mind","lsj"
"G2071","necessarily","lsj"
"G2071","no one","lsj"
"G2071","of being","lsj"
"G2071","part","lsj"
