folder_path,top_level_root,depth,parent_path,direct_file_count,recursive_file_count,direct_subfolder_count,top_ext_direct,last_modified_direct,governed_by_setting,manifest_category,manifest_currency,type,status,usage_description,added_at,last_reviewed_at
,(repo root),0,,8,14225,17,"(none):3, .md:3, .code-workspace:1, .py:1",2026-08-18T12:04:35Z,,,,,,,2026-08-28T05:41:51Z,
.obsidian,.obsidian,1,,4,4,0,.json:4,2026-08-27T05:47:24Z,,,,,,,2026-08-28T05:41:51Z,
Logs,Logs,1,,54,569,4,.md:54,2026-08-28T03:59:17Z,governance.session_log_dir,,,operations,authoritative,,2026-08-28T05:41:51Z,2026-08-28T05:43:10Z
Logs/Dimension_Review_logs,Logs,2,Logs,63,63,0,".md:62, .json:1",2026-07-12T05:02:53Z,,,,,,,2026-08-28T05:41:51Z,
Logs/Verse_Context_logs,Logs,2,Logs,239,239,1,".md:229, .zip:7, .json:2, .txt:1",2026-07-12T05:02:53Z,,,,,,,2026-08-28T05:41:51Z,
Logs/Verse_Context_logs/archive,Logs,3,Logs/Verse_Context_logs,0,0,0,,,,,,,,,2026-08-28T05:41:51Z,
Logs/archive,Logs,2,Logs,147,208,1,".md:144, .docx:3",2026-07-30T17:36:15Z,,,,,,,2026-08-28T05:41:51Z,
Logs/archive/Sessionlogs,Logs,3,Logs/archive,49,61,1,".md:45, .json:4",2026-07-12T05:02:57Z,,,,,,,2026-08-28T05:41:51Z,
Logs/archive/Sessionlogs/archive,Logs,4,Logs/archive/Sessionlogs,12,12,0,".md:10, .json:2",2026-07-12T05:00:00Z,,,,,,,2026-08-28T05:41:51Z,
Logs/files gap analysis 20260513,Logs,2,Logs,5,5,0,".md:4, .json:1",2026-05-13T05:07:50Z,,,,,,,2026-08-28T05:41:51Z,
Workflow,Workflow,1,,0,889,16,,,,,,,,,2026-08-28T05:41:51Z,
Workflow/Catalogue,Workflow,2,Workflow,2,2,0,.md:2,2026-07-14T07:42:53Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/Chat_responses,Workflow,2,Workflow,0,16,1,,,,,,,,,2026-08-28T05:41:51Z,
Workflow/Chat_responses/archive,Workflow,3,Workflow/Chat_responses,16,16,0,"(none):8, .txt:5, .csv:2, .md:1",2026-08-20T13:30:13Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/Claude_API,Workflow,2,Workflow,1,1,0,.md:1,2026-08-15T07:44:27Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/Clusters,Workflow,2,Workflow,1,33,1,.md:1,2026-07-12T05:02:55Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/Clusters/archive,Workflow,3,Workflow/Clusters,32,32,0,".md:26, .json:6",2026-07-12T05:02:55Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/Global_rules,Workflow,2,Workflow,5,5,0,".md:4, .json:1",2026-07-12T05:02:55Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/Instructions,Workflow,2,Workflow,25,61,2,.md:25,2026-08-18T09:17:07Z,method.inner_being_narrative_guidance_path; method.interpretation_questions_path; method.narrative_hard_constraints_path; method.passage_read_guidance_path,,,operations,authoritative,,2026-08-28T05:41:51Z,2026-08-28T05:43:10Z
Workflow/Instructions/archive,Workflow,3,Workflow/Instructions,35,35,0,".md:32, .json:2, .docx:1",2026-07-12T05:02:55Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/Instructions/proposals,Workflow,3,Workflow/Instructions,1,1,0,.md:1,2026-07-12T04:59:59Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/Obsidian,Workflow,2,Workflow,1,1,0,.md:1,2026-08-15T06:11:10Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/Programme,Workflow,2,Workflow,0,158,6,,,,,,,,,2026-08-28T05:41:51Z,
Workflow/Programme/.obsidian,Workflow,3,Workflow/Programme,4,4,0,.json:4,2026-08-26T10:10:39Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/Programme/Corpus_prose,Workflow,3,Workflow/Programme,2,2,0,.md:2,2026-07-12T05:02:55Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/Programme/Program_reports,Workflow,3,Workflow/Programme,5,21,1,.md:5,2026-07-12T05:02:55Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/Programme/Program_reports/archive,Workflow,4,Workflow/Programme/Program_reports,16,16,0,".md:11, .json:3, .docx:2",2026-07-12T05:02:55Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/Programme/programme_analysis,Workflow,3,Workflow/Programme,0,29,1,,,,,,,,,2026-08-28T05:41:51Z,
Workflow/Programme/programme_analysis/archive,Workflow,4,Workflow/Programme/programme_analysis,29,29,0,".md:23, .json:5, .csv:1",2026-07-12T05:02:55Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/Programme/programme_prose,Workflow,3,Workflow/Programme,12,16,1,".json:6, .md:6",2026-08-27T09:24:17Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/Programme/programme_prose/archive,Workflow,4,Workflow/Programme/programme_prose,4,4,0,".json:2, .md:2",2026-08-14T14:58:03Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/Programme/prose-edits,Workflow,3,Workflow/Programme,6,86,3,.md:6,2026-08-22T13:57:05Z,,,,,,,2026-08-28T05:41:51Z,
