id,strongs_number,transliteration,gloss,language,owning_registry,owning_registry_fk,owning_word,owning_part,word_data_reference,word_data_ref_fk,status,status_note,exclusion_reason,extraction_date,strongs_reconciled,anchor_note,last_changed
2792,G0004,abarēs,not burdensome,Greek,197,,not burdensome,,,,delete,,abarēs - not burdensome. 2Cor 11:9. No authority content. Bleed from burden family.,2026-03-26,0,,2026-03-26 05:24:21
1640,G0014,agathoergeō,to do good,Greek,103,,to do good,,,,extracted_thin,agathoergeō to do good - 2 occ.,,2026-03-24,0,,2026-03-25T07:03:59Z
5408,G0014,agathoergeō,to do good,Greek,65,,to do good,,,,,,,2026-03-28,0,,2026-03-28 14:07:15
5433,G0014,agathoergeō,to do good,Greek,67,,to do good,,,,,,,2026-03-28,0,,2026-03-28 14:07:26
1638,G0015,agathopoieō,to do good,Greek,103,,to do good,,,,extracted,agathopoieō to do good - 14 occ. Love in action.,,2026-03-24,0,,2026-03-25T07:03:59Z
5406,G0015,agathopoieō,to do good,Greek,65,,to do good,,,,,,,2026-03-28,0,,2026-03-28 14:07:15
5432,G0015,agathopoieō,to do good,Greek,67,,to do good,,,,,,,2026-03-28,0,,2026-03-28 14:07:26
1641,G0016,agathopoiia,doing good,Greek,103,,doing good,,,,extracted_thin,agathopoiia doing good - 1 occ.,,2026-03-24,0,,2026-03-25T07:03:59Z
5409,G0016,agathopoiia,doing good,Greek,65,,doing good,,,,,,,2026-03-28,0,,2026-03-28 14:07:15
5434,G0016,agathopoiia,doing good,Greek,67,,doing good,,,,,,,2026-03-28,0,,2026-03-28 14:07:26
1642,G0017,agathopoios,doing good,Greek,103,,doing good,,,,extracted_thin,agathopoios doing good - 1 occ.,,2026-03-24,0,,2026-03-25T07:03:59Z
5410,G0017,agathopoios,doing good,Greek,65,,doing good,,,,,,,2026-03-28,0,,2026-03-28 14:07:15
5435,G0017,agathopoios,doing good,Greek,67,,doing good,,,,,,,2026-03-28,0,,2026-03-28 14:07:26
881,G0018,agathos,good,Greek,65,65,generosity,,107,107,extracted,agathos good - 505 occ. The good as the object and expression of love.,,2026-03-18,0,,2026-03-25T07:03:59Z
1637,G0018,agathos,good,Greek,103,,good,,,,extracted,agathos good - 505 occ. The good as the object and expression of love.,,2026-03-24,0,,2026-03-25T07:03:59Z
5431,G0018,agathos,good,Greek,67,,good,,,,,,,2026-03-28,0,,2026-03-28 14:07:26
885,G0019,agathōsunē,goodness,Greek,67,67,goodness,,109,109,extracted,agathōsunē goodness - 17 occ. Fruit of the Spirit; love as moral character.,,2026-03-18,0,,2026-03-25T07:03:59Z
1639,G0019,agathōsunē,goodness,Greek,103,,goodness,,,,extracted,agathōsunē goodness - 17 occ. Fruit of the Spirit; love as moral character.,,2026-03-24,0,,2026-03-25T07:03:59Z
5407,G0019,agathōsunē,goodness,Greek,65,,goodness,,,,,,,2026-03-28,0,,2026-03-28 14:07:15
376,G0020,agalliasis,joy,Greek,97,97,joy,Part3,44,44,extracted_thin,,,2026-03-12,0,,2026-03-26T13:19:34Z
3861,G0020,agalliasis,joy,Greek,42,,joy,,,,extracted_thin,,,2026-03-26,0,,2026-03-26T13:19:34Z
380,G0021,agalliao,to rejoice,Greek,97,97,joy,Part3,44,44,extracted_thin,,,2026-03-12,0,,2026-03-26T13:19:34Z
3862,G0021,agalliaō,to rejoice,Greek,42,,to rejoice,,,,extracted_thin,,,2026-03-26,0,,2026-03-26T13:19:34Z
922,G0024,aganaktēsis,indignation,Greek,87,87,indignation,,125,125,extracted,,,2026-03-18,0,,2026-03-18 13:41:38
571,G0025,agapaō,to love,Greek,103,103,love,Part3,24,24,extracted,,,,0,,2026-03-16 10:34:12
562,G0026,agapē,love,Greek,103,103,love,Part3,24,24,extracted,,,,0,,2026-03-16 10:34:12
555,G0027,agapētos,beloved,Greek,103,103,love,Part3,24,24,extracted,,,,0,,2026-03-16 10:34:12
4288,G0035,agenealogētos,without genealogy,Greek,112,,without genealogy,,,,,,,2026-03-27,0,,2026-03-27 11:59:33
2280,G0037,hagiazō,to sanctify,Greek,184,,to sanctify,,,,delete,"A6b-F1: zero verses returned by STEP (213 occurrence(s)), zero analytical signals",Confirmed candidate_delete. Bleed vocabulary. See individual notes.,2026-03-25,0,,2026-03-25T09:36:38Z
5537,G0037,hagiazō,to sanctify,Greek,76,,to sanctify,,,,,,,2026-03-28,0,,2026-03-28 14:08:01
905,G0038,hagiasmos,holiness,Greek,76,76,holiness,,116,116,extracted,,,2026-03-18,0,,2026-03-18 13:41:38
909,G0039G,hagion,Holy Place,Greek,76,76,holiness,,116,116,extracted,,,2026-03-18,1,,2026-03-18 13:41:38
2281,G0039G,hagion,Holy Place,Greek,184,,Holy Place,,,,delete,,Cross-registry bleed. Home registry analysis covers spirit-boundary content via CRL.,2026-03-25,0,,2026-03-25T09:38:24Z
2283,G0039H,hagion,Most Holy Place,Greek,184,,Most Holy Place,,,,delete,"A6b-F1: zero verses returned by STEP (4 occurrence(s)), zero analytical signals",Confirmed candidate_delete. Bleed vocabulary. See individual notes.,2026-03-25,0,,2026-03-25T09:36:38Z
609,G0040G,hagios,holy,Greek,184,184,spirit,,39,39,extracted,,,2026-03-15,0,,2026-03-16 10:34:12
5522,G0040G,hagios,holy,Greek,76,,holy,,,,,,,2026-03-28,0,,2026-03-28 14:08:01
2279,G0040H,hagios,holy: saint,Greek,184,,holy: saint,,,,delete,"A6b-F1: zero verses returned by STEP (65 occurrence(s)), zero analytical signals",Confirmed candidate_delete. Bleed vocabulary. See individual notes.,2026-03-25,0,,2026-03-25T09:36:38Z
5536,G0040H,hagios,holy: saint,Greek,76,,holy: saint,,,,,,,2026-03-28,0,,2026-03-28 14:08:01
910,G0041,hagiotēs,holiness,Greek,76,76,holiness,,116,116,extracted,,,2026-03-18,0,,2026-03-18 13:41:38
2284,G0041,hagiotēs,holiness,Greek,184,,holiness,,,,delete,,Cross-registry bleed. Home registry analysis covers spirit-boundary content via CRL.,2026-03-25,0,,2026-03-25T09:38:24Z
906,G0042,hagiōsunē,holiness,Greek,76,76,holiness,,116,116,extracted,,,2026-03-18,0,,2026-03-18 13:41:38
2282,G0042,hagiōsunē,holiness,Greek,184,,holiness,,,,delete,,Cross-registry bleed. Home registry analysis covers spirit-boundary content via CRL.,2026-03-25,0,,2026-03-25T09:38:24Z
5168,G0043,ankalē,arm,Greek,51,,arm,,,,,,,2026-03-28,0,,2026-03-28 14:06:20
1062,G0047,hagneia,purity,Greek,125,125,purity,,158,158,extracted,,,2026-03-18,0,,2026-03-18 13:41:42
6054,G0048,hagnizō,to purify,Greek,125,,to purify,,,,,,,2026-03-28,0,,2026-03-28 14:11:21
6055,G0049,hagnismos,purification,Greek,125,,purification,,,,,,,2026-03-28,0,,2026-03-28 14:11:21
1838,G0050,agnoeō,be ignorant,Greek,183,,be ignorant,,,,extracted,Core contra-wisdom term. 21 verses. Ignorance as a correctable inner state; ranges from culpable (Rom 10:3) to involuntary (1 Tim 1:13) to pastoral prevention.,Session A relatedNos bleed confirmed in pre-analysis review. No heart content.,2026-03-25,0,,2026-03-27T14:56:29Z
2723,G0050,agnoeō,be ignorant,Greek,26,,be ignorant,,,,extracted,Core contra-wisdom term. 21 verses. Ignorance as a correctable inner state; ranges from culpable (Rom 10:3) to involuntary (1 Tim 1:13) to pastoral prevention.,,2026-03-25,0,,2026-03-27T14:56:29Z
3637,G0050,agnoeō,be ignorant,Greek,126,,be ignorant,,,,extracted,Core contra-wisdom term. 21 verses. Ignorance as a correctable inner state; ranges from culpable (Rom 10:3) to involuntary (1 Tim 1:13) to pastoral prevention.,,2026-03-26,0,,2026-03-27T14:56:29Z
4300,G0050,agnoeō,be ignorant,Greek,112,,be ignorant,,,,extracted,Core contra-wisdom term. 21 verses. Ignorance as a correctable inner state; ranges from culpable (Rom 10:3) to involuntary (1 Tim 1:13) to pastoral prevention.,,2026-03-27,0,,2026-03-27T14:56:29Z
4442,G0050,agnoeō,be ignorant,Greek,211,,be ignorant,,,,extracted,Core contra-wisdom term. 21 verses. Ignorance as a correctable inner state; ranges from culpable (Rom 10:3) to involuntary (1 Tim 1:13) to pastoral prevention.,,2026-03-27,0,,2026-03-27T14:56:29Z
5787,G0050,agnoeō,be ignorant,Greek,100,,be ignorant,,,,,,,2026-03-28,0,,2026-03-28 14:09:24
6097,G0050,agnoeō,be ignorant,Greek,129,,be ignorant,,,,,,,2026-03-28,0,,2026-03-28 14:11:45
1843,G0052,agnoia,ignorance,Greek,183,,ignorance,,,,delete,"GROUP 3 — IGNORANCE/CONSCIENCE-FAILURE. agnoia — ignorance, the state of moral/spiritual unawareness. 15 occ, 4 verses. Act 3:17 (acted in ignorance), Act 17:30 (God overlooked the times of ignorance, but now commands repentance — the transition from pre-conscience ignorance to accountability), Eph 4:18 (darkened in their understanding, alienated from God due to ignorance — hardness of heart as the cause of conscience-darkening), 1 Pet 1:14 (former ignorances — the pre-conversion conscience state named collectively).",Session A relatedNos bleed confirmed in pre-analysis review. No heart content.,2026-03-25,0,,2026-03-26T12:24:51Z
2728,G0052,agnoia,ignorance,Greek,26,,ignorance,,,,delete,"GROUP 3 — IGNORANCE/CONSCIENCE-FAILURE. agnoia — ignorance, the state of moral/spiritual unawareness. 15 occ, 4 verses. Act 3:17 (acted in ignorance), Act 17:30 (God overlooked the times of ignorance, but now commands repentance — the transition from pre-conscience ignorance to accountability), Eph 4:18 (darkened in their understanding, alienated from God due to ignorance — hardness of heart as the cause of conscience-darkening), 1 Pet 1:14 (former ignorances — the pre-conversion conscience state named collectively).",,2026-03-25,0,,2026-03-26T12:24:51Z
3641,G0052,agnoia,ignorance,Greek,126,,ignorance,,,,delete,,,2026-03-26,0,,2026-03-26T12:24:51Z
4304,G0052,agnoia,ignorance,Greek,112,,ignorance,,,,,,,2026-03-27,0,,2026-03-27 11:59:33
5791,G0052,agnoia,ignorance,Greek,100,,ignorance,,,,,,,2026-03-28,0,,2026-03-28 14:09:24
6102,G0052,agnoia,ignorance,Greek,129,,ignorance,,,,,,,2026-03-28,0,,2026-03-28 14:11:45
6053,G0053,hagnos,pure,Greek,125,,pure,,,,,,,2026-03-28,0,,2026-03-28 14:11:21
1064,G0054,hagnotēs,purity,Greek,125,125,purity,,158,158,extracted,,,2026-03-18,0,,2026-03-18 13:41:42
6056,G0055,hagnōs,purely,Greek,125,,purely,,,,,,,2026-03-28,0,,2026-03-28 14:11:21
964,G0056,agnōsia,ignorance,Greek,100,100,knowledge,,137,137,delete,"GROUP 3 — IGNORANCE/CONSCIENCE-FAILURE. agnōsia — ignorance, especially of God, moral/spiritual blindness. 3 occ, 2 verses. 1 Cor 15:34 (some have no knowledge of God — agnōsia as willful moral-spiritual blindness) and 1 Pet 2:15 (silencing the ignorance of foolish people — the conscience-void state of those who act without moral grounding). The focused anti-God sense gives this term its conscience-relevance.",agnōsia ignorance — bleed. No direct heart term.,2026-03-18,0,,2026-03-26T12:24:51Z
