cluster,verse,term,strongs,bucket,overlap,R_read,M_lexical,flagged
M02,Heb 6:16,antilogia,G0485,ZERO,0.00,dispute — the human disputes that an oath settles,"argument, opposition, rebellion contradiction, question, Heb. 6:16; 7:7; opposit",0
M02,Pro 24:19,cha.rah,H2734,ZERO,0.00,to fret / get heated — the agitation over evildoers forbidden," /// to be angry with, be incensed /// to burn, kindle /// to burn, kindle (anger) /// to heat oneself in vexation",0
M02,Eze 7:12,cha.ron,H2740,ZERO,0.00,wrath — the divine wrath upon the whole multitude that empties commerce and emotion,"anger, heat, burning (of anger) always used of God's anger",0
M02,Eze 7:14,cha.ron,H2740,ZERO,0.00,wrath — the divine wrath that paralyzes all resistance,"anger, heat, burning (of anger) always used of God's anger",0
M02,Neh 13:18,cha.ron,H2740,ZERO,0.00,wrath — the divine wrath added to by renewed Sabbath-profaning,"anger, heat, burning (of anger) always used of God's anger",0
M02,Psa 88:16,cha.ron,H2740,ZERO,0.00,wrath — the divine wrath sweeping over the solitary sufferer,"anger, heat, burning (of anger) always used of God's anger",0
M02,Eze 23:25,che.mah,H2534,ZERO,0.00,fury — the fury with which her lovers (God's agents) deal with the city,"heat, rage, hot displeasure, indignation, anger, wrath, poison, bottles heat fev",0
M02,Eze 19:12,che.mah,H2534,ZERO,0.00,fury — the divine fury in which the vine (Israel's princes) is uprooted,"heat, rage, hot displeasure, indignation, anger, wrath, poison, bottles heat fev",0
M02,Eze 21:17,che.mah,H2534,ZERO,0.00,"fury — God's fury, satisfied/spent and laid to rest","heat, rage, hot displeasure, indignation, anger, wrath, poison, bottles heat fev",0
M02,Eze 24:13,che.mah,H2534,ZERO,0.00,fury — God's fury satisfied/spent on unclean Jerusalem before cleansing resumes,"heat, rage, hot displeasure, indignation, anger, wrath, poison, bottles heat fev",0
M02,Eze 5:15,che.mah,H2534,ZERO,0.00,fury — the divine fury driving God's judgments on Jerusalem,"heat, rage, hot displeasure, indignation, anger, wrath, poison, bottles heat fev",0
M02,Eze 6:12,che.mah,H2534,ZERO,0.00,"fury — God's fury spent through pestilence, sword, and famine","heat, rage, hot displeasure, indignation, anger, wrath, poison, bottles heat fev",0
M02,Isa 34:2,che.mah,H2534,ZERO,0.00,"fury — God's fury against all the nations, devoting them to destruction","heat, rage, hot displeasure, indignation, anger, wrath, poison, bottles heat fev",0
M02,Isa 66:15,che.mah,H2534,ZERO,0.00,fury — the divine fury of the LORD's fiery coming in judgment,"heat, rage, hot displeasure, indignation, anger, wrath, poison, bottles heat fev",0
M02,Lam 2:4,che.mah,H2534,ZERO,0.00,fury — the divine fury poured like fire on the tent of daughter Zion,"heat, rage, hot displeasure, indignation, anger, wrath, poison, bottles heat fev",0
M02,Lev 26:28,che.mah,H2534,ZERO,0.00,fury — the divine fury of the covenant-curse escalation,"heat, rage, hot displeasure, indignation, anger, wrath, poison, bottles heat fev",0
