from_span,to_span,edge_type,ve_nr,direction,pair_kind,phrase,book,from_verse_ref
264710,264711,target,107,,pair,wisdom,20,Pro 1:2
264714,264716,target,107,,pair,words of insight,20,Pro 1:2
264736,264737,target,107,,pair,simplicity,20,Pro 1:22
264739,264740,target,107,,pair,scoffing,20,Pro 1:22
264742,264743,target,107,,pair,knowledge,20,Pro 1:22
264755,264754,coupling,112,,pair,the human counter to the calling — will set against appeal,20,Pro 1:24
264764,264763,target,107,,pair,Wisdom's counsel (etsah),20,Pro 1:25
264781,264780,coupling,112,,pair,the twin of distress; the pair names the whole weight,20,Pro 1:27
264792,264793,target,107,,pair,knowledge (daat),20,Pro 1:29
264795,264796,target,107,,pair,the fear of the LORD,20,Pro 1:29
264800,264801,target,107,,pair,wise dealing,20,Pro 1:3
264805,264807,target,107,,pair,counsel (etsah),20,Pro 1:30
264816,264817,target,107,,pair,their own devices (moetsah),20,Pro 1:31
264823,264824,target,107,,pair,disaster (ra),20,Pro 1:33
264836,264838,target,107,,pair,guidance,20,Pro 1:5
264840,264842,target,107,,pair,a saying (melitsah),20,Pro 1:6
264851,264852,target,107,,pair,wisdom,20,Pro 1:7
264854,264857,target,107,,pair,instruction (father's),20,Pro 1:8
266940,266942,target,107,,pair,the heart it enters,20,Pro 2:10
266943,266945,target,107,,pair,the soul it delights,20,Pro 2:10
266946,266947,coupling,112,,pair,welded to its protective watching,20,Pro 2:11
266950,266952,target,107,,pair,evil (the danger delivered from),20,Pro 2:12
266964,266966,target,107,,pair,evil (the object of the joy),20,Pro 2:14
266967,266968,target,107,,pair,perverseness (the object),20,Pro 2:14
266972,266973,coupling,112,,pair,welded to the devious wandering that goes with it,20,Pro 2:15
266979,266980,target,107,,pair,the covenant (266980),20,Pro 2:17
266998,266999,target,107,,pair,wisdom (chokmah),20,Pro 2:2
267001,267002,target,107,,pair,understanding (tebunah),20,Pro 2:2
267007,267009,target,107,,pair,the paths of the righteous,20,Pro 2:20
267025,267026,target,107,,pair,insight (binah),20,Pro 2:3
267039,267040,target,107,,pair,the fear of the LORD,20,Pro 2:5
267064,267062,coupling,112,,pair,welded to God's protective watching,20,Pro 2:8
267065,267066,target,107,,pair,righteousness/justice/equity,20,Pro 2:9
267521,267521,target,107,,pair,the son (delighted in),20,Pro 3:12
