reading_id,span_id,book,chapter,verse_ref,corpus,genre,passage_id,anchor,lemma,strongs,morph,pos,stem,surface_en,hebrew_form,translit,translit_conf,char_key,ib_char,base_gloss,read_sense_variants,esv_words,family,cluster,cluster_all,same_as,role_provenance,char_candidate_tag,lemma_freq_book,ib_instance_count,sense,type,source,seat,bearer,operation,target,object_kind,manner,intensity,specifier,effect,coupling,prohibition,reading,discovery_flag,role,locus,direction,verse_text
H3045:know#264710,264710,20,1,Pro 1:2,OT,poetic/wisdom,3701,1,H3045,H3045,HVqcc,verb,Qal,know,,,none,H3045:know,know,to know,to know — the acquisition of wisdom as its aim | blindness — they do not know over what they stumble | obliviousness — she does not even know she wanders | oblivion — he does not know it will cost his life | ignorance — Folly knows nothing | oblivion — he does not know the dead are there | knowing — what is acceptable to speak | self-knowing — the heart knows its own grief | knowing truth — being made to know what is right and true | feigned ignorance — the excuse that pleads not-knowing,"know, knows, Know",knowing-understanding,,,267826|268064|268383|268688|268717|262644|263311|265402|265727|265735|265749|266341|266442|266639|266917|267290,read-2026,Reg 100 knowledge,24,17,to know — the acquisition of wisdom as its aim,cognition,ABSENT,NONE,the learner/son the book addresses,knowing wisdom and instruction — taking them into the inner person,wisdom,abstraction,NONE,ABSENT,ABSENT,ABSENT,paired with understanding (995) and receiving (part of one acquisition),ABSENT,"1:2 opens the book's purpose as an interior verb (know), not an act on the world; wisdom is gained by being known/received inwardly.",present,characteristic,internal:ib-state,ABSENT,"Pro 1:2 To know wisdom and instruction , to understand words of insight ,"
H2451:wisdom#264711,264711,20,1,Pro 1:2,OT,poetic/wisdom,3701,1,H2451,H2451,HNcfsa,noun,,wisdom,,,none,H2451:wisdom,wisdom,wisdom,"wisdom — the skilled, ordered competence of the inner life | Wisdom personified — wisdom as a woman crying aloud in the street | wisdom — here the object the fool despises | wisdom — entering the heart | wisdom — what the attentive ear is bent toward | wisdom — given by the LORD | wisdom — the prize found and made blessed | wisdom — the LORD's, by which he founded the earth | wisdom — the way in which the son has been taught | wisdom — to be acquired","wisdom, Wisdom",wisdom-folly-teaching,,,264852|264717|266999|267048|266940|267525|267564|267910|267928|267930|267775|267951|268427|268450|268465|268475|308467|268674|262494|262576|262638|262778|263134|263493|264191|308507|265252|265591|265853|265919|265751|266672|266786|267423,read-2026,Reg 174 wisdom,26,35,"wisdom — the skilled, ordered competence of the inner life",disposition,ABSENT,NONE,the wise/learner,wisdom as the faculty to be acquired and lived,NONE,none,NONE,ABSENT,ABSENT,ABSENT,paired with instruction (musar) — the disposition and its shaping named together,ABSENT,"chokmah heads the list — the master good the book exists to impart; here it is the object of know (yada), the two-axes case (its own char AND know's target).",absent,characteristic,internal:ib-state,ABSENT,"Pro 1:2 To know wisdom and instruction , to understand words of insight ,"
H4148:instruction#264712,264712,20,1,Pro 1:2,OT,poetic/wisdom,3701,1,H4148H H9002,H4148,HNcmsa HC,noun,,instruction,,,none,H4148:instruction,instruction,discipline,"instruction as moral discipline — correction that shapes the inner person | instruction in wise dealing — discipline received, now specified by its fruit | instruction/discipline — despised alongside wisdom | the father's instruction — parental discipline to be heeded | instruction — to be taken over silver | instruction — among the goods to be bought and kept | lesson learned — the instruction drawn from reflection",instruction,wisdom-folly-teaching,,,264800|264853|264857|268457|265592|265882,read-2026,IB:discipline,3,7,instruction as moral discipline — correction that shapes the inner person,disposition,ABSENT,NONE,the learner being shaped,the disciplining/shaping of the inner life to be received,NONE,none,NONE,ABSENT,ABSENT,ABSENT,welded to wisdom (chokmah) in the pair chokmah-umusar,ABSENT,"musar = discipline received, not knowledge grasped — it carries the note of correction/shaping the inner life must submit to (distinct from wisdom's competence).",present,characteristic,internal:ib-state,ABSENT,"Pro 1:2 To know wisdom and instruction , to understand words of insight ,"
H0995:understand#264714,264714,20,1,Pro 1:2,OT,poetic/wisdom,3701,1,H0995,H0995,HVhcc,verb,Hiphil,understand,,bin,head,H0995:understand,understanding,to understand,to understand — to discern the sense of words | the discerning one — the person of understanding | to understand — to penetrate the sense of wise speech | understanding — grasping the fear of the LORD as the fruit of seeking | understanding — grasping the moral goods | understanding — the discerning to whom the words are plain | discernment — on whose lips wisdom is found | discernment — in whose heart wisdom rests | discernment — for whom knowledge is easy | understanding — whose heart seeks knowledge,"understanding, understand, understands",knowing-understanding,,,264836|264840|267039|267065|268667|262493|263534|263496|263594|264071|264550|264551|264982|266614|266712|266724|266541|266922|266820,read-2026,Reg 166 understanding,24,20,to understand — to discern the sense of words,cognition,ABSENT,NONE,the learner,discerning/penetrating the words of insight,words of insight,other,NONE,ABSENT,ABSENT,ABSENT,paired with know (yada) — the two cognitive acts of the aim,ABSENT,"bin (discern) is distinct from yada (know): it is the penetrating grasp of meaning, and its object is 'words of insight' — understanding applied to speech.",absent,characteristic,internal:ib-state,ABSENT,"Pro 1:2 To know wisdom and instruction , to understand words of insight ,"
H0998:insight#264716,264716,20,1,Pro 1:2,OT,poetic/wisdom,3701,1,H0998,H0998,HNcfsa,noun,,insight,,,none,H0998:insight,insight,understanding,insight — the faculty of discernment | insight — cried out for aloud | understanding — the discernment gained by attending | understanding — to be acquired alongside wisdom | understanding — to be gotten with all one acquires | understanding — called one's intimate kinswoman | understanding — Wisdom is it | understanding — the knowledge of the Holy One | understanding — the way to walk in,insight,knowing-understanding,,,267026|267764|267912|267934|268430|268495|268752|268677,read-2026,Reg 166 understanding,9,9,insight — the faculty of discernment,disposition,ABSENT,NONE,the discerning learner,the discerning faculty by which words are understood,NONE,none,NONE,ABSENT,ABSENT,ABSENT,paired with understand (bin) — faculty and act of the same root,ABSENT,binah is the noun-faculty of bin; here it is the target of understand — the two-axes case again (faculty AND object).,absent,characteristic,internal:ib-state,ABSENT,"Pro 1:2 To know wisdom and instruction , to understand words of insight ,"
H4148:instruction#264800,264800,20,1,Pro 1:3,OT,poetic/wisdom,3701,0,H4148H,H4148,HNcmsc,noun,,instruction,,,none,H4148:instruction,instruction,discipline,"instruction as moral discipline — correction that shapes the inner person | instruction in wise dealing — discipline received, now specified by its fruit | instruction/discipline — despised alongside wisdom | the father's instruction — parental discipline to be heeded | instruction — to be taken over silver | instruction — among the goods to be bought and kept | lesson learned — the instruction drawn from reflection",instruction,wisdom-folly-teaching,,,264712|264853|264857|268457|265592|265882,read-2026,IB:discipline,3,7,"instruction in wise dealing — discipline received, now specified by its fruit",disposition,ABSENT,NONE,the learner receiving it,"receiving the discipline that produces prudent, upright conduct",wise dealing,other,NONE,ABSENT,ABSENT,ABSENT,welded to wise-dealing/righteousness/justice/equity — the moral goods it instils,ABSENT,"musar recurs in 1:3 but now aimed at CONDUCT (wise dealing, righteousness, justice, equity) — the same discipline, its ethical output specified. Distinct occurrence, not a repeat of 264712 (which paired with wisdom-cognition).",present,characteristic,internal:ib-state,ABSENT,"Pro 1:3 to receive instruction in wise dealing , in righteousness , justice , and equity ;"
H7919:wisedeal#264801,264801,20,1,Pro 1:3,OT,poetic/wisdom,3701,0,H7919A,H7919,HVhaa,verb,Hiphil,wise dealing,,sakal,head,H7919:wisedeal,wise dealing,be prudent; to cross hands,"prudent, insightful conduct — acting with skill in living",wise dealing,wisdom-folly-teaching,,,,read-2026,Reg 166 understanding,10,1,"prudent, insightful conduct — acting with skill in living",disposition,ABSENT,NONE,the prudent learner,acting wisely/prudently in the conduct of life,NONE,none,NONE,ABSENT,ABSENT,ABSENT,"paired with righteousness, justice, equity as the ethical triad it heads",ABSENT,"sakal (prudent dealing) is conduct-competence, distinct from chokmah (competence as such) — it turns the inner good outward into right living, hence it heads the ethical triad of 1:3.",absent,characteristic,internal:ib-state,ABSENT,"Pro 1:3 to receive instruction in wise dealing , in righteousness , justice , and equity ;"
H6664:righteousnes#264802,264802,20,1,Pro 1:3,OT,poetic/wisdom,3701,0,H6664G,H6664,HNcmsa,noun,,righteousness,,,none,H6664:righteousnes,righteousness,righteousness; Righteousness [God],righteousness — rightness of the inner person toward the norm | righteousness — first of the moral triad understood | just rule — that establishes the throne once the wicked are gone,righteousness,righteousness-integrity,,,267066|266126,read-2026,Reg 139 righteousness,7,3,righteousness — rightness of the inner person toward the norm,disposition,ABSENT,NONE,the righteous learner,"the disposition to what is right, gained through discipline",NONE,none,NONE,ABSENT,ABSENT,ABSENT,first of the triad righteousness-justice-equity,ABSENT,"tsedeq = rightness as a state of the person; distinct from justice (mishpat, right judgement/order) and equity (meshar, straightness) — the read keeps the three apart though they are listed together.",absent,characteristic,internal:ib-state,ABSENT,"Pro 1:3 to receive instruction in wise dealing , in righteousness , justice , and equity ;"
H4941:justic#264803,264803,20,1,Pro 1:3,OT,poetic/wisdom,3701,0,H4941H H9002,H4941,HNcmsa HC,noun,,justice,,,none,H4941:justic,justice,justice: judgement; justice; justice: custom; justice: rule; [Hall of] Judgment,"justice — right judgement and ordered dealing | justice — the paths God guards | justice — right judgement, understood | justice — the paths Wisdom treads | justice — perverted by the bribe-taker | justice — denied the righteous by partiality | justice — mocked by the worthless witness | justice — whose doing brings joy or terror by character | justice — the doing of which God prefers to sacrifice | moral blindness — the justice evil men cannot grasp",justice,righteousness-integrity,,,267061|267067|268541|264189|264391|264571|265246|265126|266709|266894|266875,read-2026,Reg 98 justice,3,12,justice — right judgement and ordered dealing,disposition,ABSENT,NONE,the just learner,discerning and rendering what is just,NONE,none,NONE,ABSENT,ABSENT,ABSENT,"middle of the triad, with righteousness and equity",ABSENT,"mishpat carries the note of judgement/verdict — the inner sense of right order that issues in fair dealing, distinct from tsedeq (rightness-as-state).",absent,characteristic,internal:ib-state,ABSENT,"Pro 1:3 to receive instruction in wise dealing , in righteousness , justice , and equity ;"
H4339:equity#264804,264804,20,1,Pro 1:3,OT,poetic/wisdom,3701,0,H4339 H9002,H4339,HNcmpa HC,noun,,equity,,mesharim,head,H4339:equity,equity,uprightness,"equity — straightness, evenness in dealing | equity — evenness/straight dealing, understood",equity,righteousness-integrity,,,267068,read-2026,Reg 168 uprightness,2,2,"equity — straightness, evenness in dealing",disposition,ABSENT,NONE,the upright learner,dealing with straightness/evenness,NONE,none,NONE,ABSENT,ABSENT,ABSENT,"third of the triad, closing righteousness-justice-equity",ABSENT,"mesharim (plural, 'straightnesses') = evenness/fairness — the level, undistorted dealing; distinct from mishpat's judgement and tsedeq's rightness. The prologue thus names three moral goods, not one.",present,characteristic,internal:ib-state,ABSENT,"Pro 1:3 to receive instruction in wise dealing , in righteousness , justice , and equity ;"
