verse_span_id,ve_nr,ve_label,value,from_span,to_span,resolution,pair_kind
268778,101,sense,thanksgiving (todah),,,,value
268778,114,discovery,v0 superscription: 'A Psalm for giving THANKS (todah)' - the psalm-heading/type. Standalone.,,,,note
268778,115,role,standalone,,,,value
268779,101,sense,joyful noise (rua),,,,value
268779,102,type,action,,,,value
268779,104,seat,none,,,none,flag
268779,105,bearer,all the earth,,268779,inferred,flag
268779,106,operation,make a joyful noise,,,,event
268779,107,target,to the LORD,,268779,inferred,flag
268779,108,manner,none,,,none,flag
268779,109,intensity,none,,,none,flag
268779,110,specifier,none,,,none,flag
268779,111,effect,"make — the glad shout of all the earth to God, worship as exuberant acclamati",,,inferred,flag
268779,112,coupling,external:god,,268779,inferred,flag
268779,114,discovery,"v1: 'Make a JOYFUL NOISE (rua) to the LORD, all the earth!' - the glad shout of all the earth to God, worship as exuberant acclamation.",,,,note
268779,115,role,characteristic,,,,value
268779,116,locus,paired with serving with gladness,,,,value
268779,117,device,"literal — the glad shout of all the earth to God, worship as exuberant acclamation.",,,inferred,value
268779,118,direction,"toward-god — the glad shout of all the earth to God, worship as",,,inferred,value
268783,101,sense,serve (abad),,,,value
268783,102,type,action,,,,value
268783,104,seat,none,,,none,flag
268783,105,bearer,the worshippers,,268783,inferred,flag
268783,106,operation,serve,,,,event
268783,107,target,the LORD with gladness,,268783,inferred,flag
268783,108,manner,none,,,none,flag
268783,109,intensity,none,,,none,flag
268783,110,specifier,'of God' — narrows to God,,,inferred,flag
268783,111,effect,none,,,none,flag
268783,112,coupling,external:god,,268783,inferred,flag
268783,114,discovery,"v2: 'SERVE (abad) the LORD with gladness!' - the glad service of God, worship as joyful obedience.",,,,note
268783,115,role,characteristic,,,,value
268783,116,locus,paired with gladness and singing,,,,value
268783,117,device,"literal — the glad service of God, worship as joyful obedience.",,,inferred,value
268783,118,direction,"toward-god — the glad service of God, worship as joyful obedien",,,inferred,value
268785,101,sense,gladness (simchah),,,,value
268785,102,type,state,,,,value
268785,104,seat,none,,,none,flag
268785,105,bearer,the worshippers,,268785,inferred,flag
268785,106,operation,serve with gladness,,,,event
268785,107,target,before God,,268785,inferred,flag
268785,108,manner,none,,,none,flag
268785,109,intensity,none,,,none,flag
268785,110,specifier,none,,,none,flag
268785,111,effect,none,,,none,flag
268785,112,coupling,internal:ib-state,,268785,inferred,flag
268785,114,discovery,"v2: 'Serve the LORD with GLADNESS (simchah)!' - the joy that fills God's service, worship offered gladly not grudgingly.",,,,note
268785,115,role,characteristic,,,,value
268785,116,locus,paired with serving and singing,,,,value
268785,117,device,"literal — the joy that fills God's service, worship offered gladly not grudgingly.",,,inferred,value
268785,118,direction,"toward-god — the joy that fills God's service, worship offered ",,,inferred,value
268788,101,sense,singing (renanah),,,,value
268788,102,type,action,,,,value
268788,104,seat,none,,,none,flag
268788,105,bearer,the worshippers,,268788,inferred,flag
268788,106,operation,come with singing,,,,event
268788,107,target,into God's presence,,268788,inferred,flag
268788,108,manner,none,,,none,flag
268788,109,intensity,none,,,none,flag
268788,110,specifier,none,,,none,flag
268788,111,effect,none,,,none,flag
268788,112,coupling,external:god,,268788,inferred,flag
268788,114,discovery,"v2: 'Come into his presence with SINGING (renanah)!' - the sung approach to God, worship as joyful song.",,,,note
268788,115,role,characteristic,,,,value
268788,116,locus,paired with gladness,,,,value
268788,117,device,"literal — the sung approach to God, worship as joyful song.",,,inferred,value
268788,118,direction,"toward-god — the sung approach to God, worship as joyful song.",,,inferred,value
268790,101,sense,gates (shaar),,,,value
268790,114,discovery,"v4: 'Enter his GATES (shaar) with thanksgiving' - the temple gates, place of entry to worship. Standalone.",,,,note
268790,115,role,standalone,,,,value
268791,101,sense,thanksgiving (todah),,,,value
268791,102,type,action,,,,value
268791,104,seat,none,,,none,flag
268791,105,bearer,the worshippers,,268791,inferred,flag
268791,106,operation,enter with thanksgiving,,,,event
268791,107,target,God's gates,,268791,inferred,flag
268791,108,manner,none,,,none,flag
268791,109,intensity,none,,,none,flag
268791,110,specifier,none,,,none,flag
268791,111,effect,none,,,none,flag
268791,112,coupling,external:god,,268791,inferred,flag
268791,114,discovery,"v4: 'Enter his gates with THANKSGIVING (todah)' - the grateful approach into God's courts, thanks as the way in.",,,,note
268791,115,role,characteristic,,,,value
268791,116,locus,paired with praise,,,,value
268791,117,device,"literal — the grateful approach into God's courts, thanks as the way in.",,,inferred,value
268791,118,direction,"static — the grateful approach into God's courts, thanks as",,,inferred,value
268792,101,sense,courts (chatser),,,,value
268792,114,discovery,"v4: 'and his COURTS (chatser) with praise!' - the temple courts, place of worship. Standalone.",,,,note
268792,115,role,standalone,,,,value
268793,101,sense,praise (tehillah),,,,value
268793,102,type,action,,,,value
268793,104,seat,none,,,none,flag
268793,105,bearer,the worshippers,,268793,inferred,flag
268793,106,operation,enter with praise,,,,event
268793,107,target,God's courts,,268793,inferred,flag
268793,108,manner,none,,,none,flag
268793,109,intensity,none,,,none,flag
268793,110,specifier,none,,,none,flag
268793,111,effect,none,,,none,flag
268793,112,coupling,external:god,,268793,inferred,flag
268793,114,discovery,"v4: 'and his courts with PRAISE (tehillah)!' - the praise that fills God's courts, worship as adoration.",,,,note
268793,115,role,characteristic,,,,value
268793,116,locus,paired with thanksgiving,,,,value
268793,117,device,"literal — the praise that fills God's courts, worship as adoration.",,,inferred,value
268793,118,direction,"toward-god — the praise that fills God's courts, worship as ado",,,inferred,value
268794,101,sense,give thanks (yadah),,,,value
268794,102,type,action,,,,value
268794,104,seat,none,,,none,flag
268794,105,bearer,the worshippers,,268794,inferred,flag
268794,106,operation,give thanks,,,,event
268794,107,target,to God,,268794,inferred,flag
268794,108,manner,none,,,none,flag
268794,109,intensity,none,,,none,flag
268794,110,specifier,none,,,none,flag
268794,111,effect,none,,,none,flag
268794,112,coupling,external:god,,268794,inferred,flag
268794,114,discovery,"v4: 'GIVE THANKS (yadah) to him' - the gratitude rendered to God, thanks as the heart of worship.",,,,note
268794,115,role,characteristic,,,,value
268794,116,locus,paired with blessing his name,,,,value
268794,117,device,"literal — the gratitude rendered to God, thanks as the heart of worship.",,,inferred,value
268794,118,direction,"toward-god — the gratitude rendered to God, thanks as the heart",,,inferred,value
268795,101,sense,bless (barak),,,,value
268795,102,type,action,,,,value
268795,104,seat,none,,,none,flag
268795,105,bearer,the worshippers,,268795,inferred,flag
268795,106,operation,bless,,,,event
268795,107,target,God's name,,268795,inferred,flag
268795,108,manner,none,,,none,flag
268795,109,intensity,none,,,none,flag
268795,110,specifier,'of God' — narrows to God,,,inferred,flag
268795,111,effect,none,,,none,flag
268795,112,coupling,external:god,,268795,inferred,flag
268795,114,discovery,"v4: 'BLESS (barak) his name!' - the adoration of God's name, praise as blessing.",,,,note
268795,115,role,characteristic,,,,value
268795,116,locus,paired with giving thanks,,,,value
268795,117,device,"literal — the adoration of God's name, praise as blessing.",,,inferred,value
268795,118,direction,"toward-god — the adoration of God's name, praise as blessing.",,,inferred,value
268797,101,sense,name (shem),,,,value
268797,103,source,God-content qualifier,268797,268795,span,pair
268797,114,discovery,v4: 'bless his NAME (shem)!' - God's name. Qualifier.,,,,note
268797,115,role,qualifier,,,,value
268800,101,sense,good (tob),,,,value
268800,103,source,God-content qualifier,268800,268794,span,pair
268800,114,discovery,v5: 'For the LORD is GOOD (tob)' - God's goodness. Qualifier.,,,,note
268800,115,role,qualifier,,,,value
268801,101,sense,steadfast love (chesed),,,,value
268801,103,source,God-content qualifier,268801,268794,span,pair
268801,114,discovery,v5: 'his STEADFAST LOVE (chesed) endures forever' - God's covenant love. Qualifier.,,,,note
268801,115,role,qualifier,,,,value
268802,101,sense,endures forever (olam),,,,value
268802,103,source,God-content qualifier,268802,268794,span,pair
268802,114,discovery,v5: 'his steadfast love ENDURES FOREVER (olam)' - the perpetuity of God's love. Qualifier.,,,,note
268802,115,role,qualifier,,,,value
268803,101,sense,faithfulness (emunah),,,,value
268803,103,source,God-content qualifier,268803,268794,span,pair
268803,114,discovery,v5: 'and his FAITHFULNESS (emunah) to all generations' - God's faithfulness. Qualifier.,,,,note
268803,115,role,qualifier,,,,value
268808,101,sense,sing (shir),,,,value
268808,102,type,action,,,,value
268808,104,seat,none,,,none,flag
268808,105,bearer,David,,268808,inferred,flag
268808,106,operation,sing,,,,event
268808,107,target,of steadfast love and justice,,268808,inferred,flag
268808,108,manner,none,,,none,flag
268808,109,intensity,"emphatic — 'very' (the king's worship, praising the very virtues he m)",,,inferred,flag
268808,110,specifier,none,,,none,flag
268808,111,effect,none,,,none,flag
268808,112,coupling,external:god,,268808,inferred,flag
268808,114,discovery,"v1: 'I will SING (shir) of steadfast love and justice; to you, O LORD, I will make music' - the king's worship, praising the very virtues he means to embody.",,,,note
268808,115,role,characteristic,,,,value
268808,116,locus,paired with making music to God,,,,value
268808,117,device,"literal — the king's worship, praising the very virtues he means to embody.",,,inferred,value
268808,118,direction,"toward-god — the king's worship, praising the very virtues he m",,,inferred,value
268809,101,sense,steadfast love (chesed),,,,value
268809,103,source,God-content qualifier,268809,268808,span,pair
268809,114,discovery,"v1: 'I will sing of STEADFAST LOVE (chesed)' - God's covenant love, the virtue sung. Qualifier.",,,,note
268809,115,role,qualifier,,,,value
268810,101,sense,justice (mishpat),,,,value
268810,103,source,God-content qualifier,268810,268808,span,pair
268810,114,discovery,"v1: 'of steadfast love and JUSTICE (mishpat)' - God's justice, sung by the king. Qualifier.",,,,note
268810,115,role,qualifier,,,,value
268813,101,sense,make music (zamar),,,,value
268813,102,type,action,,,,value
268813,104,seat,none,,,none,flag
268813,105,bearer,David,,268813,inferred,flag
268813,106,operation,make music,,,,event
268813,107,target,to the LORD,,268813,inferred,flag
268813,108,manner,none,,,none,flag
268813,109,intensity,none,,,none,flag
268813,110,specifier,none,,,none,flag
268813,111,effect,make — the sung devotion that frames the resolve of integrity.,,,inferred,flag
268813,112,coupling,external:god,,268813,inferred,flag
268813,114,discovery,"v1: 'to you, O LORD, I will MAKE MUSIC (zamar)' - the sung devotion that frames the resolve of integrity.",,,,note
268813,115,role,characteristic,,,,value
268813,116,locus,paired with the singing,,,,value
268813,117,device,literal — the sung devotion that frames the resolve of integrity.,,,inferred,value
268813,118,direction,toward-god — the sung devotion that frames the resolve of integ,,,inferred,value
268814,101,sense,ponder (sakal),,,,value
268814,102,type,action,,,,value
268814,104,seat,none,,,none,flag
268814,105,bearer,David,,268814,inferred,flag
268814,106,operation,ponder / give heed,,,,event
268814,107,target,to the blameless way,,268814,inferred,flag
268814,108,manner,none,,,none,flag
268814,109,intensity,none,,,none,flag
268814,110,specifier,none,,,none,flag
268814,111,effect,none,,,none,flag
268814,112,coupling,internal:ib-state,,268814,inferred,flag
268814,114,discovery,"v2: 'I will PONDER (sakal) the way that is blameless' - the deliberate attention to a life of integrity, resolve begun in reflection.",,,,note
268814,115,role,characteristic,,,,value
268814,116,locus,paired with walking with integrity,,,,value
268814,117,device,"literal — the deliberate attention to a life of integrity, resolve begun in reflection.",,,inferred,value
268814,118,direction,"static — the deliberate attention to a life of integrity, r",,,inferred,value
268816,101,sense,blameless (tamim),,,,value
268816,102,type,disposition,,,,value
268816,104,seat,none,,,none,flag
268816,105,bearer,David,,268816,inferred,flag
268816,106,operation,pursue the blameless way,,,,event
268816,107,target,before God,,268816,inferred,flag
268816,108,manner,none,,,none,flag
268816,109,intensity,none,,,none,flag
268816,110,specifier,none,,,none,flag
268816,111,effect,none,,,none,flag
268816,112,coupling,internal:ib-state,,268816,inferred,flag
268816,114,discovery,"v2: 'I will ponder the way that is BLAMELESS (tamim)' - the whole, undivided way of life David sets before himself.",,,,note
268816,115,role,characteristic,,,,value
268816,116,locus,paired with pondering it,,,,value
268816,117,device,"literal — the whole, undivided way of life David sets before himself.",,,inferred,value
268816,118,direction,"static — the whole, undivided way of life David sets before",,,inferred,value
268819,101,sense,walk (halak),,,,value
268819,102,type,action,,,,value
268819,104,seat,none,,,none,flag
268819,105,bearer,David,,268819,inferred,flag
268819,106,operation,walk,,,,event
268819,107,target,with integrity of heart,,268819,inferred,flag
268819,108,manner,none,,,none,flag
268819,109,intensity,none,,,none,flag
268819,110,specifier,none,,,none,flag
268819,111,effect,none,,,none,flag
268819,112,coupling,internal:ib-state,,268819,inferred,flag
268819,114,discovery,"v2: 'I will WALK (halak) with integrity of heart within my house' - the resolve lived out, integrity not merely pondered but practised at home.",,,,note
268819,115,role,characteristic,,,,value
268819,116,locus,paired with integrity of heart,,,,value
268819,117,device,"literal — the resolve lived out, integrity not merely pondered but practised at home.",,,inferred,value
268819,118,direction,"inward — the resolve lived out, integrity not merely ponder",,,inferred,value
268820,101,sense,integrity (tom),,,,value
268820,102,type,disposition,,,,value
268820,104,seat,none,,,none,flag
268820,105,bearer,David,,268820,inferred,flag
268820,106,operation,have integrity,,,,event
268820,107,target,of heart,,268820,inferred,flag
268820,108,manner,none,,,none,flag
268820,109,intensity,none,,,none,flag
268820,110,specifier,none,,,none,flag
268820,111,effect,none,,,none,flag
268820,112,coupling,internal:ib-state,,268820,inferred,flag
