verse_reference,strong,surface,morph_code,question_code,node_cluster_code,obs_cluster_code,observation_id,status,created_at
1Tim.5.13,G0692,idlers,A-NPF,,M67,M67,594,draft,2026-09-18T03:30:19Z
1Tim.5.13,G0692,idlers,A-NPF,,M67,M67,594,draft,2026-09-18T03:30:19Z
1Tim.5.13,G0692,idlers,A-NPF,D10.3.2,M67,M67,670,draft,2026-09-18T03:52:56Z
1Tim.5.13,G0692,idlers,A-NPF,D10.6.2,M67,M67,672,draft,2026-09-18T03:52:56Z
1Tim.5.13,G0692,idlers,A-NPF,D11.1.1,M67,M67,673,draft,2026-09-18T03:52:56Z
1Tim.5.13,G0692,idlers,A-NPF,D2.1.1,M67,M67,627,draft,2026-09-18T03:48:26Z
1Tim.5.13,G0692,idlers,A-NPF,D2.1.2,M67,M67,630,draft,2026-09-18T03:48:26Z
1Tim.5.13,G0692,idlers,A-NPF,D2.1.2,M67,M67,674,draft,2026-09-18T03:52:56Z
1Tim.5.13,G0692,idlers,A-NPF,D3.1.2,M67,M67,675,draft,2026-09-18T03:52:56Z
1Tim.5.13,G0692,idlers,A-NPF,D3.2.1,M67,M67,677,draft,2026-09-18T03:52:56Z
1Tim.5.13,G0692,idlers,A-NPF,D3.2.3,M67,M67,679,draft,2026-09-18T03:52:56Z
1Tim.5.13,G0692,idlers,A-NPF,D4.1.1,M67,M67,680,draft,2026-09-18T03:52:56Z
1Tim.5.13,G0692,idlers,A-NPF,D4.1.2,M67,M67,681,draft,2026-09-18T03:52:56Z
1Tim.5.13,G0692,idlers,A-NPF,D4.1.3,M67,M67,682,draft,2026-09-18T03:52:56Z
1Tim.5.13,G0692,idlers,A-NPF,D5.3.3,M67,M67,688,draft,2026-09-18T03:52:56Z
1Tim.5.13,G0692,idlers,A-NPF,D6.1.2,M67,M67,689,draft,2026-09-18T03:52:56Z
1Tim.5.13,G0692,idlers,A-NPF,D7.2.2,M67,M67,693,draft,2026-09-18T03:52:56Z
1Tim.5.13,G0692,idlers,A-NPF,D7.2.3,M67,M67,694,draft,2026-09-18T03:52:56Z
1Tim.5.13,G0692,idlers,A-NPF,D7.3.2,M67,M67,695,draft,2026-09-18T03:52:56Z
1Tim.5.13,G0692,idlers,A-NPF,D7.3.3,M67,M67,696,draft,2026-09-18T03:52:56Z
1Tim.5.13,G0692,idlers,A-NPF,D7.4.2b,M67,M67,697,draft,2026-09-18T03:52:56Z
1Tim.5.13,G0692,idlers,A-NPF,D7.5.2,M67,M67,699,draft,2026-09-18T03:52:56Z
1Tim.5.13,G0692,idlers,A-NPF,D7.7.1,M67,M67,333,draft,2026-09-17T16:29:40Z
1Tim.5.13,G0692,idlers,A-NPF,D7.7.1,M67,M67,7607,draft,2026-09-21T17:50:49Z
1Tim.5.13,G0692,idlers,A-NPF,D7.7.1,M67,M67,8071,draft,2026-09-21T18:11:37Z
1Tim.5.13,G0692,idlers,A-NPF,M0.1.1,M67,M67,319,draft,2026-09-17T16:29:40Z
1Tim.5.13,G0692,idlers,A-NPF,M0.1.2,M67,M67,320,draft,2026-09-17T16:29:40Z
1Tim.5.13,G0692,idlers,A-NPF,M0.1.3,M67,M67,321,draft,2026-09-17T16:29:40Z
1Tim.5.13,G0692,idlers,A-NPF,M0.2.1,M67,M67,701,draft,2026-09-18T03:52:56Z
1Tim.5.13,G0692,idlers,A-NPF,M0.3.3,M67,M67,705,draft,2026-09-18T03:52:56Z
1Tim.5.13,G0692,idlers,A-NPF,M0.5.1,M67,M67,322,draft,2026-09-17T16:29:40Z
1Tim.5.13,G0692,idlers,A-NPF,M0.5.10,M67,M67,331,draft,2026-09-17T16:29:40Z
1Tim.5.13,G0692,idlers,A-NPF,M0.5.11,M67,M67,8090,draft,2026-09-21T18:11:37Z
1Tim.5.13,G0692,idlers,A-NPF,M0.5.2,M67,M67,323,draft,2026-09-17T16:29:40Z
1Tim.5.13,G0692,idlers,A-NPF,M0.5.4,M67,M67,325,draft,2026-09-17T16:29:40Z
1Tim.5.13,G0692,idlers,A-NPF,M0.5.5,M67,M67,326,draft,2026-09-17T16:29:40Z
1Tim.5.13,G0692,idlers,A-NPF,M0.5.6,M67,M67,327,draft,2026-09-17T16:29:40Z
1Tim.5.13,G0692,idlers,A-NPF,M0.5.7,M67,M67,328,draft,2026-09-17T16:29:40Z
1Tim.5.13,G0692,idlers,A-NPF,M0.5.8,M67,M67,329,draft,2026-09-17T16:29:40Z
1Tim.5.13,G0692,idlers,A-NPF,M0.5.9,M67,M67,330,draft,2026-09-17T16:29:40Z
1Tim.5.13,G0692,idlers,A-NPF,M0.6.5,M67,M67,334,draft,2026-09-17T16:29:40Z
1Tim.5.13,G0692,idlers,A-NPF,M0.6.5,M67,M67,7605,draft,2026-09-21T17:50:49Z
1Tim.5.13,G0692,idlers,A-NPF,M0.6.5,M67,M67,8072,draft,2026-09-21T18:11:37Z
1Tim.5.13,G0692,idlers,A-NPF,M0.6.6,M67,M67,7606,draft,2026-09-21T17:50:49Z
1Tim.5.13,G0692,idlers,A-NPF,M0.6.6,M67,M67,8073,draft,2026-09-21T18:11:37Z
1Tim.5.13,G0692,idlers,A-NPF,M0.7.1,M67,M67,8074,draft,2026-09-21T18:11:37Z
1Tim.5.13,G0692,idlers,A-NPF,M0.7.10,M67,M67,8083,draft,2026-09-21T18:11:37Z
1Tim.5.13,G0692,idlers,A-NPF,M0.7.11,M67,M67,8084,draft,2026-09-21T18:11:37Z
1Tim.5.13,G0692,idlers,A-NPF,M0.7.12,M67,M67,8085,draft,2026-09-21T18:11:37Z
1Tim.5.13,G0692,idlers,A-NPF,M0.7.13,M67,M67,8086,draft,2026-09-21T18:11:37Z
1Tim.5.13,G0692,idlers,A-NPF,M0.7.14,M67,M67,8087,draft,2026-09-21T18:11:37Z
1Tim.5.13,G0692,idlers,A-NPF,M0.7.15,M67,M67,8088,draft,2026-09-21T18:11:37Z
1Tim.5.13,G0692,idlers,A-NPF,M0.7.16,M67,M67,8089,draft,2026-09-21T18:11:37Z
1Tim.5.13,G0692,idlers,A-NPF,M0.7.2,M67,M67,8075,draft,2026-09-21T18:11:37Z
1Tim.5.13,G0692,idlers,A-NPF,M0.7.3,M67,M67,8076,draft,2026-09-21T18:11:37Z
1Tim.5.13,G0692,idlers,A-NPF,M0.7.4,M67,M67,8077,draft,2026-09-21T18:11:37Z
1Tim.5.13,G0692,idlers,A-NPF,M0.7.5,M67,M67,8078,draft,2026-09-21T18:11:37Z
1Tim.5.13,G0692,idlers,A-NPF,M0.7.6,M67,M67,8079,draft,2026-09-21T18:11:37Z
1Tim.5.13,G0692,idlers,A-NPF,M0.7.7,M67,M67,8080,draft,2026-09-21T18:11:37Z
1Tim.5.13,G0692,idlers,A-NPF,M0.7.8,M67,M67,8081,draft,2026-09-21T18:11:37Z
