verse_reference,strong,surface,morph_code,is_home_strong,question_code,expected_reason
2Pet.1.8,G0692,ineffective,A-APM,Y,M0.7.1,"per-occurrence, always expected"
2Pet.1.8,G0692,ineffective,A-APM,Y,M0.7.10,"per-occurrence, always expected"
2Pet.1.8,G0692,ineffective,A-APM,Y,M0.7.11,"per-occurrence, always expected"
2Pet.1.8,G0692,ineffective,A-APM,Y,M0.7.12,"per-occurrence, always expected"
2Pet.1.8,G0692,ineffective,A-APM,Y,M0.7.13,"per-occurrence, always expected"
2Pet.1.8,G0692,ineffective,A-APM,Y,M0.7.14,"per-occurrence, always expected"
2Pet.1.8,G0692,ineffective,A-APM,Y,M0.7.15,"per-occurrence, always expected"
2Pet.1.8,G0692,ineffective,A-APM,Y,M0.7.16,"per-occurrence, always expected"
2Pet.1.8,G0692,ineffective,A-APM,Y,M0.7.2,"per-occurrence, always expected"
2Pet.1.8,G0692,ineffective,A-APM,Y,M0.7.3,"per-occurrence, always expected"
2Pet.1.8,G0692,ineffective,A-APM,Y,M0.7.4,"per-occurrence, always expected"
2Pet.1.8,G0692,ineffective,A-APM,Y,M0.7.5,"per-occurrence, always expected"
2Pet.1.8,G0692,ineffective,A-APM,Y,M0.7.6,"per-occurrence, always expected"
2Pet.1.8,G0692,ineffective,A-APM,Y,M0.7.7,"per-occurrence, always expected"
2Pet.1.8,G0692,ineffective,A-APM,Y,M0.7.8,"per-occurrence, always expected"
2Pet.1.8,G0692,ineffective,A-APM,Y,M0.7.9,"per-occurrence, always expected"
2Pet.1.8,G1922,knowledge,N-ASF,N,M0.7.1,"per-occurrence, always expected"
2Pet.1.8,G1922,knowledge,N-ASF,N,M0.7.10,"per-occurrence, always expected"
2Pet.1.8,G1922,knowledge,N-ASF,N,M0.7.11,"per-occurrence, always expected"
2Pet.1.8,G1922,knowledge,N-ASF,N,M0.7.12,"per-occurrence, always expected"
2Pet.1.8,G1922,knowledge,N-ASF,N,M0.7.13,"per-occurrence, always expected"
2Pet.1.8,G1922,knowledge,N-ASF,N,M0.7.14,"per-occurrence, always expected"
2Pet.1.8,G1922,knowledge,N-ASF,N,M0.7.15,"per-occurrence, always expected"
2Pet.1.8,G1922,knowledge,N-ASF,N,M0.7.16,"per-occurrence, always expected"
2Pet.1.8,G1922,knowledge,N-ASF,N,M0.7.2,"per-occurrence, always expected"
2Pet.1.8,G1922,knowledge,N-ASF,N,M0.7.3,"per-occurrence, always expected"
2Pet.1.8,G1922,knowledge,N-ASF,N,M0.7.4,"per-occurrence, always expected"
2Pet.1.8,G1922,knowledge,N-ASF,N,M0.7.5,"per-occurrence, always expected"
2Pet.1.8,G1922,knowledge,N-ASF,N,M0.7.6,"per-occurrence, always expected"
2Pet.1.8,G1922,knowledge,N-ASF,N,M0.7.7,"per-occurrence, always expected"
2Pet.1.8,G1922,knowledge,N-ASF,N,M0.7.8,"per-occurrence, always expected"
2Pet.1.8,G1922,knowledge,N-ASF,N,M0.7.9,"per-occurrence, always expected"
2Pet.1.8,G0692,ineffective,A-APM,Y,M0.6.5,"home relational, always expected"
2Pet.1.8,G0692,ineffective,A-APM,Y,M0.6.6,"home whole-network, other M-code strong present in verse"
2Pet.1.8,G0692,ineffective,A-APM,Y,D7.7.1,"home operation-permeability, T3 + party tag both present in verse"
2Cor.7.11,G4710,earnestness,N-ASF,Y,M0.7.1,"per-occurrence, always expected"
2Cor.7.11,G4710,earnestness,N-ASF,Y,M0.7.10,"per-occurrence, always expected"
2Cor.7.11,G4710,earnestness,N-ASF,Y,M0.7.11,"per-occurrence, always expected"
2Cor.7.11,G4710,earnestness,N-ASF,Y,M0.7.12,"per-occurrence, always expected"
2Cor.7.11,G4710,earnestness,N-ASF,Y,M0.7.13,"per-occurrence, always expected"
2Cor.7.11,G4710,earnestness,N-ASF,Y,M0.7.14,"per-occurrence, always expected"
2Cor.7.11,G4710,earnestness,N-ASF,Y,M0.7.15,"per-occurrence, always expected"
2Cor.7.11,G4710,earnestness,N-ASF,Y,M0.7.16,"per-occurrence, always expected"
2Cor.7.11,G4710,earnestness,N-ASF,Y,M0.7.2,"per-occurrence, always expected"
2Cor.7.11,G4710,earnestness,N-ASF,Y,M0.7.3,"per-occurrence, always expected"
2Cor.7.11,G4710,earnestness,N-ASF,Y,M0.7.4,"per-occurrence, always expected"
2Cor.7.11,G4710,earnestness,N-ASF,Y,M0.7.5,"per-occurrence, always expected"
2Cor.7.11,G4710,earnestness,N-ASF,Y,M0.7.6,"per-occurrence, always expected"
2Cor.7.11,G4710,earnestness,N-ASF,Y,M0.7.7,"per-occurrence, always expected"
2Cor.7.11,G4710,earnestness,N-ASF,Y,M0.7.8,"per-occurrence, always expected"
2Cor.7.11,G4710,earnestness,N-ASF,Y,M0.7.9,"per-occurrence, always expected"
2Cor.7.11,G3076,grief,V-APN,N,M0.7.1,"per-occurrence, always expected"
2Cor.7.11,G3076,grief,V-APN,N,M0.7.10,"per-occurrence, always expected"
2Cor.7.11,G3076,grief,V-APN,N,M0.7.11,"per-occurrence, always expected"
2Cor.7.11,G3076,grief,V-APN,N,M0.7.12,"per-occurrence, always expected"
2Cor.7.11,G3076,grief,V-APN,N,M0.7.13,"per-occurrence, always expected"
