verse_reference,strong,question_code,status,live_node_count
1Chr.10.13,H1875,D7.7.1,UNEXPECTED,1
1Chr.10.13,H1875,M0.1.2,UNEXPECTED,1
1Chr.10.13,H1875,M0.5.10,UNEXPECTED,1
1Chr.10.13,H1875,M0.5.11,UNEXPECTED,1
1Chr.10.13,H1875,M0.5.3,UNEXPECTED,1
1Chr.10.13,H1875,M0.6.5,UNEXPECTED,1
1Chr.10.14,H1875,D7.7.1,UNEXPECTED,1
1Chr.10.14,H1875,M0.1.1,UNEXPECTED,1
1Chr.10.14,H1875,M0.1.2,UNEXPECTED,1
1Chr.10.14,H1875,M0.1.3,UNEXPECTED,1
1Chr.10.14,H1875,M0.5.11,UNEXPECTED,1
1Chr.10.14,H1875,M0.5.4,UNEXPECTED,1
1Chr.10.14,H1875,M0.5.5,UNEXPECTED,1
1Chr.10.14,H1875,M0.6.5,UNEXPECTED,1
1Chr.13.3,H1875,M0.5.11,UNEXPECTED,1
1Chr.13.3,H1875,M0.5.2,UNEXPECTED,1
1Chr.13.3,H1875,M0.5.5,UNEXPECTED,1
1Chr.13.3,H1875,M0.6.5,UNEXPECTED,1
1Chr.14.8,H1245,D7.7.1,UNEXPECTED,1
1Chr.14.8,H1245,M0.1.2,UNEXPECTED,1
1Chr.14.8,H1245,M0.5.11,UNEXPECTED,1
1Chr.14.8,H1245,M0.5.4,UNEXPECTED,1
1Chr.14.8,H1245,M0.5.9,UNEXPECTED,1
1Chr.14.8,H1245,M0.6.5,UNEXPECTED,1
1Chr.15.13,H1875,D7.7.1,UNEXPECTED,1
1Chr.15.13,H1875,M0.5.11,UNEXPECTED,1
1Chr.15.13,H1875,M0.6.5,UNEXPECTED,1
1Chr.16.10,H1245,D7.7.1,UNEXPECTED,1
1Chr.16.10,H1245,M0.1.2,UNEXPECTED,1
1Chr.16.10,H1245,M0.1.3,UNEXPECTED,1
1Chr.16.10,H1245,M0.5.1,UNEXPECTED,1
1Chr.16.10,H1245,M0.5.10,UNEXPECTED,1
1Chr.16.10,H1245,M0.5.11,UNEXPECTED,1
1Chr.16.10,H1245,M0.5.2,UNEXPECTED,1
1Chr.16.10,H1245,M0.5.6,UNEXPECTED,1
1Chr.16.10,H1245,M0.5.7,UNEXPECTED,1
1Chr.16.10,H1245,M0.6.5,UNEXPECTED,1
1Chr.16.11,H1245,M0.5.7,UNEXPECTED,1
1Chr.16.11,H1875,M0.1.2,UNEXPECTED,1
1Chr.16.11,H1875,M0.5.1,UNEXPECTED,1
1Chr.16.11,H1875,M0.5.11,UNEXPECTED,1
1Chr.16.11,H1875,M0.5.3,UNEXPECTED,1
1Chr.16.11,H1875,M0.5.5,UNEXPECTED,1
1Chr.16.11,H1875,M0.5.7,UNEXPECTED,1
1Chr.16.11,H1875,M0.5.9,UNEXPECTED,1
1Chr.16.11,H1875,M0.6.5,UNEXPECTED,1
1Chr.16.34,H3034,M0.1.1,UNEXPECTED,1
1Chr.16.34,H3034,M0.5.11,UNEXPECTED,1
1Chr.16.34,H3034,M0.5.8,UNEXPECTED,1
1Chr.16.34,H3034,M0.6.5,UNEXPECTED,1
1Chr.16.35,H3034,D7.7.1,UNEXPECTED,1
1Chr.16.35,H3034,M0.1.2,UNEXPECTED,1
1Chr.16.35,H3034,M0.5.5,UNEXPECTED,1
1Chr.16.35,H3034,M0.5.9,UNEXPECTED,1
1Chr.16.35,H3034,M0.6.5,UNEXPECTED,1
1Chr.16.35,H3467,M0.1.1,UNEXPECTED,1
1Chr.16.35,H3467,M0.5.1,UNEXPECTED,1
1Chr.16.35,H5337,M0.1.1,UNEXPECTED,1
1Chr.16.35,H5337,M0.5.1,UNEXPECTED,1
1Chr.16.35,H7623B,M0.1.1,UNEXPECTED,1
1Chr.16.35,H7623B,M0.5.1,UNEXPECTED,1
1Chr.16.35,H8416,M0.1.1,UNEXPECTED,1
1Chr.16.35,H8416,M0.5.1,UNEXPECTED,1
1Chr.16.4,H2142,M0.1.1,UNEXPECTED,1
1Chr.16.4,H2142,M0.5.1,UNEXPECTED,1
1Chr.16.4,H3034,D7.7.1,UNEXPECTED,3
1Chr.16.4,H3034,M0.1.2,UNEXPECTED,2
1Chr.16.4,H3034,M0.5.1,UNEXPECTED,1
1Chr.16.4,H3034,M0.5.11,UNEXPECTED,2
1Chr.16.4,H3034,M0.5.5,UNEXPECTED,1
1Chr.16.4,H3034,M0.5.8,UNEXPECTED,1
1Chr.16.4,H3034,M0.6.5,UNEXPECTED,3
1Chr.16.4,H6440G,M0.5.1,UNEXPECTED,1
1Chr.16.4,H8334,M0.1.1,UNEXPECTED,1
1Chr.16.4,H8334,M0.5.1,UNEXPECTED,1
1Chr.16.41,H1305,M0.1.1,UNEXPECTED,1
1Chr.16.41,H1305,M0.5.1,UNEXPECTED,1
1Chr.16.41,H3034,M0.5.1,UNEXPECTED,1
1Chr.16.41,H3034,M0.5.8,UNEXPECTED,1
1Chr.16.41,H3034,M0.6.5,UNEXPECTED,1
1Chr.16.41,H5344A,M0.1.1,UNEXPECTED,1
1Chr.16.41,H5344A,M0.5.1,UNEXPECTED,1
1Chr.16.7,H3027J,M0.1.1,UNEXPECTED,1
1Chr.16.7,H3027J,M0.5.1,UNEXPECTED,1
1Chr.16.7,H3034,M0.1.1,UNEXPECTED,1
1Chr.16.7,H3034,M0.5.1,UNEXPECTED,1
1Chr.16.7,H3034,M0.5.11,UNEXPECTED,1
1Chr.16.7,H3034,M0.5.6,UNEXPECTED,1
1Chr.16.7,H3034,M0.5.9,UNEXPECTED,1
1Chr.16.7,H3034,M0.6.5,UNEXPECTED,1
1Chr.16.8,H3034,D7.7.1,UNEXPECTED,1
1Chr.16.8,H3034,M0.1.3,UNEXPECTED,1
1Chr.16.8,H3034,M0.5.7,UNEXPECTED,1
1Chr.16.8,H3034,M0.6.5,UNEXPECTED,1
1Chr.16.8,H5949,M0.5.1,UNEXPECTED,1
1Chr.16.8,H7121G,M0.5.1,UNEXPECTED,1
1Chr.21.3,H0819,M0.1.1,UNEXPECTED,1
1Chr.21.3,H0819,M0.5.1,UNEXPECTED,1
1Chr.21.3,H1245,D7.7.1,UNEXPECTED,1
1Chr.21.3,H1245,M0.1.3,UNEXPECTED,1
1Chr.21.3,H1245,M0.5.11,UNEXPECTED,1
1Chr.21.3,H1245,M0.6.5,UNEXPECTED,1
1Chr.21.30,H1875,D7.7.1,UNEXPECTED,1
1Chr.21.30,H1875,M0.5.11,UNEXPECTED,1
1Chr.21.30,H1875,M0.6.5,UNEXPECTED,1
1Chr.22.19,H1875,M0.5.11,UNEXPECTED,1
1Chr.22.19,H1875,M0.6.5,UNEXPECTED,1
1Chr.23.30,H3034,D7.7.1,UNEXPECTED,3
1Chr.23.30,H3034,M0.5.10,UNEXPECTED,1
1Chr.23.30,H3034,M0.5.11,UNEXPECTED,2
1Chr.23.30,H3034,M0.5.2,UNEXPECTED,2
1Chr.23.30,H3034,M0.6.5,UNEXPECTED,3
1Chr.25.3,H3027H,M0.1.1,UNEXPECTED,1
1Chr.25.3,H3027H,M0.5.1,UNEXPECTED,1
1Chr.25.3,H3034,D7.7.1,UNEXPECTED,3
1Chr.25.3,H3034,M0.5.11,UNEXPECTED,2
1Chr.25.3,H3034,M0.5.2,UNEXPECTED,1
1Chr.25.3,H3034,M0.5.6,UNEXPECTED,2
1Chr.25.3,H3034,M0.6.5,UNEXPECTED,3
1Chr.25.3,H5012,M0.1.1,UNEXPECTED,1
1Chr.25.3,H5012,M0.5.1,UNEXPECTED,1
1Chr.26.31,H1875,D7.7.1,UNEXPECTED,1
1Chr.26.31,H1875,M0.1.2,UNEXPECTED,1
1Chr.26.31,H1875,M0.5.11,UNEXPECTED,1
1Chr.26.31,H1875,M0.5.2,UNEXPECTED,1
1Chr.26.31,H1875,M0.5.6,UNEXPECTED,1
1Chr.26.31,H1875,M0.6.5,UNEXPECTED,1
1Chr.28.8,H1875,D7.7.1,UNEXPECTED,1
1Chr.28.8,H1875,M0.1.2,UNEXPECTED,1
1Chr.28.8,H1875,M0.5.11,UNEXPECTED,1
1Chr.28.8,H1875,M0.5.3,UNEXPECTED,1
1Chr.28.8,H1875,M0.6.5,UNEXPECTED,1
1Chr.28.9,H1875,M0.1.3,UNEXPECTED,1
1Chr.28.9,H1875,M0.5.10,UNEXPECTED,1
1Chr.28.9,H1875,M0.5.11,UNEXPECTED,1
1Chr.28.9,H1875,M0.5.4,UNEXPECTED,1
1Chr.28.9,H1875,M0.5.5,UNEXPECTED,1
1Chr.28.9,H1875,M0.5.8,UNEXPECTED,1
1Chr.28.9,H1875,M0.6.5,UNEXPECTED,1
1Chr.28.9,H2186A,M0.1.1,UNEXPECTED,1
1Chr.28.9,H2186A,M0.5.1,UNEXPECTED,1
1Chr.28.9,H3336,M0.1.1,UNEXPECTED,1
1Chr.28.9,H3336,M0.5.1,UNEXPECTED,1
1Chr.28.9,H4284,M0.1.1,UNEXPECTED,1
1Chr.28.9,H4284,M0.5.1,UNEXPECTED,1
1Chr.28.9,H8003,M0.1.1,UNEXPECTED,1
1Chr.28.9,H8003,M0.1.3,UNEXPECTED,1
1Chr.28.9,H8003,M0.5.1,UNEXPECTED,1
1Chr.29.13,H3034,D7.7.1,UNEXPECTED,3
1Chr.29.13,H3034,M0.1.3,UNEXPECTED,1
1Chr.29.13,H3034,M0.5.1,UNEXPECTED,1
1Chr.29.13,H3034,M0.5.11,UNEXPECTED,2
1Chr.29.13,H3034,M0.5.3,UNEXPECTED,1
1Chr.29.13,H3034,M0.5.9,UNEXPECTED,1
1Chr.29.13,H3034,M0.6.5,UNEXPECTED,3
1Chr.4.39,H1245,D7.7.1,UNEXPECTED,1
1Chr.4.39,H1245,M0.5.10,UNEXPECTED,1
1Chr.4.39,H1245,M0.5.11,UNEXPECTED,1
1Chr.4.39,H1245,M0.6.5,UNEXPECTED,1
1Cor.1.14,G2168,M0.1.1,UNEXPECTED,1
1Cor.1.14,G2168,M0.5.11,UNEXPECTED,1
1Cor.1.14,G2168,M0.5.5,UNEXPECTED,1
1Cor.1.14,G2168,M0.5.8,UNEXPECTED,1
1Cor.1.14,G2168,M0.6.5,UNEXPECTED,1
1Cor.1.22,G2212,D7.7.1,UNEXPECTED,1
1Cor.1.22,G2212,M0.5.1,UNEXPECTED,1
1Cor.1.22,G2212,M0.5.11,UNEXPECTED,1
1Cor.1.22,G2212,M0.5.3,UNEXPECTED,1
1Cor.1.22,G2212,M0.5.8,UNEXPECTED,1
1Cor.1.22,G2212,M0.5.9,UNEXPECTED,1
1Cor.1.22,G2212,M0.6.5,UNEXPECTED,1
1Cor.1.4,G2168,D7.7.1,UNEXPECTED,1
1Cor.1.4,G2168,M0.1.1,UNEXPECTED,1
1Cor.1.4,G2168,M0.1.3,UNEXPECTED,2
1Cor.1.4,G2168,M0.5.10,UNEXPECTED,1
1Cor.1.4,G2168,M0.5.11,UNEXPECTED,3
1Cor.1.4,G2168,M0.5.3,UNEXPECTED,1
1Cor.1.4,G2168,M0.5.6,UNEXPECTED,1
1Cor.1.4,G2168,M0.6.5,UNEXPECTED,3
