cluster_code,strong,span_count,verse_count,obs_verse_reading,obs_char_reading,obs_char_answers,total_obs,obs_per_span
M49,G2168,39,38,332,9,11,353,9.05
M49,G2169,15,15,154,5,57,217,14.47
M49,G2170,1,1,45,4,52,102,102.0
M49,H3034,114,111,677,14,8,700,6.14
M49,H8426,32,30,305,5,52,363,11.34
M67,G0691,1,1,16,3,3,23,23.0
M67,G0692,8,7,52,2,8,63,7.88
M67,G0812,1,1,16,4,2,22,22.0
M67,G3636,3,3,33,2,4,40,13.33
M67,G4709,3,3,48,4,2,55,18.33
M67,G4710,12,12,73,4,2,80,6.67
M67,H0149,1,1,2,2,0,4,4.0
M67,H0629,7,7,43,3,0,47,6.71
M67,H8220,1,1,15,2,3,21,21.0
M83,G1567,7,7,71,3,3,78,11.14
M83,G1934,14,13,126,2,1,130,9.29
M83,G2212,116,113,595,0,0,596,5.14
M83,G2614,1,1,16,3,52,72,72.0
M83,H1245,225,215,985,0,0,986,4.38
M83,H1875,164,152,844,43,56,944,5.76
M83,H7836,12,12,172,4,2,179,14.92
