osisId,verse_lexical_id,position,code_ordinal,strong,morph_code,role,status,surface,language,testament,is_negator,narrative_morph,gloss_consistent_in_verse,party_kind,cluster,resolved_sense
Gen.46.18,885439,0,0,H0428,HTm,content,resolved,These,Hebrew,OT,,,1,,,"stepGloss: these — these; used before antecedent; used following antecedent; Aramaic equivalent: el.leh (אֵלֶּה ""these"" H0429)"
Gen.46.18,885440,1,0,H1121A,HNcmpc,content,resolved,sons,Hebrew,OT,,,1,,,"stepGloss: son: child — A sub-meaning of ben (בֵּן "": child"" H1121); § : child/son"
Gen.46.18,885441,2,0,H2153,HNpf,content,resolved,Zilpah,Hebrew,OT,,,1,,,"stepGloss: Zilpah — A woman living at the time of the Patriarchs, first mentioned at Gen.29.24;; only referred to as Zilpah (זִלְפָּה);; wife of Israel ;; mother of Gad and Asher . § the Syrian given by Laban to Leah as a handmaid, a concubine of Jacob, mother of Asher and Gad"
Gen.46.18,885442,3,0,H0834A,HTr,content,resolved,whom,Hebrew,OT,,,1,,,"stepGloss: which — A: 1) (relative part.); which, who; that which; (conj); that (in obj clause); when; since; as; conditional if; B: Beth+ 1) in (that) which; (adv); where; (conj); in that, inasmuch as; on account of; C: Mem+ 1) from (or than) that which; from (the place) where; from (the fact) that, since; D: Kaph+; (conj.), according as, as, when; according to that which, according as, as; with a causal force: in so far as, since; with a temporal force: when"
Gen.46.18,885443,4,0,H3837A,HNpm,content,resolved,Laban,Hebrew,OT,,,1,,,"stepGloss: Laban — A man living at the time of the Patriarchs, first mentioned at Gen.24.29;; only referred to as Laban (לָבָן);; son of Bethuel ;; a brother of Rebekah ;; father of Rachel and Leah . § son of Bethuel, brother of Rebekah, and father of Leah and Rachel"
Gen.46.18,885444,5,0,H5414G,HVqp3ms,content,resolved,gave,Hebrew,OT,,,1,,Operations,"stepGloss: to give: give — to give, put, set; to give, bestow, grant, permit, ascribe, employ, devote, consecrate, dedicate, pay wages, sell, exchange, lend, commit, entrust, give over, deliver up, yield produce, occasion, produce, requite to, report, mention, utter, stretch out, extend; to put, set, put on, put upon, set, appoint, assign, designate; to make, constitute"
Gen.46.18,885445,6,0,H3812,HNpf,content,resolved,Leah,Hebrew,OT,,,1,,,"stepGloss: Leah — A woman living at the time of the Patriarchs, first mentioned at Gen.29.16;; only referred to as Leah (לֵאָה);; daughter of Laban ;; a sister of Rachel ;; wife of Israel ;; mother of Reuben , Simeon , Levi , Judah , Issachar , Zebulun and Dinah . § daughter of Laban, first wife of Jacob, and mother of Reuben, Simeon, Levi, Judah, Issachar, Zebulun, and Dinah"
Gen.46.18,885446,6,1,H9005,HR,function,resolved,Leah,Hebrew,OT,,,1,,,stepGloss: to/for — Prefix lamed: to
Gen.46.18,885447,7,0,H1323G,HNcfsc,content,resolved,daughter,Hebrew,OT,,,1,,,"stepGloss: daughter — daughter; daughter, girl, adopted daughter, daughter-in-law, sister, granddaughters, female child, cousin; as polite address; as designation of women of a particular place; young women, women; as personification; daughter-villages; description of character; Also means: bat (בַּת "": village"" H1323H)"
Gen.46.18,885448,8,0,H3205,HVqw3fs,content,resolved,bore,Hebrew,OT,,wayyiqtol,1,,Operations,"stepGloss: to beget — to bear, bringforth, beget, gender, travail; to bear, bring forth; of child birth; of distress (simile); of wicked (behaviour); to beget"
Gen.46.18,885449,8,1,H9023,HSp3ms,function,resolved,bore,Hebrew,OT,,,1,,,"stepGloss: his — Personal possessive pronoun - suffix for nouns, adjectives and passive participles: 3rd person masculine singular"
Gen.46.18,885450,9,0,H3290,HNpm,content,resolved,Jacob,Hebrew,OT,,,1,,,"stepGloss: Jacob — A man living at the time of the Patriarchs, first mentioned at Gen.25.26;; referred to as Israel or [ ] or Israelite or ""God"" (KJV= Israel) (יִשְׂרָאֵל), or Israel (Aramiac יִשְׂרָאֵל), or Jacob or ""he"" (KJV= Jacob) (יַעֲקֹב), or Jeshurun (יְשֻׁרוּן), or Israelite (יִשְׂרְאֵלִי), or Israelitess (יִשְׂרְאֵלִית), or Israel or Israelite (Ἰσραήλ), or Jacob (Ἰακώβ), or Israelite or Israel (Ἰσραηλίτης);; son of Isaac and Rebekah ;; a brother of Esau ;; husband of Rachel , Leah , Zilpah and Bilhah ;; father of Reuben , Simeon , Levi , Judah , Dan , Naphtali , Gad , Asher , Issachar , Zebulun , Dinah , Joseph and Benjamin . § son of Isaac, grandson of Abraham, and father of the 12 patriarchs of the tribes of Israel"
Gen.46.18,885451,9,1,H9005,HR,function,resolved,Jacob,Hebrew,OT,,,1,,,stepGloss: to/for — Prefix lamed: to
Gen.46.18,885452,9,2,H0853,HTo,function,resolved,Jacob,Hebrew,OT,,,1,,Supplementary,"stepGloss: [Obj.] — sign of the definite direct object, not translated in English but generally preceding and indicating the accusative; Aramaic equivalent: yat (יָת ""whom"" H3487)"
Gen.46.18,885453,9,3,H0428,HTm,content,resolved,Jacob,Hebrew,OT,,,1,,,"stepGloss: these — these; used before antecedent; used following antecedent; Aramaic equivalent: el.leh (אֵלֶּה ""these"" H0429)"
Gen.46.18,885454,10,0,H6240,HAcbsc,content,resolved,sixteen,Hebrew,OT,,,1,,,"stepGloss: ten — ten, -teen (in combination with other numbers); used only in combination to make the numbers 11-19"
Gen.46.18,885455,10,1,H8337,HAcbsc,content,resolved,sixteen,Hebrew,OT,,,1,,,"stepGloss: six — six; six (cardinal number); sixth (ordinal number); in combination with other numbers; Aramaic equivalent: shet (שֵׁת ""six"" H8353)"
Gen.46.18,885456,11,0,H5315J,HNcfsa,content,resolved,persons,Hebrew,OT,,,1,,Constitution,"stepGloss: soul: person — soul, self, life, creature, person, appetite, mind, living being, desire, emotion, passion; that which breathes, the breathing substance or being, soul, the inner being of man; living being; living being (with life in the blood); the man himself, self, person or individual; seat of the appetites; seat of emotions and passions; activity of mind; uncertain; activity of the will; uncertain; activity of the character; uncertain"
Lev.17.16,891333,0,0,H3808,HTn,content,resolved,not,Hebrew,OT,1,,1,,Negator,"stepGloss: not — not, no; not (with verb-absolute prohibition); not (with modifier-negation); nothing (subst); without (with particle); before (of time); Aramaic equivalent: la (לָא ""not"" H3809)"
Lev.17.16,891334,1,0,H3526H,HVpi3ms,content,resolved,wash,Hebrew,OT,,,1,,Operations,"stepGloss: to wash — to wash (by treading), be washed, perform the work of a fuller; to wash (garments, person)"
Lev.17.16,891335,1,1,H0518A,HTc,content,resolved,wash,Hebrew,OT,,,1,,Supplementary,"stepGloss: if — if; conditional clauses; of possible situations; of impossible situations; oath contexts; no, not; if...if, whether...or, whether...or...or; when, whenever; since; interrogative particle; but rather"
Lev.17.16,891336,1,2,H9002,HC,function,resolved,wash,Hebrew,OT,,,1,,Connective,"stepGloss: and — Conjunctive vav - i.e. followed by prefix, suffix or non-verb (conjunctive) (‘and/but’)"
Lev.17.16,891337,2,0,H7364,HVqi3ms,content,resolved,bathe,Hebrew,OT,,,1,,Operations,"stepGloss: to wash: wash — to wash, wash off, wash away, bathe; to wash, wash off, wash away; to wash, bathe (oneself)"
Lev.17.16,891338,2,1,H9023,HSp3ms,function,resolved,bathe,Hebrew,OT,,,1,,,"stepGloss: his — Personal possessive pronoun - suffix for nouns, adjectives and passive participles: 3rd person masculine singular"
Lev.17.16,891339,2,2,H3808,HTn,content,resolved,bathe,Hebrew,OT,1,,1,,Negator,"stepGloss: not — not, no; not (with verb-absolute prohibition); not (with modifier-negation); nothing (subst); without (with particle); before (of time); Aramaic equivalent: la (לָא ""not"" H3809)"
Lev.17.16,891340,3,0,H1320,HNcmsc,content,resolved,flesh,Hebrew,OT,,,1,,Constitution,"stepGloss: flesh — flesh; of the body; of humans; of animals; the body itself; male organ of generation (euphemism); kindred, blood-relations; flesh as frail or erring (man against God); all living things; animals; mankind; Aramaic equivalent: be.shar (בְּשַׁר ""flesh"" H1321)"
Lev.17.16,891341,3,1,H9002,HC,function,resolved,flesh,Hebrew,OT,,,1,,Connective,"stepGloss: and — Conjunctive vav - i.e. followed by prefix, suffix or non-verb (conjunctive) (‘and/but’)"
Lev.17.16,891342,4,0,H5375J,HVqq3ms,content,resolved,bear,Hebrew,OT,,,1,,Sin,"stepGloss: to lift: guilt — to lift, bear up, carry, take; to lift, lift up; to bear, carry, support, sustain, endure; to take, take away, carry off, forgive"
Lev.17.16,891343,5,0,H9023,HSp3ms,function,resolved,his,Hebrew,OT,,,1,,,"stepGloss: his — Personal possessive pronoun - suffix for nouns, adjectives and passive participles: 3rd person masculine singular"
Lev.17.16,891344,6,0,H5771G,HNcmsc,content,resolved,iniquity,Hebrew,OT,,,1,,Sin,"stepGloss: iniquity: crime — perversity, depravity, iniquity, guilt or punishment of iniquity; iniquity; guilt of iniquity, guilt (as great), guilt (of condition); consequence of or punishment for iniquity"
Judg.11.40,957152,0,0,H1323G,HNcfpc,content,resolved,daughters,Hebrew,OT,,,1,,,"stepGloss: daughter — daughter; daughter, girl, adopted daughter, daughter-in-law, sister, granddaughters, female child, cousin; as polite address; as designation of women of a particular place; young women, women; as personification; daughter-villages; description of character; Also means: bat (בַּת "": village"" H1323H)"
Judg.11.40,957153,1,0,H3478,HNpl,content,resolved,Israel,Hebrew,OT,,,1,,,"stepGloss: Israel — A man living at the time of the Patriarchs, first mentioned at Gen.25.26;; referred to as Israel or [ ] or Israelite or ""God"" (KJV= Israel) (יִשְׂרָאֵל), or Israel (Aramiac יִשְׂרָאֵל), or Jacob or ""he"" (KJV= Jacob) (יַעֲקֹב), or Jeshurun (יְשֻׁרוּן), or Israelite (יִשְׂרְאֵלִי), or Israelitess (יִשְׂרְאֵלִית), or Israel or Israelite (Ἰσραήλ), or Jacob (Ἰακώβ), or Israelite or Israel (Ἰσραηλίτης);; son of Isaac and Rebekah ;; a brother of Esau ;; husband of Rachel , Leah , Zilpah and Bilhah ;; father of Reuben , Simeon , Levi , Judah , Dan , Naphtali , Gad , Asher , Issachar , Zebulun , Dinah , Joseph and Benjamin ."
Judg.11.40,957154,2,0,H1980G,HVqi3fp,content,resolved,went,Hebrew,OT,,,1,,Operations,"stepGloss: to go: went — to go, walk, come; to go, walk, come, depart, proceed, move, go away; to die, live, manner of life (fig.)"
Judg.11.40,957155,2,1,H9011,HSd,function,resolved,went,Hebrew,OT,,,1,,,"stepGloss: [to] — Suffix hé – directional: ""towards"""
Judg.11.40,957156,3,0,H3117I,HNcmpa,content,resolved,year,Hebrew,OT,,,1,,,"stepGloss: day: year — day, time, year; day (as opposed to night); day (24 hour period); as defined by evening and morning in Genesis 1; as a division of time; a working day, a day's journey; days, lifetime (pl.); time, period (general); year; temporal references; today; yesterday; tomorrow"
Judg.11.40,957157,3,1,H9006,HR,function,resolved,year,Hebrew,OT,,,1,,Supplementary,stepGloss: from — Prefix mem: from
Judg.11.40,957158,4,0,H3117I,HNcmpa,content,resolved,year,Hebrew,OT,,,1,,,"stepGloss: day: year — day, time, year; day (as opposed to night); day (24 hour period); as defined by evening and morning in Genesis 1; as a division of time; a working day, a day's journey; days, lifetime (pl.); time, period (general); year; temporal references; today; yesterday; tomorrow"
Judg.11.40,957159,5,0,H8567,HVpcc,content,resolved,lament,Hebrew,OT,,,1,,Operations,"stepGloss: to recount — (Piel) to recount, rehearse, tell again"
Judg.11.40,957160,5,1,H9005,HR,function,resolved,lament,Hebrew,OT,,,1,,,stepGloss: to/for — Prefix lamed: to
Judg.11.40,957161,6,0,H1323G,HNcfsc,content,resolved,daughter,Hebrew,OT,,,1,,,"stepGloss: daughter — daughter; daughter, girl, adopted daughter, daughter-in-law, sister, granddaughters, female child, cousin; as polite address; as designation of women of a particular place; young women, women; as personification; daughter-villages; description of character; Also means: bat (בַּת "": village"" H1323H)"
Judg.11.40,957162,6,1,H9005,HR,function,resolved,daughter,Hebrew,OT,,,1,,,stepGloss: to/for — Prefix lamed: to
Judg.11.40,957163,7,0,H3316H,HNpm,content,resolved,Jephthah,Hebrew,OT,,,1,,,"stepGloss: Jephthah — A Judge living before Israel's Monarchy, first mentioned at Jdg.11.1;; referred to as Jephthah (יִפְתָּח), or Jephthah (KJV= Jephthae) (Ἰεφθάε);; a son of Gilead ."
Judg.11.40,957164,8,0,H1569,HNgmsa,content,resolved,Gileadite,Hebrew,OT,,,1,,,"stepGloss: Gileadite — A location in Manasseh Tribe first mentioned at Gen.31.21;; referred to as Gilead or Gileadite (גִּלְעָד), or Gileadite or Gilead (גִּלְעָדִי)."
Judg.11.40,957165,8,1,H9009,HTd,function,resolved,Gileadite,Hebrew,OT,,,1,,,"stepGloss: [the] — Prefix hé article: ""the"" for a subject, not object"
Judg.11.40,957166,9,0,H0702,HNcbsc,content,resolved,four,Hebrew,OT,,,1,,,stepGloss: four — four
Judg.11.40,957167,10,0,H3117I,HNcmpa,content,resolved,days,Hebrew,OT,,,1,,,"stepGloss: day: year — day, time, year; day (as opposed to night); day (24 hour period); as defined by evening and morning in Genesis 1; as a division of time; a working day, a day's journey; days, lifetime (pl.); time, period (general); year; temporal references; today; yesterday; tomorrow"
Judg.11.40,957168,11,0,H8141,HNcfsa,content,resolved,year,Hebrew,OT,,,1,,,"stepGloss: year — year; as division of time; as measure of time; as indication of age; a lifetime (of years of life); Aramaic equivalent: she.nah (שְׁנָה ""year"" H8140)"
Judg.11.40,957169,11,1,H9003,HRd,function,resolved,year,Hebrew,OT,,,1,,,"stepGloss: in/on/with — Prefix beth: in, among, with"
Prov.31.30,434412,0,0,H2580,HNcmsa,content,resolved,Charm,Hebrew,OT,,,1,,Blessing,"stepGloss: favor — favour, grace, charm; favour, grace, elegance; favour, acceptance"
Prov.31.30,434413,0,1,H9009,HTd,function,resolved,Charm,Hebrew,OT,,,1,,,"stepGloss: [the] — Prefix hé article: ""the"" for a subject, not object"
Prov.31.30,434414,1,0,H8267,HNcmsa,content,resolved,deceitful,Hebrew,OT,,,1,,Deceit,"stepGloss: deception — lie, deception, disappointment, falsehood; deception (what deceives or disappoints or betrays one); deceit, fraud, wrong; fraudulently, wrongfully (as adverb); falsehood (injurious in testimony); testify falsehood, false oath, swear falsely; falsity (of false or self-deceived prophets); lie, falsehood (in general); false tongue; in vain"
Prov.31.30,434415,2,0,H3308,HNcmsa,content,resolved,beauty,Hebrew,OT,,,1,,Supplementary,stepGloss: beauty — beauty
Prov.31.30,434416,2,1,H9009,HTd,function,resolved,beauty,Hebrew,OT,,,1,,,"stepGloss: [the] — Prefix hé article: ""the"" for a subject, not object"
Prov.31.30,434417,3,0,H1892,HNcmsa,content,resolved,vain,Hebrew,OT,,,1,,Deceit,"stepGloss: vanity — vapour, breath; breath, vapour; vanity (fig.); adv; vainly"
Prov.31.30,434418,3,1,H9002,HC,function,resolved,vain,Hebrew,OT,,,1,,Connective,"stepGloss: and — Conjunctive vav - i.e. followed by prefix, suffix or non-verb (conjunctive) (‘and/but’)"
Prov.31.30,434419,4,0,H0802G,HNcfsa,content,resolved,woman,Hebrew,OT,,,1,,,"stepGloss: woman — woman, wife, female; woman (opposite of man); wife (woman married to a man); female (of animals); each, every (pronoun)"
Prov.31.30,434420,5,0,H3373,HAafsc,content,resolved,fears,Hebrew,OT,,,1,,Fear,"stepGloss: afraid — fearing, reverent, afraid"
