category,mti_id,strongs,transliteration,gloss,reg_no,word,verses
GENERIC_VERB,621,H3318G,ya.tsa,to come out: come,185,flesh,323
GENERIC_VERB,1101,H4672,ma.tsa,to find,140,seeking,320
GENERIC_VERB,1379,H4191,mut,to die,210,deadness,299
GENERIC_VERB,1340,H0935G,bo,to come [in]: come,198,might,296
GENERIC_VERB,1228,H6213A,a.sah,to make: do,173,will,263
GENERIC_VERB,2872,H7235A,ra.vah,to multiply,197,authority,211
GENERIC_VERB,6075,H5493G,sur,to turn aside: remove,128,rebellion,139
GENERIC_VERB,1029,H3034,ya.dah,to give thanks,121,praise,106
GENERIC_VERB,3173,H3722B,ka.phar,to cover,111,mercy,93
GENERIC_VERB,6076,H5493I,sur,to turn aside: turn aside,128,rebellion,81
GENERIC_VERB,6895,H5324,na.tsav,to stand,187,strength,75
GENERIC_VERB,6077,H5493H,sur,to turn aside: depart,128,rebellion,66
GENERIC_VERB,1233,H7665,sha.var,to break,173,will,61
GENERIC_VERB,639,G3618,oikodomeō,to build,187,strength,38
GENERIC_VERB,1177,G2233,hēgeomai,to govern,160,thought,27
GENERIC_VERB,7093,H5954,a.lal,to come,187,strength,13
GENERIC_VERB,6839,G1929,epididōmi,to give/deliver,180,yielding,10
GENERIC_VERB,1380,G2348,thnēskō,to die/be dead,210,deadness,10
GENERIC_VERB,6896,H5312,ne.phaq,to go out,187,strength,9
GENERIC_VERB,6514,G4350,proskoptō,to strike,157,temptation,8
GENERIC_VERB,2870,G1291,diastellō,to give orders,197,authority,7
GENERIC_VERB,7064,G2026,epoikodomeō,to build up/upon,187,strength,7
GENERIC_VERB,6732,H7737B,sha.vah,to set,177,worth,7
GENERIC_VERB,3578,H7896K,shit,to set: consider,112,mind,7
GENERIC_VERB,6037,H1342,ga.ah,to rise up,123,pride,5
GENERIC_VERB,6845,G1433,dōreō,to give,180,yielding,3
GENERIC_VERB,7422,G3499,nekroō,to put to death,210,deadness,3
GENERIC_VERB,7430,G4880,sunapothnēskō,to die with,210,deadness,3
GENERIC_VERB,1012,G2875,koptō,to cut/mourn,113,mourning,2
GENERIC_VERB,6586,H6589,pa.saq,to open,162,transgression,2
GENERIC_VERB,6848,G4272,prodidōmi,to give in advance,180,yielding,1
